name,label,summary,description
vulkan-loader,服务, Vulkan ICD desktop loader," This project provides the Khronos official Vulkan ICD desktop
loader for Windows, Linux, and MacOS."
pcp-pmda-named,服务, Performance Co-Pilot (PCP) metrics for Named," This package contains the PCP Performance Metrics Domain Agent (PMDA) for
collecting metrics about the Named nameserver."
linuxptp,服务, PTP implementation for Linux," This software is an implementation of the Precision Time Protocol (PTP)
according to IEEE standard 1588 for Linux. The dual design goals are to provide
a robust implementation of the standard and to use the most relevant and modern
Application Programming Interfaces (API) offered by the Linux kernel.
Supporting legacy APIs and other platforms is not a goal."
gnome-shell-extension-native-window-placement,服务, Native window placement for GNOME Shell," This GNOME Shell extension provides additional configurability for the window
layout in the overview, including a mechanism similar to KDE4."
sssd-krb5,服务, The Kerberos authentication back end for the SSSD," Provides the Kerberos back end that the SSSD can utilize authenticate
against a Kerberos server."
gnome-shell-extension-horizontal-workspaces,服务, Desktop icons support for the classic experience, This GNOME Shell extension adds desktop icons support as seen in GNOME 2
Dragonfly-supernode,服务, Dragonfly Cluster Manager(Supernode)," Dragonfly Cluster Manager(Supernode) is the P2P server, which is mainly
responsible for scheduling P2P task and making CDN cache."
pcp-pmda-bash,服务, Performance Co-Pilot (PCP) metrics for the Bash shell," This package contains the PCP Performance Metrics Domain Agent (PMDA) for
collecting metrics about the Bash shell."
NetworkManager-ovs,服务,Open vSwitch device plugin for NetworkManager ,This package contains NetworkManager support for Open vSwitch bridges. 
cyrus-imapd,服务," A high-performance email, contacts and calendar server"," The Cyrus IMAP (Internet Message Access Protocol) server provides access to
personal mail, system-wide bulletin boards, news-feeds, calendar and contacts
through the IMAP, JMAP, NNTP, CalDAV and CardDAV protocols. The Cyrus IMAP
server is a scalable enterprise groupware system designed for use from small to
large enterprise environments using technologies based on well-established Open
Standards.

A full Cyrus IMAP implementation allows a seamless mail and bulletin board
environment to be set up across one or more nodes. It differs from other IMAP
server implementations in that it is run on sealed nodes, where users are not
normally permitted to log in. The mailbox database is stored in parts of the
filesystem that are private to the Cyrus IMAP system. All user access to mail
is through software using the IMAP, IMAPS, JMAP, POP3, POP3S, KPOP, CalDAV
and/or CardDAV protocols.

The private mailbox database design gives the Cyrus IMAP server large
advantages in efficiency, scalability, and administratability. Multiple
concurrent read/write connections to the same mailbox are permitted. The server
supports access control lists on mailboxes and storage quotas on mailbox
hierarchies."
gedit-plugin-commander,服务, gedit commander plugin, The gedit commander plugin.
hypervfcopyd,服务, Hyper-V FCOPY daemon," Hypervfcopyd is an implementation of file copy service functionality
for Linux Guest running on Hyper-V. The daemon enables host to copy
a file (over VMBUS) into the Linux Guest. The daemon first registers
with the kernel driver. After this is done it waits for instructions
from Windows Host."
pulseaudio,服务, Improved Linux Sound Server," PulseAudio is a sound server for Linux and other Unix like operating
systems. It is intended to be an improved drop-in replacement for the
Enlightened Sound Daemon (ESOUND)."
gnome-backgrounds-extras,服务, Additional GNOME Backgrounds," This package contains the additional desktop backgrounds
which are packaged with the GNOME desktop."
NetworkManager-dispatcher-routing-rules,服务,NetworkManager dispatcher file for advanced routing rules ,"This adds a NetworkManager dispatcher file to support networking
configurations using ""/etc/sysconfig/network-scripts/rule-NAME"" files
(eg, to do policy-based routing). "
openssh-server,服务,An open source SSH server daemon ,"OpenSSH is a free version of SSH (Secure SHell), a program for logging
into and executing commands on a remote machine. This package contains
the secure shell daemon (sshd). The sshd daemon allows SSH clients to
securely connect to your SSH server. "
plymouth-theme-solar,服务," Plymouth ""Solar"" theme"," This package contains the ""Solar"" boot splash theme for
Plymouth. It features a blue flamed sun with animated solar flares."
watchdog,服务,Software and/or Hardware watchdog daemon ,"The watchdog program can be used as a powerful software watchdog daemon
or may be alternately used with a hardware watchdog device such as the
IPMI hardware watchdog driver interface to a resident Baseboard
Management Controller (BMC).  watchdog periodically writes to /dev/watchdog;
the interval between writes to /dev/watchdog is configurable through settings
in the watchdog sysconfig file.  This configuration file is also used to
set the watchdog to be used as a hardware watchdog instead of its default
software watchdog operation.  In either case, if the device is open but not
written to within the configured time period, the watchdog timer expiration
will trigger a machine reboot. When operating as a software watchdog, the
ability to reboot will depend on the state of the machine and interrupts.
When operating as a hardware watchdog, the machine will experience a hard
reset (or whatever action was configured to be taken upon watchdog timer
expiration) initiated by the BMC. "
libvirt-daemon-driver-storage-mpath,服务, Storage driver plugin for multipath volumes," The storage driver backend adding implementation of the storage APIs for
multipath storage using device mapper."
trousers,服务,TCG's Software Stack v1.2 ,"TrouSerS is an implementation of the Trusted Computing Group's Software Stack
(TSS) specification. You can use TrouSerS to write applications that make use
of your TPM hardware. TPM hardware can create, store and use RSA keys
securely (without ever being exposed in memory), verify a platform's software
state using cryptographic hashes and more. "
gnome-session-xsession,服务, Desktop file for gnome-session, Desktop file to add GNOME to display manager session menu.
ntfs-3g,服务, Linux NTFS userspace driver," NTFS-3G is a stable, open source, GPL licensed, POSIX, read/write NTFS
driver for Linux and many other operating systems. It provides safe
handling of the Windows XP, Windows Server 2003, Windows 2000, Windows
Vista, Windows Server 2008 and Windows 7 NTFS file systems. NTFS-3G can
create, remove, rename, move files, directories, hard links, and streams;
it can read and write normal and transparently compressed files, including
streams and sparse files; it can handle special files like symbolic links,
devices, and FIFOs, ACL, extended attributes; moreover it provides full
file access right and ownership support."
pam_ssh_agent_auth,服务,PAM module for authentication with ssh-agent ,"This package contains a PAM module which can be used to authenticate
users using ssh keys stored in a ssh-agent. Through the use of the
forwarding of ssh-agent connection it also allows to authenticate with
remote ssh-agent instance.

The module is most useful for su and sudo service stacks. "
gnome-session,服务, GNOME session manager," gnome-session manages a GNOME desktop or GDM login session. It starts up
the other core GNOME components and handles logout and saving the session."
firewall-config,服务, Firewall configuration application," The firewall configuration application provides an configuration interface for
firewalld."
dnssec-trigger,服务, Tool for dynamic reconfiguration of validating resolver Unbound," dnssec-trigger reconfigures the local Unbound DNS server. Unbound is a
resolver performing DNSSEC validation. dnssec-trigger is a set of daemon
and script. On every network configuration change dnssec-trigger performs
set of tests and configures Unbound based on the current NetworkManager
configuration, its own configuration and results of performed tests."
PackageKit,服务, Package management service," PackageKit is a D-Bus abstraction layer that allows the session user
to manage packages in a secure way using a cross-distro,
cross-architecture API."
pcp-export-zabbix-agent,服务, Module for exporting PCP metrics to Zabbix agent," Performance Co-Pilot (PCP) module for exporting metrics from PCP to
Zabbix via the Zabbix agent - see zbxpcp(3) for further details."
NetworkManager-libreswan-gnome,服务, NetworkManager VPN plugin for libreswan - GNOME files," This package contains software for integrating VPN capabilities with
the libreswan server with NetworkManager (GNOME files)."
dbus-daemon,服务, D-BUS message bus," D-BUS is a system for sending messages between applications. It is
used both for the system-wide message bus service, and as a
per-user-login-session messaging facility."
xinetd,服务, A secure replacement for inetd," Xinetd is a secure replacement for inetd, the Internet services
daemon. Xinetd provides access control for all services based on the
address of the remote host and/or on time of access and can prevent
denial-of-access attacks. Xinetd provides extensive logging, has no
limit on the number of server arguments, and lets you bind specific
services to specific IP addresses on your host machine. Each service
has its own specific configuration file for Xinetd; the files are
located in the /etc/xinetd.d directory."
conmon,服务, OCI container runtime monitor, OCI container runtime monitor.
greenboot,服务, Generic Health Check Framework for systemd, Generic Health Check Framework for systemd.
initscripts,服务, Basic support for legacy System V init scripts," This package provides basic support for legacy System V init scripts, and some
other legacy tools & utilities."
geoclue2,服务, Geolocation service," Geoclue is a D-Bus service that provides location information. The primary goal
of the Geoclue project is to make creating location-aware applications as
simple as possible, while the secondary goal is to ensure that no application
can access location information without explicit permission from user."
fence-virt,服务, A pluggable fencing framework for virtual machines, Fencing agent for virtual machines.
libvirt-daemon-config-network,服务, Default configuration files for the libvirtd daemon, Default configuration files for setting up NAT based networking
qemu-kvm,服务, QEMU is a machine emulator and virtualizer," qemu-kvm is an open source virtualizer that provides hardware
emulation for the KVM hypervisor. qemu-kvm acts as a virtual
machine monitor together with the KVM kernel modules, and emulates the
hardware for a full system such as a PC and its associated peripherals."
fence-agents-eaton-snmp,服务, Fence agent for Eaton network power switches," Fence agent for Eaton network power switches that are accessed
via the SNMP protocol."
xorg-x11-drivers,服务, X.Org X11 driver installation package," The purpose of this package is to require all of the individual X.Org
driver rpms, to allow the OS installation software to install all drivers
all at once, without having to track which individual drivers are present
on each architecture.  By installing this package, it forces all of the
individual driver packages to be installed."
shim-unsigned-x64,服务, First-stage UEFI bootloader," 
Initial UEFI bootloader that handles chaining to a trusted full
bootloader under secure boot environments."
fence-agents-ibm-powervs,服务, Fence agent for IBM PowerVS, Fence agent for IBM PowerVS that are accessed via REST API.
xorg-x11-server-Xspice,服务, XSpice is an X server that can be accessed by a Spice client, XSpice is both an X and a Spice server.
plymouth-plugin-label,服务, Plymouth label plugin," This package contains the label control plugin for
Plymouth. It provides the ability to render text on
graphical boot splashes using pango and cairo."
alsa-plugins-samplerate,服务, External rate converter plugin for ALSA," This plugin is an external rate converter using libsamplerate by Erik de
Castro Lopo."
udisks2,服务, Disk Manager," The Udisks project provides a daemon, tools and libraries to access and
manipulate disks, storage devices and technologies."
cockpit-storaged,服务," Cockpit user interface for storage, using udisks", The Cockpit component for managing storage.  This package uses udisks.
gnome-getting-started-docs-de,服务, German translations for gnome-getting-started-docs videos, German (de) translations for the Getting Started guide videos.
fence-agents-hpblade,服务, Fence agent for HP BladeSystem devices," Fence agent for HP BladeSystem devices that are accessed via telnet
or SSH."
fence-agents-ilo-mp,服务, Fence agent for HP iLO MP devices, Fence agent for HP iLO MP devices that are accessed via telnet or SSH.
fence-agents-kubevirt,服务, Fence agent for KubeVirt platform, Fence agent for KubeVirt platform.
mcstrans,服务,SELinux Translation Daemon ,"Security-enhanced Linux is a feature of the Linux庐 kernel and a number
of utilities with enhanced security functionality designed to add
mandatory access controls to Linux.  The Security-enhanced Linux
kernel contains new architectural components originally developed to
improve the security of the Flask operating system. These
architectural components provide general support for the enforcement
of many kinds of mandatory access control policies, including those
based on the concepts of Type Enforcement庐, Role-based Access
Control, and Multi-level Security.

mcstrans provides an translation daemon to translate SELinux categories
from internal representations to user defined representation. "
pcp-pmda-unbound,服务, Performance Co-Pilot (PCP) metrics for the Unbound DNS Resolver," This package contains the PCP Performance Metrics Domain Agent (PMDA) for
collecting metrics about the Unbound DNS Resolver."
fence-agents-scsi,服务, Fence agent for SCSI persistent reservations, Fence agent for SCSI persistent reservations.
bind-sdb-chroot,服务," A chroot runtime environment for the ISC BIND DNS server, named-sdb(8)"," This package contains a tree of files which can be used as a
chroot(2) jail for the named-sdb(8) program from the BIND package.
Based on the code from Jan ""Yenya"" Kasprzak <kas@fi.muni.cz>"
hyperv-daemons,服务, Hyper-V daemons suite," Suite of daemons that are needed when Linux guest
is running on Windows Host with Hyper-V."
NetworkManager-ppp,服务,PPP plugin for NetworkManager ,This package contains NetworkManager support for PPP. 
pcp-pmda-postfix,服务, Performance Co-Pilot (PCP) metrics for the Postfix (MTA)," This package contains the PCP Performance Metrics Domain Agent (PMDA) for
collecting metrics about the Postfix (MTA)."
firewalld,服务,A firewall daemon with D-Bus interface providing a dynamic firewall ,"firewalld is a firewall service daemon that provides a dynamic customizable
firewall with a D-Bus interface. "
rsync-daemon,服务,Service for anonymous access to rsync ,"Rsync can be used to offer read only access to anonymous clients. This
package provides the anonymous rsync service. "
plymouth-plugin-two-step,服务," Plymouth ""two-step"" plugin"," This package contains the ""two-step"" boot splash plugin for
Plymouth. It features a two phased boot process that starts with
a progressing animation synced to boot time and finishes with a
short, fast one-shot animation."
openssh-ldap,服务,A LDAP support for open source SSH server daemon ,"OpenSSH LDAP backend is a way how to distribute the authorized tokens
among the servers in the network. "
NetworkManager-team,服务,Team device plugin for NetworkManager ,This package contains NetworkManager support for team devices. 
freeipmi-ipmiseld,服务,IPMI SEL syslog logging daemon ,IPMI SEL syslog logging daemon. 
tigervnc-server,服务, A TigerVNC server," The VNC system allows you to access the same desktop from a wide
variety of platforms.  This package includes set of utilities
which make usage of TigerVNC server more user friendly. It also
contains x0vncserver program which can export your active
X session."
systemd-udev,服务,Rule-based device node and kernel event manager ,"This package contains systemd-udev and the rules and hardware database
needed to manage device nodes. This package is necessary on physical
machines and in virtual machines, but not in containers. "
cgdcbxd,服务, DCB network priority management daemon," This is a daemon to manage the priority of network traffic in dcb enabled
environments.  By using the information exchanged over the dcbx protocol on a
LAN, this package will enforce network priority on running applications on your
host using the net_prio cgroup"
dhcp-server,服务,Provides the ISC DHCP server ,"DHCP (Dynamic Host Configuration Protocol) is a protocol which allows
individual devices on an IP network to get their own network
configuration information (IP address, subnetmask, broadcast address,
etc.) from a DHCP server. The overall purpose of DHCP is to make it
easier to administer a large network.

This package provides the ISC DHCP server. "
docker-engine,服务, Docker daemon binary and related utilities, Docker daemon binary and related utilities
dde-qt5wayland-plugin,服务, Qt platform plugins for DDE, Qt platform plugins for DDE.
samba,服务, Server and Client software to interoperate with Windows machines," Samba is the standard Windows interoperability suite of programs for Linux and
Unix."
dde-clipboard,服务, Qt platform theme integration plugins for DDE," Qt platform theme integration plugins for DDE
 Multiple Qt plugins to provide better Qt5 integration for DDE is included."
glusterfs,服务, Distributed File System," GlusterFS is a distributed file-system capable of scaling to several
petabytes. It aggregates various storage bricks over Infiniband RDMA
or TCP/IP interconnect into one large parallel network file
system. GlusterFS is one of the most sophisticated file systems in
terms of features and extensibility.  It borrows a powerful concept
called Translators from GNU Hurd kernel. Much of the code in GlusterFS
is in user space and easily manageable.

This package includes the glusterfs binary, the glusterfsd daemon and the
libglusterfs and glusterfs translator modules common to both GlusterFS server
and client framework."
fence-virtd-libvirt,服务, Libvirt backend for fence-virtd," Provides fence_virtd with a connection to libvirt to fence
virtual machines.  Useful for running a cluster of virtual
machines on a desktop."
pcp-pmda-openmetrics,服务, Performance Co-Pilot (PCP) metrics from OpenMetrics endpoints," This package contains the PCP Performance Metrics Domain Agent (PMDA) for
extracting metrics from OpenMetrics (https://openmetrics.io/) endpoints."
gnome-shell-extension-updates-dialog,服务, Show a modal dialog when there are software updates, This GNOME Shell extension shows a modal dialog when there are software updates
dde-file-manager,服务, Deepin File Manager, File manager front end of Deepin OS.
unbound,服务," Validating, recursive, and caching DNS(SEC) resolver"," Unbound is a validating, recursive, and caching DNS(SEC) resolver.

The C implementation of Unbound is developed and maintained by NLnet
Labs. It is based on ideas and algorithms taken from a java prototype
developed by Verisign labs, Nominet, Kirei and ep.net.

Unbound is designed as a set of modular components, so that also
DNSSEC (secure DNS) validation and stub-resolvers (that do not run
as a server, but are linked into an application) are easily possible."
xorg-x11-xinit,服务, X.Org X11 X Window System xinit startup scripts, X.Org X11 X Window System xinit startup scripts.
greenboot-default-health-checks,服务, Series of optional and curated health checks, Series of optional and curated health checks.
subversion-gnome,服务, GNOME Keyring support for Subversion," The subversion-gnome package adds support for storing Subversion
passwords in the GNOME Keyring."
libvirt-daemon-driver-nwfilter,服务, Nwfilter driver plugin for the libvirtd daemon," The nwfilter driver plugin for the libvirtd daemon, providing
an implementation of the firewall APIs using the ebtables,
iptables and ip6tables capabilities"
gnome-shell-extension-top-icons,服务, Show legacy icons on top, This GNOME Shell extension moves legacy tray icons into the top bar.
rsyslog-mmkubernetes,服务, Provides the mmkubernetes module," The rsyslog-mmkubernetes package provides module for adding kubernetes
container metadata."
nginx-filesystem,服务, The basic directory layout for the Nginx server," The nginx-filesystem package contains the basic directory layout
for the Nginx server including the correct permissions for the
directories."
openwsman-server,服务, Openwsman Server and service libraries, Openwsman Server and service libraries.
xsettingsd,服务, Provides settings to X11 clients via the XSETTINGS specification," xsettingsd is a daemon that implements the XSETTINGS specification.

It is intended to be small, fast, and minimally dependent on other libraries.
It can serve as an alternative to gnome-settings-daemon for users who are not
using the GNOME desktop environment but who still run GTK+ applications and
want to configure things such as themes, font anti-aliasing/hinting, and UI
sound effects."
pacemaker,服务, Scalable High-Availability cluster resource manager," Pacemaker is an advanced, scalable High-Availability cluster resource
manager.

It supports more than 16 node clusters with significant capabilities
for managing resources and dependencies.

It will run scripts at initialization, when machines go up or down,
when related resources fail and can be configured to periodically check
resource health.

Available rpmbuild rebuild options:
  --with(out) : cibsecrets coverage doc hardening pre_release profiling stonithd"
openldap-servers,服务, LDAP server," OpenLDAP is an open-source suite of LDAP (Lightweight Directory Access
Protocol) applications and development tools. LDAP is a set of
protocols for accessing directory services (usually phone book style
information, but other information is possible) over the Internet,
similar to the way DNS (Domain Name System) information is propagated
over the Internet. This package contains the slapd server and related files."
tog-pegasus,服务, OpenPegasus WBEM Services for Linux," OpenPegasus WBEM Services for Linux enables management solutions that deliver
increased control of enterprise resources. WBEM is a platform and resource
independent DMTF standard that defines a common information model and
communication protocol for monitoring and controlling resources from diverse
sources."
pcp-pmda-samba,服务, Performance Co-Pilot (PCP) metrics for Samba," This package contains the PCP Performance Metrics Domain Agent (PMDA) for
collecting metrics about Samba."
brltty-at-spi2,服务, AtSpi2 driver for BRLTTY, This package provides the AtSpi2 driver for BRLTTY.
deepin-editor,服务, Simple editor for Linux Deepin, Simple editor for Linux Deepin.
dleyna-server,服务, Service for interacting with Digital Media Servers," D-Bus service for clients to discover and manipulate DLNA Digital Media
Servers (DMSes)."
pcp-pmda-zimbra,服务, Performance Co-Pilot (PCP) metrics for Zimbra," This package contains the PCP Performance Metrics Domain Agent (PMDA) for
collecting metrics about Zimbra."
osbuild-composer-worker,服务, The worker for osbuild-composer, The worker for osbuild-composer
deepin-sound-theme,服务, Generate static golang bindings for GObject, Deepin sound This package contains the deepin sound theme.
spice-vdagent-win-x86,服务, Spice agent MSI installers for Windows guests (32 bit), Spice agent MSI installers for Windows guests (32 bit)
lvm2-dbusd,服务,LVM2 D-Bus daemon ,"
Daemon for access to LVM2 functionality through a D-Bus interface. "
alsa-plugins-upmix,服务, Upmixer channel expander plugin for ALSA," The upmix plugin is an easy-to-use plugin for upmixing to 4 or
6-channel stream.  The number of channels to be expanded is determined
by the slave PCM or explicitly via channel option."
fence-agents-ibmblade,服务, Fence agent for IBM BladeCenter," Fence agent for IBM BladeCenter devices that are accessed
via the SNMP protocol."
cockpit-machines,服务, Cockpit user interface for virtual machines," The Cockpit components for managing virtual machines.

If ""virt-install"" is installed, you can also create new virtual machines."
cockpit-composer,服务, Composer GUI for use with Cockpit," Composer generates custom images suitable for deploying systems or uploading to
the cloud. It integrates into Cockpit as a frontend for osbuild."
gnome-shell-extension-workspace-indicator,服务, Workspace indicator for GNOME Shell," This GNOME Shell extension add a system status menu for quickly changing
workspaces."
xorg-x11-drv-ati,服务, Xorg X11 ati video driver, X.Org X11 ati video driver.
amanda,服务, A network-capable tape backup solution," AMANDA, the Advanced Maryland Automatic Network Disk Archiver, is a
backup system that allows the administrator of a LAN to set up a
single master backup server to back up multiple hosts to one or more
tape drives or disk files.  AMANDA uses native dump and/or GNU tar
facilities and can back up a large number of workstations running
multiple versions of Unix.  Newer versions of AMANDA (including this
version) can use SAMBA to back up Microsoft(TM) Windows95/NT hosts.
The amanda package contains the core AMANDA programs and will need to
be installed on both AMANDA clients and AMANDA servers.  Note that you
will have to install the amanda-client and/or amanda-server packages as
well."
dleyna-renderer,服务, Service for interacting with Digital Media Renderers," D-Bus service for clients to discover and manipulate DLNA Digital Media
Renderers (DMRs)."
plymouth-theme-spinner,服务," Plymouth ""Spinner"" theme"," This package contains the ""spinner"" boot splash theme for
Plymouth. It features a small spinner on a dark background."
qemu-kvm-ui-spice,服务, QEMU spice support, This package provides spice support.
ndctl,服务,"Manage ""libnvdimm"" subsystem devices (Non-volatile Memory) ","Utility library for managing the ""libnvdimm"" subsystem.  The ""libnvdimm""
subsystem defines a kernel device model and control message interface for
platform NVDIMM resources like those defined by the ACPI 6+ NFIT (NVDIMM
Firmware Interface Table). "
containerd,服务, Open and reliable container runtime," 
Containerd is an industry-standard container runtime with an emphasis on
simplicity, robustness and portability. It is available as a daemon for Linux
and Windows, which can manage the complete container lifecycle of its host
system: image transfer and storage, container execution and supervision,
low-level storage and network attachments, etc.

%gopkg"
squid,服务, The Squid proxy caching server," Squid is a high-performance proxy caching server for Web clients,
supporting FTP, gopher, and HTTP data objects. Unlike traditional
caching software, Squid handles all requests in a single,
non-blocking, I/O-driven process. Squid keeps meta data and especially
hot objects cached in RAM, caches DNS lookups, supports non-blocking
DNS lookups, and implements negative caching of failed requests.

Squid consists of a main server program squid, a Domain Name System
lookup program (dnsserver), a program for retrieving FTP data
(ftpget), and some management and client tools."
hypervkvpd,服务, Hyper-V key value pair (KVP) daemon," Hypervkvpd is an implementation of Hyper-V key value pair (KVP)
functionality for Linux. The daemon first registers with the
kernel driver. After this is done it collects information
requested by Windows Host about the Linux Guest. It also supports
IP injection functionality on the Guest."
fence-agents-vmware-soap,服务, Fence agent for VMWare with SOAP API v4.1+, Fence agent for VMWare with SOAP API v4.1+.
fdo-manufacturing-server,服务, FDO Manufacturing Server implementation, FDO Manufacturing Server implementation
fence-agents-sbd,服务, Fence agent for SBD (storage-based death), Fence agent for SBD (storage-based death).
mutter,服务, Window and compositing manager based on Clutter," Mutter is a window and compositing manager that displays and manages
your desktop via OpenGL. Mutter combines a sophisticated display engine
using the Clutter toolkit with solid window-management logic inherited
from the Metacity window manager.

While Mutter can be used stand-alone, it is primarily intended to be
used as the display core of a larger system such as GNOME Shell. For
this reason, Mutter is very extensible via plugins, which are used both
to add fancy visual effects and to rework the window management
behaviors to meet the needs of the environment."
dde-dock,服务, Deepin desktop-environment - Dock module, Deepin desktop-environment - Dock module.
sssd-kcm,服务,An implementation of a Kerberos KCM server ,"An implementation of a Kerberos KCM server. Use this package if you want to
use the KCM: Kerberos credentials cache. "
pcp-pmda-mailq,服务, Performance Co-Pilot (PCP) metrics for the sendmail queue," This package contains the PCP Performance Metrics Domain Agent (PMDA) for
collecting metrics about email queues managed by sendmail."
keentune-bench,服务, Benchmark script running models for KeenTune, Benchmark script running models for KeenTune
cockpit-session-recording,服务, Cockpit Session Recording," Cockpit module providing session recording configuration and playback.
This module allows viewing and playback of journal-stored terminal session
recordings generated by the tlog component."
fence-agents-rsb,服务, Fence agent for Fujitsu RSB," Fence agent for Fujitsu RSB devices that are accessed
via telnet or SSH."
NetworkManager-wwan,服务, Mobile broadband device plugin for NetworkManager," This package contains NetworkManager support for mobile broadband (WWAN)
devices."
libreswan,服务, IPsec implementation with IKEv1 and IKEv2 keying protocols," Libreswan is a free implementation of IKE/IPsec for Linux.  IPsec is
the Internet Protocol Security and uses strong cryptography to provide
both authentication and encryption services.  These services allow you
to build secure tunnels through untrusted networks.  Everything passing
through the untrusted net is encrypted by the ipsec gateway machine and
decrypted by the gateway at the other end of the tunnel.  The resulting
tunnel is a virtual private network or VPN.

This package contains the daemons and userland tools for setting up
Libreswan.

Libreswan also supports IKEv2 (RFC7296) and Secure Labeling

Libreswan is based on Openswan-2.6.38 which in turn is based on FreeS/WAN-2.04"
cockpit-bridge,服务, Cockpit bridge server-side component," The Cockpit bridge component installed server side and runs commands on the
system on behalf of the web based user interface."
gnome-getting-started-docs-gl,服务, Galician translations for gnome-getting-started-docs videos, Galician (gl) translations for the Getting Started guide videos.
gnome-online-miners,服务, Crawls through your online content," GNOME Online Miners provides a set of crawlers that go through your online
content and index them locally in Tracker. It has miners for Facebook, Flickr,
Google, OneDrive and Nextcloud."
xdg-user-dirs-gtk,服务, Gnome integration of special directories," Contains some integration of xdg-user-dirs with the gnome
desktop, including creating default bookmarks and detecting
locale changes."
xorg-x11-drv-wacom,服务, Xorg X11 wacom input driver, X.Org X11 wacom input driver for Wacom tablets.
rsyslog,服务, Enhanced system logging and kernel message trapping daemon," Rsyslog is an enhanced, multi-threaded syslog daemon. It supports MySQL,
syslog/TCP, RFC 3195, permitted sender lists, filtering on any message part,
and fine grain output format control. It is compatible with stock sysklogd
and can be used as a drop-in replacement. Rsyslog is simple to set up, with
advanced features suitable for enterprise-class, encryption-protected syslog
relay chains."
ibacm,服务, InfiniBand Communication Manager Assistant," The ibacm daemon helps reduce the load of managing path record lookups on
large InfiniBand fabrics by providing a user space implementation of what
is functionally similar to an ARP cache.  The use of ibacm, when properly
configured, can reduce the SA packet load of a large IB cluster from O(n^2)
to O(n).  The ibacm daemon is started and normally runs in the background,
user applications need not know about this daemon as long as their app
uses librdmacm to handle connection bring up/tear down.  The librdmacm
library knows how to talk directly to the ibacm daemon to retrieve data."
spice-vdagent,服务, Agent for Spice guests," Spice agent for Linux guests offering the following features:

Features:
* Client mouse mode (no need to grab mouse by client, no mouse lag)
  this is handled by the daemon by feeding mouse events into the kernel
  via uinput. This will only work if the active X-session is running a
  spice-vdagent process so that its resolution can be determined.
* Automatic adjustment of the X-session resolution to the client resolution
* Support of copy and paste (text and images) between the active X-session
  and the client"
kubernetes-node,服务, Kubernetes services for node host, Kubernetes services for node host
tigervnc-selinux,服务, SELinux module for TigerVNC," This package provides the SELinux policy module to ensure TigerVNC
runs properly under an environment with SELinux enabled."
