idx,name,y_true,y_predict,feature
96,bluez,工具,服务,adapter application automatically bluetooth button configuration connect contact contain content daemon device example exchange file function include instal install keyboard libraries like make manual mobile mode mouse need note object package pair phone regular require rule script share ship start support switch udev utilities utility want work
98,bogofilter,工具,库,algorithm analysis berkeley check code design directly email fast filter filtering good include indicate input list mail message mode normal operation process production return site speed standard status text tune word
102,booth,工具,其它,cluster core distribute executables facilitate file locate location manage manager multi pacemaker resource site support
103,bpftrace,工具,其它,available backend berkeley bytecode capability compile dynamic ebpf enhance exist filter high inspire interact kernel language level linux llvm make packet recent script systemtap trace tracer user
104,brasero,工具,库,application cd contain desktop dvd easy extension gnome libraries library libs nautilus package runtime share simple
106,brltty,工具,库,access application background bind binding complete console daemon directly display documentation dracut drive driver functionality install interface java linux mode module ng package process programming provide python run screen support text time unix
107,brotli,库,工具,algorithm available best combination compress compression context currently data general generic lossless method modern offer order purpose ratio similar speed variant
108,bubblewrap,库,服务,bin binary container core engine execution kernel namespaces tool user usr work
113,c2esp,库,服务,cups driver filter printer
114,ca-certificates,工具,服务,bundle certificate choose contain foundation internet mozilla package root
116,cairo,库,工具,acceleration advantage available binding buffer cairo consistent contain currently design display file functionality gnome gobject graphic hardware high image include integrate library make medium memory object output package postscript print produce provide quality support target window
119,cdrdao,工具,库,allow area audio base cd complete content control description disc disk lead length mode pre record recording rs single step textual track write
123,certmonger,工具,服务,certificate client concern enrollment monitor primarily service status
124,chan,工具,库,available buffer channel implementation pure
127,cheese,工具,服务,application apply capture contain display effect fancy gnome graphical interface library need package picture video want widget
129,chrome-gnome-shell,工具,其它,browser capable connector extension extensions firefox gnome google host http integration manage messaging native org provide repository shell support
131,chrpath,工具,库,allow compile compiled currently dynamic library load modify path program remove support
132,cifs-utils,工具,其它,able allow authentication automatically cifs client conjunction contain credential deploy establish file filesystem kernel keyring linux login machine manage microsoft module mount need ntlm option package password protocol provide purpose session share standard support tool user utilities widely windows work
138,cloud-init,其它,库,cloud init initialization install instance need retrieve script special user various
140,clufter,工具,服务,additional built capable cluster command common compiled configuration contain conversion corosync data experimental extra file filter format framework generic include interface internal library line offer overall pacemaker package plugin plugins primarily process product python3 reusable serve specific stack step target tool underlying usable variety xslt
141,clutter,库,服务,application center clutter create example fast graphical interface library medium open potential rich software source type usage user visually
142,clutter-gst2,库,其它,clutter create enable fast graphical gstreamer integration interface library open rich software source user visually
143,clutter-gst3,库,其它,clutter create enable fast graphical gstreamer integration interface library open rich software source user visually
145,cmake,工具,库,base code common compilation compiler complex configuration contain control cross data directory environment file files generates generation gui independent macro make makefiles module native package platform possible preprocessor process quite require simple software sophisticated support template workspace
146,cockpit,库,服务,administer authenticate authentication base behalf bridge browser card certificate client cockpit command component configuration configure console contain dbus diagnostic enable freeipa gnu inspection instal interactive interface line linux listen network offer package report selinux server service session shell smart troubleshoot user
147,cockpit-appstream,库,其它,archive cockpit component create instal install integration interface load machine manage metric package read storage support update user virt virtual
148,cockpit-composer,库,其它,cloud cockpit composer custom deploy frontend generate image integrate suitable upload
150,codemodel,库,其它,code compiler file generate generator java jaxb library program project provide schema source spin
152,color-filesystem,库,其它,color directory filesystem layout package provide required store used
155,compat-libtiff3,库,其它,compatibility current file format image library manipulate package provide tiff version
156,conntrack-tools,工具,服务,addition availability available cluster collect command connection contain currently daemon delete deploy dump establish event firewall gnu high highly inspect interact interface kernel line linux list maintain manipulate message monitor multiple netfilter package program search selection setup state statistic subsystem synchronize table tools track userspace using
165,cppcheck,工具,库,analysis code compiler detect error goal normally primarily real static syntax tool type unlike zero
166,cppunit,工具,库,automatic base framework junit output port test testing unit
170,crash-ptdump-command,工具,库,buffer crash decode extension facility generate intel module processor retrieve trace utility
171,crash-trace-command,工具,库,command crash data extension module read trace utility
180,culmus-fonts,其它,服务,common consist contain display file font fonts hebrew package project
183,cups-pk-helper,库,其它,application available config configuration control cups helper interface make policykit printer
185,cyrus-imapd,库,工具,access administration administrative advantage allow base calendar compatible concurrent connection contact contain contains control convert database design differ efficiency email enterprise environment file filesystem hierarchy high imap implementation instal internal internet large list mail message multiple node normally open package performance permit pop3 private program protocol provide read scalability scalable seamless server small software specification standards storage store support technology timezone tool user utilities utility utils version wide write
187,dav1d,库,工具,correctness cross decoder file focus library open platform source speed
188,dbus,其它,工具,access application bus common configuration contain dbus facility file implementation interact libraries library login message messaging package provide reference send service session setup tools user utilities utility wide
191,dbus-python,库,服务,binding bus python3
192,dbusmenu-qt,其它,库,application dbus export implementation import library make menu possible protocol provide
193,dbxtool,工具,服务,boot contain package secure uefi update
194,dconf,工具,其它,backend configuration glib gsettings level low main provide purpose
195,dconf-editor,工具,服务,configuration database edit editor graphical tool
196,dcraw,工具,库,camera command contain data decode digital download image line package tool
199,dde-api,库,服务,daemon
214,dde-qt5platform-plugins,其它,服务,platform plugins
218,deepin-anything,其它,库,like really
221,deepin-calculator,其它,库,calculator easy ordinary user
226,deepin-devicemanager,其它,工具,device hardware information manage manager tool view
227,deepin-diskmanager,其它,工具,disk management tool utility
229,deepin-fcitxconfigtool-plugin,其它,工具,core currently customize desktop easily extension fcitx framework freebsd input light like linux method native provide requirement support unix weight
235,deepin-log-viewer,其它,工具,tool useful view viewer
236,deepin-manual,其它,库,application description design function help instruction learn manual operating provide specific summary user
250,desktop-file-utils,工具,其它,application check contain desktop directory file freedesktop gnome http inclusion install manipulate menu optionally org package process specification standard standards utilities validate www
252,device-mapper-multipath,工具,其它,checker contain creation device fail internal kernel library libs manage manager mapper module package partition path provide removal scan share shared thing tool tools update
253,device-mapper-persistent-data,库,服务,cache check contains data device dump include manage mapper metadata persistent provisioning repair restore target tool tools
255,dialog,库,工具,allow contain create dialog following implement info input install interface like menu message mode script shell text utility
257,diffutils,工具,其它,change character collection command common compare contain diff differ difference file include independent install interactively line make merge need number offset original people produce text utility warning
259,disomaster,工具,库,class disc library manipulate package provide wrapper
266,dmidecode,工具,库,accord bios data depend expansion hardware include information level list memory model module number parallel port reliability report serial slot socket standard status tool typically usage version
267,dnf,工具,服务,allow apply automate common configuration data download environment file group interface manage manager module package python rpms support systemd unit upgrade user utility
268,dnf-plugins-core,工具,其它,action additionally allow command compatibility complete config core debug define download enhance file implementation install interface layer lock manager package plugin plugins post protect provide python shell supply transaction update utils version
269,dnssec-trigger,工具,服务,able applet base case change configuration create current daemon dialog dynamic input interaction local need network networkmanager package panel perform performs probe provide resolver result script server state test tool user validate validation window
270,docbook-dtds,库,工具,book compliant contain definition develop docbook document documentation manual package page sgml syntax technical text type version xml
271,docbook-style-dsssl,库,工具,allow convert customizable docbook document example format highly html modular online postscript print stylesheets
272,docbook-style-xsl,库,工具,allow customizable docbook document format highly html stylesheets transform
275,docker,其它,服务,application apps backend binary block build building client cloud compute container daemon database depend deploy docker engine framework great hardware instance language large lightweight make mean open packaging particular platform product provider related require scale service ship source stack utility
278,dotconf,库,其它,configuration file handle libraries library parse
284,dovecot,库,工具,authentication contain driver format imap like linux mail mind mysql package plug pop3 primarily provide secure security server small subpackages support unix write
286,dpa-ext-gnomekeyring,工具,其它,agent automatically extension gnome keyring polkit thing
288,dracut,工具,服务,based bootable build capability codes configuration contain create default dracut drive drop event file generate generation generator generic hard host image implementation iscsi kernel like linux little live local memory module need network package possible previous provide purpose reduce require result root runtime size small specific store support tool turn udev unlike usage various
290,dtkcore,工具,其它,core deepin module tool
291,dtkgui,工具,其它,deepin feel look module
292,dtkwidget,工具,其它,deepin desktop development graphical interface module tool user widget
294,dvd+rw-tools,工具,其它,collection dvd http information linux master medium tool toolchain
296,dyninst,工具,库,application change code compose creation debugging exist generation goal include independent insertion interface machine monitoring package patching performance permit program provide remove run running subroutine support time tool useful variety
299,edk2,库,工具,contain enable firmware machine machines open package project qemu sample support uefi virtual
300,efi-rpm-macros,库,其它,basic contain directory filesystem layout machine package tool
310,environment-modules,库,其它,access application bash basis bundle clean collection command configure contain different dynamic dynamically entire environment fashion include information instal interpret language load manage modification modify module modules need note package path perl popular provide provides replace script share shell suite support typically useful user variable version
314,epel-rpm-macros,库,服务,build contain enterprise extra linux macro package packages
315,esc,工具,服务,allow card client cryptographic enterprise manage security smart user
319,evemu,库,工具,base capture device emulation event input library program query simple stream tool utility virtual
322,evolution-data-server,工具,其它,backend calendar contact contain data develop information originally package program provide server task translation unified work
327,expat,工具,库,associated clark discover document example handler james kind library mean orient parse parser register start stream structure write
329,extra-cmake-modules,库,其它,additional build frameworks module need
331,faad2,库,工具,completely contain decode decoder frontend library main mpeg package profile scratch shared write
333,fapolicyd,服务,工具,access allow application applications contain daemon determine file implement interface kernel know make package policy right selinux source unknown
335,fcitx,工具,其它,chinese contain core currently customize data desktop easily engine extension fcitx file framework freebsd gtk2 gtk3 input library libs light like linux method module native package pinyin provide requirement share shared support table unix weight
337,fcitx-qt5,库,工具,context fcitx input module package provide
341,ffmpeg,库,工具,audio capture complete contain device digital encode flash format free include internet libraries library linux live package platform playback provide real server solution special specific stream time unix various video
344,fido-device-onboard,工具,服务,client device dracut implementation initialization module server tool
349,fio,工具,库,action file generation global inherit load match number override parameter particular process specify thread tool type typical unless user want write
351,firefox,工具,库,browser compliance design firefox mozilla open performance portability source standard
353,flac,库,工具,audio codec command consist contain decode decoder editor encode encoders file form format free input libraries library line lossless metadata music package player plugins program project reference similar stand stream various vorbis
355,flatpak-builder,工具,服务,build builder flatpak http information org source tool
358,flute,库,其它,java parser simple style
359,fontawesome-fonts,其它,服务,color contain customize drop file font icon locally opentype package power scalable size truetype typically vector
362,fontpackages,工具,服务,basic contain correct directory font include layout package permission
364,foomatic,服务,工具,account base capable command comprehensive configure contain cups database description driver file files generate generation http independent interface line manipulate option org package print printer queue read separately site tools utility www
365,foomatic-db,库,其它,base database directory driver http layout option org package printer site www
370,freeipmi,库,服务,base console daemon detection intelligent interface ipmi management monitoring node platform project provide provides recovery remote software specification syslog tool
371,freerdp,库,服务,application channel client code compatibility connect convenient core desktop embed environment equivalent extend free handle implement implementation instead library machine microsoft modify native non original plugins portable project protocol provide remote runtime server target windows
372,freetype,库,工具,advanced complete develop efficiently engine environment file font free glyph individual library load manage open platform portable provide render rendering server support text variety
373,frei0r-plugins,库,服务,behavior computer control effect filter framework host implementation issue parameter plugin plugins simple solve source standard video
378,fuse-overlayfs,工具,服务,nannan
382,fxload,工具,服务,able appear device download firmware helper intend invoke original program script udev
383,gamin,库,工具,compatible daemon dependent file library mechanism monitor provide wide
387,gcab,库,服务,archive create gobject library manipulate
388,gcc,工具,库,address atomic behavior compliant contain dynamically exception fortran handle hardware instal instrument library link math memory need offload operation package plugin program real runtime separately share standard static support thread version
389,gcc-toolset-10,工具,服务,application basic build collection compiler configuration debugger essential gcc handle install macro main package performance script ship software systemtap tool toolchain toolset work
395,gcc-toolset-10-gcc,工具,其它,collection compile compiler contain current documentation evaluation expression fortran frequently gcc generate include information library manual package plugin program provide specification standard support toolset version
400,gcc-toolset-10-systemtap,工具,库,announce avahi available base boot client collect compilation compile compiles component contain contains copy data demand devel develop developers documentation dracut early execute include initscripts installation instrumentation kernel launch library linux local locally module need object operation package probe programmable reference remote requires runtime sample script select server startup support systemtap sysvinit time wide write
402,gcc-toolset-11,工具,服务,11 application basic build collection compiler configuration debugger essential gcc handle install macro main package performance script ship software systemtap tool toolchain toolset work
408,gcc-toolset-11-gcc,工具,其它,11 address collection compile compiler contain current documentation embed end evaluation expression fortran frequently gcc generate include information inside instrument library manual package plugin program provide runtime share specification standard support toolset version
413,gcc-toolset-11-systemtap,工具,库,announce avahi available base boot client collect compilation compile compiles component contain contains copy data demand devel develop developers documentation dracut early execute include initscripts installation instrumentation kernel launch library linux local locally module need object operation package probe programmable reference remote requires runtime sample script select server startup support systemtap sysvinit time wide write
415,gcc-toolset-9,工具,服务,application basic build collection compiler configuration debugger essential gcc handle install macro main package performance script ship software systemtap tool toolchain toolset work
420,gcc-toolset-9-elfutils,工具,库,allow archive build check collection compiled compress contains data decompress depend devel discard dwarf enables file formed generate handle handling high implement include internals level libraries library libs list machine object package party program provide read readelf reading section size specific stack strip structure symbol utility write
421,gcc-toolset-9-gcc,工具,其它,collection compile compiler contain current documentation evaluation expression fortran frequently gcc generate include information library manual package plugin program provide specification standard support toolset version
426,gcc-toolset-9-systemtap,工具,库,announce avahi available base boot client collect compilation compile compiles component contain contains copy data demand devel develop developers documentation dracut early execute include initscripts installation instrumentation kernel launch library linux local locally module need object operation package probe programmable reference remote requires runtime sample script select server startup support systemtap sysvinit time wide write
431,gdbm,库,工具,access application build database devel developer efficient extensible file hashing include index install libraries library need program routine similar simple standard unix useful work write
440,geoclue2,库,服务,access application aware bus client contain convenience create demo demos ensure explicit goal information interact library libs location make package permission possible primary project provide service simple user
446,ghc-srpm-macros,库,其它,building generate macro macros package source
449,gimp,其它,工具,build channel commercial contain contains conversion create devel development edit effect expect extension extra extremely filter graphic helper image imaging include large layer level library libs manipulation multi need operation package pixel plug plugin powerful program provide share similar sub tool tools useful
451,git,工具,其它,access allow bring browse browser command common control core credential daemon dependency distributed email entire fast functionality graphical helper high history include install installs integrate interact interface internals level local main merge meta minimal operation optionally package patch perl project protocol provide pull really repository revision rich scalable script send server simple small split subpackages subproject support tool usually version
452,git-lfs,库,工具,audio content extension file graphic inside large remote replace sample server storage store text video
453,gjs,库,工具,allow base bindings engine framework gnome gobject introspection javascript library mozilla
456,glib2,库,服务,basis contain core data dynamic event file form function functionality glib gnome gtk handling interface level library loading loop low module monitor monitoring object package portability project provide runtime structure thread utility wrapper
457,glibc,库,工具,access application available backwards based basis binary build cache caching code common compatibility contain create custom daemon data develop development disk easy executables file function gain glibc group hash header help host important improve include install instead ipv6 language ldap legacy library likely linux locale lookup make math memory module multiple nearly necessary need order pack package particular performance place program provide save service share source space speed standard support switch user version
462,gnome-abrt,其它,工具,allow application browse convenient detect gnome manage occur problem provide user utility view
477,gnome-logs,其它,库,journal systemd viewer
479,gnome-online-accounts,其它,库,access account application exchange framework gnome google imap interface kerberos library microsoft online provide provider sign single smtp user
499,go-srpm-macros,库,工具,architecture build building golang macro package project provide various
500,gobject-introspection,库,工具,based binding create examine file generate gobject header introspection language library order provide scan source thing useful
502,golang-dbus,其它,服务,binding bus client
522,gom,其它,库,application complex data gobject help library make mapper need object provide query sqlite store structured write
523,google-api-python-client,其它,库,access apis client flexible google library powerful provide python small
529,gpac,库,工具,alternative ansi base clean contain content converter description develop development distribution encoders feature file flexible framework goal integration library libs mpeg multimedia original package provide publishing recent reference scratch single small software standard static tool
532,gpm,库,工具,allow appear application based button click console contain dynamic editor emacs file function include library like linux management menu mouse operation package program provide server support text
533,grafana,工具,其它,editor feature graph graphite metric open rich source
534,grafana-pcp,库,服务,include live metric performance pilot plugin scalable script series time
537,greenboot,工具,库,check framework generic health optional series systemd
540,grilo-plugins,库,工具,access apple contain content different filesystem framework information local metadata multimedia music package pluggable plugins provide radio source store tracker
545,gsettings-qt,库,其它,binding gsettings qt
549,gspell,库,工具,application checking flexible gtk implement library provide spell
551,gssntlmssp,库,其它,gssapi implement mechanism
552,gssproxy,库,服务,credential gssapi handling proxy
559,gtk2,库,工具,application complete contain create developer documentation graphical gtk gtk2 input interface library method multi package platform project range ship small standalone suitable suite support tool toolkit user widget
560,gtk3,库,其它,allow application avoid cache complete contain create disk file format graphical gtk gtk3 icon interface library memory multi multiple overall overhead package platform project range reduce seek share small start suitable suite support theme tool toolkit update user utility version widget
566,guile,库,工具,application building develop execution extensibility extensible extension implementation independent install intelligent language library like link machine package platform program programming provide scheme write
567,gupnp,库,服务,control create device easy efficient flexible framework gobject gupnp intend libsoup object open oriented point source upnp write
571,gutenprint,库,工具,compatible contain cups dialog driver gtk high include irix library linux native necessary operate package plug print printer quality range support unix wide widget
572,gvfs,工具,服务,access apple application archive backend backends base camera cifs client device file filesystems framework fuse glib gnome image implementation include inside integration media medium mobile module music network online original package phone picture player protocol provide read reading seamless service share support transfer window windows write
574,hardlink,工具,库,create disk hard instal installation kernel link package reduce space tree
579,hicolor-icon-theme,工具,其它,basic contains directory file icon need requirement support theme
581,hostname,工具,服务,command display domain host hostname package provide set utility
582,hplip,工具,服务,device driver files function graphical imaging libraries library linux multi need printer printing project provide sane scanner tool
583,hspell,工具,库,analyzer checker correction dictionary follow hebrew hunspell input interface known language like list morphological print provide spell standard string text true word wrong
586,httpd,其它,服务,abstract access apache associated authentication backends basic complete contain contains content correct cryptography data directory docs documentation efficient extensible filesystem filter guide html http httpd include information interface layer layout ldap manual modify module org package permission powerful protocol provide reference secure security server session ssl store strong support tls tool tools transform transport user
595,hunspell-be,库,工具,dictionary hunspell hyphenation rule
612,hunspell-et,库,工具,dictionary estonian hunspell hyphenation rule
661,hunspell-no,库,工具,dictionary hunspell hyphenation rule thesaurus
685,hunspell-sr,库,工具,dictionary hunspell hyphenation rule serbian
710,hwinfo,工具,库,generate hardware information later overview present probe support tool
711,hwloc,库,服务,11 abstraction application architecture attribute bind cache compute contain convenient core display efficiently format gather hardware help hierarchical include information interface library logical memory modern multiple node numa offer package portable powerful primarily process processor programming provide share socket software thread time topology unit various version
759,i2c-tools,工具,库,access application chip collection connect contain decode device helper interact level library linux offer package perl probe register script tool write
760,ibus,工具,服务,contain framework gtk2 gtk3 ibus input intelligent library linux mean module package setup utility wayland
770,icedtea-web,库,工具,additional base browser component contain deployment documentation implementation java javadocs manage openjdk originally package plug plugin project provide setting settings start tool
772,icu,库,工具,character components compute current customize develop environment extend featured flexibility great important international libraries library need offer performance platform portability produce provide result robust service software standard supplementary support tools unicode utility variety various version wide
773,iio-sensor-proxy,工具,服务,device input proxy sensor
775,ima-evm-utils,库,工具,architecture attribute change compatibility computing executables execute extend extended file group hash integrity list maintain measurement module package prepare prevent provide read run sensitive store support time trusted utility utils value verification
776,imlib2,工具,其它,apps arbitrary architecture capable complete condition contain easily fast file flexible highly image intelligent late library link load loader loading make manipulation modular operation option package parse plugin program render rendering rewrite save separately series simple speed support version write
777,imsettings,工具,库,application apply change configuration contain core daemon dbus deliver desktop effect framework general gnome gsettings input libraries library method module need package require service setting shared support utility work
778,iniparser,工具,库,ansi application configuration file hold information library parse style
781,intel-cmt-cat,工具,服务,access allocation bandwidth basic cache class code command configure data execute file interface level line linux logical manage measure memory model monitoring obtain package privilege provide provides read register require root service software space specific standard support technology thread user virtual write
784,ipcalc,工具,服务,address calculate calculator check depending format generate host human information network option parse private provide random readable resolve script simple specify suitable
785,ipmitool,工具,服务,capture command communicate communication configuration contain content control daemon data define device display driver enabled encrypted event exchange field functionality health host hostname info information intelligent interface interfacing ipmi kernel listen machine management message open package pass platform power print protocol provide read reading remote repository send sensor serial specification standard support syslog unit utility value
786,iproute,库,服务,action advanced capability class configuration configure contain control design device example filter kernel linux manage network networking package queue routing standard tool traffic utility
789,iptables,工具,服务,active administration base based basic bridge capability code component contain control currently database default documentation drop ethernet filter filtering firewall frame high html http information inspect install ipv4 ipv6 issue kernel known layer legacy library like limit link linux look maintain manage need netfilter network note org os package packet pass provide real replacement rule service space split stable table tool tools traffic user userspace utility utils variant version www
792,iputils,工具,服务,basic command contain daemon discover host include information ipv6 machine monitor monitoring network node package ping protocol query receive send series specify target tool traffic utility
800,istack-commons,库,其它,commons contain package runtime tool
804,jack-audio-connection-kit,库,服务,allow application area audio bus client connect connection design device different effort example execution focus ground latency launcher linux low mean normal number operating operation plugin primarily process server share small start suitable synchronous work write
812,java-atk-wrapper,其它,库,access affect bridge change communication convert event implementation java mechanism project replace send talk wrapper
818,jboss-logging,其它,服务,contain framework jboss logging package
822,jigawatts,库,服务,allow convenient helper java linux make org package read utility
827,jq,工具,库,command data dependency ease effort expect filter flexible format json lightweight like line little play portable processor program runtime short simple structure text transform want write zero
832,kabi-dw,工具,服务,build change compare detect dump dwarf file information kernel later linux section specific symbol text type
833,kata-containers,工具,其它,advantage build community container containers feel gopkg http implementation io lightweight like machines open perform project provide repository security source standard version virtual work
838,kdump-anaconda-addon,工具,其它,addon anaconda configuration
839,keepalived,工具,服务,accord achieve addition availability balance base build checker dynamically facility framework fundamental health high hook implement independently infrastructure interaction kernel known level linux load low machine maintain manage module monitor pool protocol provide robust router server service simple speed state virtual widely
842,keybinder3,工具,库,application based binding contains global gobject gtk introspection keyboard library register window work
874,kf5-kirigami2,其它,库,base build interface plugins user
897,kmod,工具,服务,application automatic device driver example filesystems handle kernel later libraries library libs linux load loading management module need package program provide runtime utility various wish
900,krb5,服务,工具,administrative allow authentication basic center certificate client consider contain credential data directory distribution initial instal install interface kerberos ldap library libs module need network non object obtain package people plugin private program related server share shared stable storage store wish word workstation
902,ksc,工具,其它,checker code kernel module source symbol usage
903,kscreenlocker,库,其它,architecture component library lock screen secure
905,kyotocabinet,库,工具,application client essential interface libraries library libs package program provide shared
907,langtable,工具,库,contain data default example guess information keyboard know language layout locale module package python query reasonable
909,lasso,库,服务,alliance allow base binding cycle handle implement include language library multiple provide sign single specification standard
917,libEMF,库,工具,device driver enhanced generate graphic graphics implement intend interface library limited program subset support
918,libICE,库,工具,client exchange inter library org runtime
919,libSM,库,服务,library management org runtime session
920,libX11,库,其它,client common core data library libxcb protocol
921,libXNVCtrl,库,工具,application communicate contain control driver include library package proprietary provide settings tool xorg
923,libXau,库,服务,access authorization block client connection cookie core data display exist hook individual know library mechanism protocol provide sample server setup simple specific specify window
926,libXcursor,库,其它,automatically best common cursor design exist file help library load locate management memory names simple size standard
927,libXdamage,库,其它,extension library org runtime
928,libXdmcp,库,其它,control display library manager protocol
929,libXext,库,服务,library org runtime
930,libXfixes,库,其它,library
931,libXfont2,库,工具,library org runtime
932,libXft,库,工具,library org runtime
933,libXi,库,服务,library org runtime
934,libXinerama,库,其它,library org runtime
940,libXres,库,工具,allow client extension library query resource server usage various
951,libappindicator,库,工具,allow application available based contain export generic indicator library menu package support version work
954,libass,库,工具,library portable render
961,libblockdev,库,服务,binding block configuration contain core create crypto dbus dependency device encrypt enhancement file function functionality gobject information introspection kernel level library like loop low manipulation mapper meta operation package partition partitioning plugin plugins provide providing pull python3 raid relate related serve standalone storage support swap time utility utilize utils wrapper
962,libbpf,库,工具,directory file header lib library linux mirror package plus support tools tree version
965,libcacard,库,服务,access card certificate common compatible container emulation guest implement library machine provide read reader separate smart standard virtual
966,libcanberra,库,服务,binding bindings event gtk html http implementation library lightweight portable public small sound spec specification theme
967,libcap,库,其它,capability draft library posix
968,libcap-ng,库,工具,analyze application base binding capability contain file library make ng package posix program python3 utilities utils
969,libcdio,库,工具,access application cd control device independent input interface library need provide
972,libcgroup,库,服务,administrator allow associated authentication command configured contain control controller daemon group help infrastructure library line linux login manipulate module monitor package pluggable pre process program service user utility
976,libconfig,库,工具,application aware code compact configuration file format library manipulate necessary parse readable simple string structure type unlike
977,libcroco,库,工具,gnome library manipulation parsing
978,libdaemon,库,服务,compatible consist correct daemon ease file following fork library lightweight output pipe procedure process redirect select serialize signal simpler stdout syslog unix usage wrapper write writing
