name,label,bert_graph_pred,summary,description
dtkcore,库,服务, Deepin tool kit core modules, Deepin tool kit core modules.
evolution-ews-langpacks,工具,服务, Translations for evolution-ews, This package contains translations for evolution-ews.
texlive-sepnum,库,服务," Print numbers in a ""friendly"" format"," Provides a command to print a number with (potentially
different) separators every three digits in the parts either
side of the decimal point (the point itself is also
configurable). The macro is fully expandable and not fragile
(unless one of the separators is). There is also a command
\sepnumform, that may be used when defining \the<counter>
macros."
libev-source,库,库, High-performance event loop/event model with lots of features, This package contains the source code for libev.
icu4j,库,服务, International Components for Unicode for Java," The International Components for Unicode (ICU) library provides robust and
full-featured Unicode services on a wide variety of platforms. ICU supports
the most current version of the Unicode standard, and provides support for
supplementary characters (needed for GB 18030 repertoire support).

Java provides a very strong foundation for global programs, and IBM and the
ICU team played a key role in providing globalization technology into Sun's
Java. But because of its long release schedule, Java cannot always keep
up-to-date with evolving standards. The ICU team continues to extend Java's
Unicode and internationalization support, focusing on improving
performance, keeping current with the Unicode standard, and providing
richer APIs, while remaining as compatible as possible with the original
Java text and internationalization API design."
vid.stab,库,服务," Video stabilize library for fmpeg, mlt or transcode"," Vidstab is a video stabilization library which can be plugged-in with Ffmpeg
and Transcode."
krb5-server,服务,服务, The KDC and related programs for Kerberos 5," Kerberos is a network authentication system. The krb5-server package
contains the programs that must be installed on a Kerberos 5 key
distribution center (KDC).  If you are installing a Kerberos 5 KDC,
you need to install this package (in other words, most people should
NOT install this package)."
libx86emu,库,服务, x86 emulation library," Small x86 emulation library with focus of easy usage and extended execution
logging functions. The library features an API to create emulation objects
for x86 architecture."
dbus-c++-glib,库,服务, GLib library for dbus-c++, This package contains the GLib mainloop library for dbus-c++
jline-javadoc,库,服务, Javadocs for jline, This package contains the API documentation for jline.
ocaml-labltk,库,服务, Tcl/Tk interface for OCaml," labltk or mlTk is a library for interfacing OCaml with the scripting
language Tcl/Tk (all versions since 8.0.3, but no betas)."
nbdkit-tmpdisk-plugin,工具,服务, Remote temporary filesystem disk plugin for nbdkit, This package is a remote temporary filesystem disk plugin for nbdkit.
google-noto-sans-gujarati-ui-fonts,其它,库, Sans Gujarati UI font," Noto fonts aims to remove tofu from web by providing fonts for all
Unicode supported scripts. Its design goal is to achieve visual harmonization
between multiple scripts. Noto family supports almost all scripts available
in Unicode.

Noto Sans font for Gujarati UI."
pcp-pmda-gluster,服务,服务, Performance Co-Pilot (PCP) metrics for the Gluster filesystem," This package contains the PCP Performance Metrics Domain Agent (PMDA) for
collecting metrics about the gluster filesystem."
peripety,服务,服务, Storage event notification daemon," Peripety is designed to parse system storage logging into structured storage
event helping user investigate storage issues."
mingw64-libpng,库,库, MinGW Windows Libpng library, MinGW Windows Libpng library.
aspnetcore-targeting-pack-3.1,库,服务, Targeting Pack for Microsoft.AspNetCore.App 3.1," This package provides a targetting pack for Microsoft.AspNetCore.App 3.1
that allows developers to compile against and target Microsoft.AspNetCore.App 3.1
applications using the .NET Core SDK."
perl-PathTools,库,服务," PathTools Perl module (Cwd, File::Spec)", This is the combined distribution for the File::Spec and Cwd modules.
google-noto-sans-kayah-li-fonts,其它,库, Sans Kayah Li font," Noto fonts aims to remove tofu from web by providing fonts for all
Unicode supported scripts. Its design goal is to achieve visual harmonization
between multiple scripts. Noto family supports almost all scripts available
in Unicode.

Noto Sans font for Kayah Li."
rest,库,服务, A library for access to RESTful web services," This library was designed to make it easier to access web services that
claim to be ""RESTful"". A RESTful service should have urls that represent
remote objects, which methods can then be called on. The majority of services
don't actually adhere to this strict definition. Instead, their RESTful end
point usually has an API that is just simpler to use compared to other types
of APIs they may support (XML-RPC, for instance). It is this kind of API that
this library is attempting to support."
enscript,工具,服务, A plain ASCII to PostScript converter," GNU enscript is a free replacement for Adobe's Enscript
program. Enscript converts ASCII files to PostScript(TM) and spools
generated PostScript output to the specified printer or saves it to a
file. Enscript can be extended to handle different output media and
includes many options for customizing printouts"
perl-diagnostics,库,服务, Produce verbose warning diagnostics," The diagnostics module extends the terse diagnostics normally emitted by both
the perl compiler and the perl interpreter (from running perl with a -w switch
or ""use warnings""), augmenting them with the more explicative and endearing
descriptions found in perldiag. splain tool explains perl messages found on
standard input."
libxudp-tools,库,服务, Express UDP tools., Express UDP is a high-performance UDP communication software library based on the xdp socket technology.
postgresql-odbc,库,服务, PostgreSQL ODBC driver," This package includes the driver needed for applications to access a
PostgreSQL system via ODBC (Open Database Connectivity)."
texlive-euro,工具,服务, Provide Euro values for national currency amounts," Converts arbitrary national currency amounts using the Euro as
base unit, and typesets monetary amounts in almost any desired
way. Write, e.g., \ATS{17.6} to get something like '17,60 oS
(1,28 Euro)' automatically. Conversion rates for the initial
Euro-zone countries are already built-in. Further rates can be
added easily. The package uses the fp package to do its sums."
plexus-velocity,库,服务, Plexus Velocity Component," This package provides Plexus Velocity component - a wrapper for
Apache Velocity template engine, which allows easy use of Velocity
by applications built on top of Plexus container."
mozjs52,库,服务,SpiderMonkey JavaScript library ,"SpiderMonkey is the code-name for Mozilla Firefox's C++ implementation of
JavaScript. It is intended to be embedded in other applications
that provide host environments for JavaScript. "
389-ds-base-snmp,服务,服务, SNMP Agent for 389 Directory Server, SNMP Agent for the 389 Directory Server base package.
texlive-pxfonts,工具,服务, Palatino-like fonts in support of mathematics," Pxfonts supplies virtual text roman fonts using Adobe Palatino
(or URWPalladioL) with some modified and additional text
symbols in the OT1, T1, and TS1 encodings; maths alphabets
using Palatino/Palladio; maths fonts providing all the symbols
of the Computer Modern and AMS fonts, including all the Greek
capital letters from CMR; and additional maths fonts of various
other symbols. The set is complemented by a sans-serif set of
text fonts, based on Helvetica/NimbusSanL, and a monospace set
derived from the parallel TX font set. All the fonts are in
Type 1 format (AFM and PFB files), and are supported by TeX
metrics (VF and TFM files) and macros for use with LaTeX."
sisu-javadoc,库,服务, API documentation for Sisu, This package contains API documentation for Sisu.
tesseract-script-ethiopic,工具,服务, Ethiopic script data for tesseract-tessdata," This package contains the fast integer version of the Ethiopic script
trained models for the Tesseract Open Source OCR Engine."
java-11-openjdk-jmods-fastdebug,库,库, JMods for OpenJDK 11 optimised with full debugging on," The JMods for OpenJDK 11.
This package is optimised with full debugging. Install only as needed and remove ASAP."
kf5-kservice,工具,服务, KDE Frameworks 5 Tier 3 solution for advanced plugin and service introspection," KDE Frameworks 5 Tier 3 solution for advanced plugin and service
introspection."
libpath_utils,库,服务, Filesystem Path Utilities, Utility functions to manipulate filesystem pathnames
ffmpegthumbnailer,工具,服务, Lightweight video thumbnailer that can be used by file managers, This video thumbnailer can be used to create thumbnails for your video files.
xcb-util-image,库,服务, Port of Xlib's XImage and XShmImage functions on top of libxcb," XCB util-image module provides the following library:

  - image: Port of Xlib's XImage and XShmImage functions."
mpich,库,服务, A high-performance implementation of MPI," MPICH is a high-performance and widely portable implementation of the Message
Passing Interface (MPI) standard (MPI-1, MPI-2 and MPI-3). The goals of MPICH
are: (1) to provide an MPI implementation that efficiently supports different
computation and communication platforms including commodity clusters (desktop
systems, shared-memory systems, multicore architectures), high-speed networks
(10 Gigabit Ethernet, InfiniBand, Myrinet, Quadrics) and proprietary high-end
computing systems (Blue Gene, Cray) and (2) to enable cutting-edge research in
MPI through an easy-to-extend modular framework for other derived
implementations.

The mpich binaries in this RPM packages were configured to use the default
process manager (Hydra) using the default device (ch3). The ch3 device
was configured with support for the nemesis channel that allows for
shared-memory and TCP/IP sockets based communication.

This build also include support for using the 'module environment' to select
which MPI implementation to use when multiple implementations are installed.
If you want MPICH support to be automatically loaded, you need to install the
mpich-autoload package."
libreoffice-help-pt-BR,库,库, Brazilian help for LibreOffice, Provides Brazilian help for LibreOffice.
ghostscript,工具,服务, Interpreter for PostScript language & PDF," This package provides useful conversion utilities based on Ghostscript software,
for converting PS, PDF and other document formats between each other.

Ghostscript is a suite of software providing an interpreter for Adobe Systems'
PostScript (PS) and Portable Document Format (PDF) page description languages.
Its primary purpose includes displaying (rasterization & rendering) and printing
of document pages, as well as conversions between different document formats."
python2-chardet,库,服务, Character encoding auto-detection in Python," Character encoding auto-detection in Python. As
smart as your browser. Open source."
langpacks-fr,其它,库, French langpacks meta-package, This package provides French langpacks meta-package.
lucene++,库,服务," A high-performance, full-featured text search engine written in C++"," An up to date C++ port of the popular Java Lucene library, a high-performance, full-featured text search engine."
xmvn-parent-pom,库,服务, XMvn Parent POM, This package provides XMvn parent POM.
iwl100-firmware,其它,服务,Firmware for Intel(R) Wireless WiFi Link 100 Series Adapters ,"This package contains the firmware required by the Intel wireless drivers
for Linux to support the iwl100 hardware.  Usage of the firmware
is subject to the terms and conditions contained inside the provided
LICENSE file. Please read it carefully. "
startup-notification,库,服务, Library for tracking application startup," This package contains libstartup-notification which implements a
startup notification protocol. Using this protocol a desktop
environment can track the launch of an application and provide
feedback such as a busy cursor, among other features."
greenboot-default-health-checks,服务,服务, Series of optional and curated health checks, Series of optional and curated health checks.
tesseract-langpack-frk,工具,服务, Fraktur language data for tesseract-tessdata," This package contains the fast integer version of the Fraktur language
trained models for the Tesseract Open Source OCR Engine."
turbojpeg,库,服务, TurboJPEG library, The turbojpeg package contains the TurboJPEG shared library.
gnome-shell-extension-windowsNavigator,服务,服务, Support for keyboard selection of windows and workspaces in GNOME Shell," This GNOME Shell extension enables keyboard selection of windows and workspaces
in overlay mode, by pressing the Alt and Ctrl key respectively."
perl-namespace-clean,库,服务, Keep your namespace tidy," When you define a function, or import one, into a Perl package, it will
naturally also be available as a method. This does not per se cause
problems, but it can complicate subclassing and, for example, plugin
classes that are included via multiple inheritance by loading them as
base classes.

The 'namespace::clean' pragma will remove all previously declared or
imported symbols at the end of the current package's compile cycle.
Functions called in the package itself will still be bound by their
name, but they won't show up as methods on your class or instances."
amanda,服务,服务, A network-capable tape backup solution," AMANDA, the Advanced Maryland Automatic Network Disk Archiver, is a
backup system that allows the administrator of a LAN to set up a
single master backup server to back up multiple hosts to one or more
tape drives or disk files.  AMANDA uses native dump and/or GNU tar
facilities and can back up a large number of workstations running
multiple versions of Unix.  Newer versions of AMANDA (including this
version) can use SAMBA to back up Microsoft(TM) Windows95/NT hosts.
The amanda package contains the core AMANDA programs and will need to
be installed on both AMANDA clients and AMANDA servers.  Note that you
will have to install the amanda-client and/or amanda-server packages as
well."
xdg-utils,工具,服务, Basic desktop integration functions," The xdg-utils package is a set of simple scripts that provide basic
desktop integration functions for any Free Desktop, such as Linux.
They are intended to provide a set of defacto standards.
This means that:
*  Third party software developers can rely on these xdg-utils
   for all of their simple integration needs.
*  Developers of desktop environments can make sure that their
   environments are well supported
*  Distribution vendors can provide custom versions of these utilities

The following scripts are provided at this time:
* xdg-desktop-icon      Install icons to the desktop
* xdg-desktop-menu      Install desktop menu items
* xdg-email             Send mail using the user's preferred e-mail composer
* xdg-icon-resource     Install icon resources
* xdg-mime              Query information about file type handling and
                        install descriptions for new file types
* xdg-open              Open a file or URL in the user's preferred application
* xdg-screensaver       Control the screensaver
* xdg-settings          Get various settings from the desktop environment"
gcc-toolset-11-dyninst,工具,服务, An API for Run-time Code Generation," 
Dyninst is an Application Program Interface (API) to permit the insertion of
code into a running program. The API also permits changing or removing
subroutine calls from the application program. Run-time code changes are
useful to support a variety of applications including debugging, performance
monitoring, and to support composing applications out of existing packages.
The goal of this API is to provide a machine independent interface to permit
the creation of tools and applications that use run-time code patching."
pcp-pmda-bash,服务,服务, Performance Co-Pilot (PCP) metrics for the Bash shell," This package contains the PCP Performance Metrics Domain Agent (PMDA) for
collecting metrics about the Bash shell."
xbean-javadoc,库,服务, API documentation for xbean, This package provides API documentation for xbean.
device-mapper-event-libs,库,服务, Device-mapper event daemon shared library," This package contains the device-mapper event daemon shared library,
libdevmapper-event."
xz-libs,库,服务, Libraries for decoding LZMA compression, Libraries for decoding files compressed with LZMA or XZ utils.
texlive-cmextra,工具,服务, cmextra package, cmextra package
freeradius-sqlite,服务,服务, SQLite support for freeradius, This plugin provides the SQLite support for the FreeRADIUS server project.
mpg123-plugins-pulseaudio,库,服务, Pulseaudio output plug-in for mpg123," Real time MPEG 1.0/2.0/2.5 audio player/decoder for layers 1, 2 and 3 (most
commonly MPEG 1.0 layer 3 aka MP3), as well as re-usable decoding and output
libraries.

Pulseaudio output plug-in."
culmus-shofar-fonts,其它,服务, Fonts for Hebrew from Culmus project," 
The culmus-fonts package contains fonts for the display of
Hebrew from the Culmus project."
orc-compiler,工具,服务, Orc compiler," The Orc compiler, to produce optimized code."
xml-commons-resolver,库,服务, Resolver subproject of xml-commons, Resolver subproject of xml-commons.
python2-bson,库,服务, Python bson library," BSON is a binary-encoded serialization of JSON-like documents. BSON is designed
to be lightweight, traversable, and efficient. BSON, like JSON, supports the
embedding of objects and arrays within other objects and arrays."
google-noto-serif-thai-fonts,其它,库, Serif Thai font," Noto fonts aims to remove tofu from web by providing fonts for all
Unicode supported scripts. Its design goal is to achieve visual harmonization
between multiple scripts. Noto family supports almost all scripts available
in Unicode.

Noto Serif font for Thai."
gcc-toolset-9-strace,工具,服务, Tracks and displays system calls associated with a running process," The strace program intercepts and records the system calls called and
received by a running process.  Strace can print a record of each
system call, its arguments and its return value.  Strace is useful for
diagnosing problems and debugging, as well as for instructional
purposes.

Install strace if you need a tool to track the system calls made and
received by a process."
libzmf,库,服务, A library for import of Zoner document formats," libzmf is library providing ability to interpret and import Zoner
document formats into various applications. Currently it only supports
Zoner Callisto/Draw v 4-5."
libhugetlbfs-utils,工具,服务,Userspace utilities for configuring the hugepage environment ,"This packages contains a number of utilities that will help administrate the
use of huge pages on your system.  hugeedit modifies binaries to set default
segment remapping behavior. hugectl sets environment variables for using huge
pages and then execs the target program. hugeadm gives easy access to huge page
pool size control. pagesize lists page sizes available on the machine. "
libidn2,库,服务, Library to support IDNA2008 internationalized domain names," Libidn2 is an implementation of the IDNA2008 specifications in RFC
5890, 5891, 5892, 5893 and TR46 for internationalized domain names
(IDN). It is a standalone library, without any dependency on libidn."
rust-gdb,工具,库, GDB pretty printers for Rust," This package includes the rust-gdb script, which allows easier debugging of Rust
programs."
vorbis-tools,工具,服务, The Vorbis General Audio Compression Codec tools," Ogg Vorbis is a fully open, non-proprietary, patent- and royalty-free,
general-purpose compressed audio format for audio and music at fixed
and variable bitrates from 16 to 128 kbps/channel.

The vorbis package contains an encoder, a decoder, a playback tool, and a
comment editor."
cppcheck,工具,服务, Tool for static C/C++ code analysis," Cppcheck is a static analysis tool for C/C++ code. Unlike C/C++
compilers and many other analysis tools it does not detect syntax
errors in the code. Cppcheck primarily detects the types of bugs that
the compilers normally do not detect. The goal is to detect only real
errors in the code (i.e. have zero false positives)."
udisks2-lsm,库,服务, Module for LSM, This package contains module for LSM configuration.
pangomm,库,服务, C++ interface for Pango," pangomm provides a C++ interface to the Pango library. Highlights
include typesafe callbacks, widgets extensible via inheritance and a
comprehensive set of widget classes that can be freely combined to
quickly create complex user interfaces."
librhsm,库,服务,Red Hat Subscription Manager library ,Red Hat Subscription Manager library. 
tesseract-langpack-jpn_vert,工具,服务," ""Japanese language data for tesseract-tessdata"," This package contains the fast integer version of the ""Japanese language
trained models for the Tesseract Open Source OCR Engine."
netcf-libs,库,服务, Libraries for netcf, The libraries for netcf.
libreoffice-help-sl,库,库, Slovenian help for LibreOffice, Provides Slovenian help for LibreOffice.
java-17-openjdk,库,服务, OpenJDK 17 Runtime Environment, The OpenJDK 17 runtime environment.
rubygem-bson,库,库, Ruby implementation of the BSON specification, A fully featured BSON specification implementation in Ruby.
librevenge-gdb,库,服务, gdb pretty printers for librevenge," The librevenge-devel package contains gdb pretty printers that help with
debugging applications that use librevenge."
sssd,服务,服务,System Security Services Daemon ,"Provides a set of daemons to manage access to remote directories and
authentication mechanisms. It provides an NSS and PAM interface toward
the system and a plug-gable back-end system to connect to multiple different
account sources. It is also the basis to provide client auditing and policy
services for projects like FreeIPA.

The sssd sub-package is a meta-package that contains the daemon as well as all
the existing back ends. "
libICE,库,服务, X.Org X11 ICE runtime library, The X.Org X11 ICE (Inter-Client Exchange) runtime library.
lato-fonts,其它,服务, A sanserif typeface family," Lato is a sanserif typeface family designed in the Summer 2010 by Warsaw-based
designer _ukasz Dziedzic (""Lato"" means ""Summer"" in Polish). In December 2010 the
Lato family was published under the open-source Open Font License by his foundry
tyPoland, with support from Google.

When working on Lato, _ukasz tried to carefully balance some potentially
conflicting priorities. He wanted to create a typeface that would seem quite
""transparent"" when used in body text but would display some original treats when
used in larger sizes. He used classical proportions (particularly visible in the
uppercase) to give the letterforms familiar harmony and elegance. At the same
time, he created a sleek sanserif look, which makes evident the fact that Lato
was designed in 2010 - even though it does not follow any current trend.

The semi-rounded details of the letters give Lato a feeling of warmth, while the
strong structure provides stability and seriousness. ""Male and female, serious
but friendly. With the feeling of the Summer,"" says _ukasz.

Lato consists of nine weights (plus corresponding italics), including a
beautiful hairline style. It covers 2300+ glyphs per style and supports 100+
Latin-based languages, 50+ Cyrillic-based languages as well as Greek and IPA
phonetics."
libreoffice-langpack-ml,库,服务, Malayalam language pack for LibreOffice, Provides additional Malayalam translations and resources for LibreOffice.
python3-pyudev,库,服务, A libudev binding," pyudev is a LGPL licensed, pure Python binding for libudev, the device
and hardware management and information library for Linux.  It supports
almost all libudev functionality, you can enumerate devices, query device
properties and attributes or monitor devices, including asynchronous
monitoring with threads, or within the event loops of Qt, Glib or wxPython.

The binding supports CPython 2 (2.6 or newer) and 3 (3.1 or newer), and
PyPy 1.5 or newer.  It is tested against udev 151 or newer, earlier
versions of udev as found on dated Linux systems may work, but are not
officially supported."
vapoursynth-tools,工具,服务, Extra tools for VapourSynth, This package contains the vspipe tool for interfacing with VapourSynth.
deepin-devicemanager,工具,服务, Device Manager is a handy tool for viewing hardware information and managing the devices, Device Manager is a handy tool for viewing hardware information and managing the devices.
mythes-bg,库,服务, Bulgarian thesaurus, Bulgarian thesaurus.
epel-aliyuncs-release,其它,库, Extra Packages for Enterprise Linux repository configuration," This package contains the Extra Packages for Enterprise Linux (EPEL) repository
GPG key as well as configuration for yum."
x265,库,服务, H.265/HEVC encoder," The primary objective of x265 is to become the best H.265/HEVC encoder
available anywhere, offering the highest compression efficiency and the highest
performance on a wide variety of hardware platforms.

This package contains the command line encoder."
python3-sphinx-theme-alabaster,库,服务, Configurable sidebar-enabled Sphinx theme," This theme is a modified ""Kr"" Sphinx theme from @kennethreitz (especially as
used in his Requests project), which was itself originally based on @mitsuhiko's
theme used for Flask & related projects."
util-linux-user,工具,服务,libuser based util-linux utilities ,chfn and chsh utilities with dependence on libuser 
perl-Parse-PMFile,库,服务, Parses .pm file as PAUSE does," The most of the code of this module is taken from the PAUSE code as of
April 2013 almost verbatim. Thus, the heart of this module should be quite
stable. However, I made it not to use pipe (""-|"") as well as I stripped
database-related code. If you encounter any issue, that's most probably
because of my modification."
dovecot-mysql,库,服务, MySQL back end for dovecot, This package provides the MySQL back end for dovecot-auth etc.
trace-cmd,工具,服务,A user interface to Ftrace ,"trace-cmd is a user interface to Ftrace. Instead of needing to use the
debugfs directly, trace-cmd will handle of setting of options and
tracers and will record into a data file. "
kf5-kcmutils,工具,服务, KDE Frameworks 5 Tier 3 addon with extra API to write KConfigModules," KCMUtils provides various classes to work with KCModules. KCModules can be
created with the KConfigWidgets framework."
compat-openssl10,库,服务, Compatibility version of the OpenSSL library," The OpenSSL toolkit provides support for secure communications between
machines. This version of OpenSSL package contains only the libraries
and is provided for compatibility with previous releases and software
that does not support compilation with OpenSSL-1.1."
python3-createrepo_c,库,服务, Python 3 bindings for the createrepo_c library, Python 3 bindings for the createrepo_c library.
scala-apidoc,库,服务, Documentation for the Scala programming language," Scala is a general purpose programming language for the JVM that blends
object-oriented and functional programming. This package provides
reference and API documentation for the Scala programming language."
perl-DB_File,库,服务, Perl5 access to Berkeley DB version 1.x," DB_File is a module which allows Perl programs to make use of the facilities
provided by Berkeley DB version 1.x (if you have a newer version of DB, you
will be limited to functionality provided by interface of version 1.x). The
interface defined here mirrors the Berkeley DB interface closely."
libosinfo,库,服务, A library for managing OS information for virtualization," libosinfo is a library that allows virtualization provisioning tools to
determine the optimal device settings for a hypervisor/operating system
combination."
mesa-libglapi,库,服务, Mesa shared glapi, Mesa shared glapi.
gupnp-igd,库,服务, Library to handle UPnP IGD port mapping, gupnp-igd is a library to handle UPnP IGD port mapping.
libknet1-compress-lzma-plugin,库,服务, Libknet1 lzma support, lzma compression support for libknet1.
automake,工具,服务, A GNU tool for automatically creating Makefiles," Automake is a tool for automatically generating `Makefile.in'
files compliant with the GNU Coding Standards.

You should install Automake if you are developing software and would
like to use its ability to automatically generate GNU standard
Makefiles."
glusterfs-client-xlators,工具,服务, GlusterFS client-side translators," GlusterFS is a distributed file-system capable of scaling to several
petabytes. It aggregates various storage bricks over Infiniband RDMA
or TCP/IP interconnect into one large parallel network file
system. GlusterFS is one of the most sophisticated file systems in
terms of features and extensibility.  It borrows a powerful concept
called Translators from GNU Hurd kernel. Much of the code in GlusterFS
is in user space and easily manageable.

This package provides the translators needed on any GlusterFS client."
wodim,工具,服务, A command line CD/DVD recording program," Wodim is an application for creating audio and data CDs. Wodim
works with many different brands of CD recorders, fully supports
multi-sessions and provides human-readable error messages."
openssh-server,服务,服务,An open source SSH server daemon ,"OpenSSH is a free version of SSH (Secure SHell), a program for logging
into and executing commands on a remote machine. This package contains
the secure shell daemon (sshd). The sshd daemon allows SSH clients to
securely connect to your SSH server. "
boost-stacktrace,库,服务, Run-time component of boost stacktrace library," 
Run-time component of the Boost stacktrace library."
malaga,工具,服务, A programming language for automatic language analysis," A software package for the development and application of
grammars that are used for the analysis of words and sentences of natural
languages. It is a language-independent system that offers a programming
language for the modelling of the language-dependent grammatical
information. This language is also called Malaga.

Malaga is based on the grammatical theory of the ""Left Associative Grammar""
(LAG), developed by Roland Hausser, professor for Computational Linguistics at
University of Erlangen, Germany."
dyninst-testsuite,工具,服务, Programs for testing Dyninst," dyninst-testsuite includes the test harness and target programs for
making sure that dyninst works properly."
gnome-shell-extension-panel-favorites,服务,服务, Favorite launchers in GNOME Shell's top bar, This GNOME Shell extension adds favorite launchers to the top bar.
libXext,库,服务, X.Org X11 libXext runtime library, X.Org X11 libXext runtime library
valgrind,工具,服务, Tool for finding memory management bugs in programs," Valgrind is an instrumentation framework for building dynamic analysis
tools. There are Valgrind tools that can automatically detect many
memory management and threading bugs, and profile your programs in
detail. You can also use Valgrind to build new tools. The Valgrind
distribution currently includes six production-quality tools: a memory
error detector (memcheck, the default tool), two thread error
detectors (helgrind and drd), a cache and branch-prediction profiler
(cachegrind), a call-graph generating cache and branch-prediction
profiler (callgrind), and a heap profiler (massif)."
rhythmbox,工具,服务, Music Management Application," Rhythmbox is an integrated music management application based on the powerful
GStreamer media framework. It has a number of features, including an easy to
use music browser, searching and sorting, comprehensive audio format support
through GStreamer, Internet Radio support, playlists and more.

Rhythmbox is extensible through a plugin system."
perl-homedir,库,服务, Per-user Perl local::lib setup," perl-homedir configures the system to automatically create a ~/perl5
directory in each user's $HOME on user login.  This allows each user to
install CPAN packages via the CPAN to their $HOME, with no additional
configuration or privileges, and without installing them system-wide.

If you want your users to be able to install and use their own Perl modules,
install this package."
