name,label,bert_graph_pred,summary,description
amanda,服务,工具, A network-capable tape backup solution," AMANDA, the Advanced Maryland Automatic Network Disk Archiver, is a
backup system that allows the administrator of a LAN to set up a
single master backup server to back up multiple hosts to one or more
tape drives or disk files.  AMANDA uses native dump and/or GNU tar
facilities and can back up a large number of workstations running
multiple versions of Unix.  Newer versions of AMANDA (including this
version) can use SAMBA to back up Microsoft(TM) Windows95/NT hosts.
The amanda package contains the core AMANDA programs and will need to
be installed on both AMANDA clients and AMANDA servers.  Note that you
will have to install the amanda-client and/or amanda-server packages as
well."
freeradius-sqlite,服务,库, SQLite support for freeradius, This plugin provides the SQLite support for the FreeRADIUS server project.
orc-compiler,工具,库, Orc compiler," The Orc compiler, to produce optimized code."
libhugetlbfs-utils,工具,库,Userspace utilities for configuring the hugepage environment ,"This packages contains a number of utilities that will help administrate the
use of huge pages on your system.  hugeedit modifies binaries to set default
segment remapping behavior. hugectl sets environment variables for using huge
pages and then execs the target program. hugeadm gives easy access to huge page
pool size control. pagesize lists page sizes available on the machine. "
libidn2,库,工具, Library to support IDNA2008 internationalized domain names," Libidn2 is an implementation of the IDNA2008 specifications in RFC
5890, 5891, 5892, 5893 and TR46 for internationalized domain names
(IDN). It is a standalone library, without any dependency on libidn."
vorbis-tools,工具,库, The Vorbis General Audio Compression Codec tools," Ogg Vorbis is a fully open, non-proprietary, patent- and royalty-free,
general-purpose compressed audio format for audio and music at fixed
and variable bitrates from 16 to 128 kbps/channel.

The vorbis package contains an encoder, a decoder, a playback tool, and a
comment editor."
cppcheck,工具,库, Tool for static C/C++ code analysis," Cppcheck is a static analysis tool for C/C++ code. Unlike C/C++
compilers and many other analysis tools it does not detect syntax
errors in the code. Cppcheck primarily detects the types of bugs that
the compilers normally do not detect. The goal is to detect only real
errors in the code (i.e. have zero false positives)."
vapoursynth-tools,工具,库, Extra tools for VapourSynth, This package contains the vspipe tool for interfacing with VapourSynth.
python3-sphinx-theme-alabaster,库,其它, Configurable sidebar-enabled Sphinx theme," This theme is a modified ""Kr"" Sphinx theme from @kennethreitz (especially as
used in his Requests project), which was itself originally based on @mitsuhiko's
theme used for Flask & related projects."
trace-cmd,工具,库,A user interface to Ftrace ,"trace-cmd is a user interface to Ftrace. Instead of needing to use the
debugfs directly, trace-cmd will handle of setting of options and
tracers and will record into a data file. "
compat-openssl10,库,工具, Compatibility version of the OpenSSL library," The OpenSSL toolkit provides support for secure communications between
machines. This version of OpenSSL package contains only the libraries
and is provided for compatibility with previous releases and software
that does not support compilation with OpenSSL-1.1."
scala-apidoc,库,工具, Documentation for the Scala programming language," Scala is a general purpose programming language for the JVM that blends
object-oriented and functional programming. This package provides
reference and API documentation for the Scala programming language."
mesa-libglapi,库,工具, Mesa shared glapi, Mesa shared glapi.
automake,工具,库, A GNU tool for automatically creating Makefiles," Automake is a tool for automatically generating `Makefile.in'
files compliant with the GNU Coding Standards.

You should install Automake if you are developing software and would
like to use its ability to automatically generate GNU standard
Makefiles."
glusterfs-client-xlators,工具,库, GlusterFS client-side translators," GlusterFS is a distributed file-system capable of scaling to several
petabytes. It aggregates various storage bricks over Infiniband RDMA
or TCP/IP interconnect into one large parallel network file
system. GlusterFS is one of the most sophisticated file systems in
terms of features and extensibility.  It borrows a powerful concept
called Translators from GNU Hurd kernel. Much of the code in GlusterFS
is in user space and easily manageable.

This package provides the translators needed on any GlusterFS client."
malaga,工具,库, A programming language for automatic language analysis," A software package for the development and application of
grammars that are used for the analysis of words and sentences of natural
languages. It is a language-independent system that offers a programming
language for the modelling of the language-dependent grammatical
information. This language is also called Malaga.

Malaga is based on the grammatical theory of the ""Left Associative Grammar""
(LAG), developed by Roland Hausser, professor for Computational Linguistics at
University of Erlangen, Germany."
dyninst-testsuite,工具,库, Programs for testing Dyninst," dyninst-testsuite includes the test harness and target programs for
making sure that dyninst works properly."
valgrind,工具,库, Tool for finding memory management bugs in programs," Valgrind is an instrumentation framework for building dynamic analysis
tools. There are Valgrind tools that can automatically detect many
memory management and threading bugs, and profile your programs in
detail. You can also use Valgrind to build new tools. The Valgrind
distribution currently includes six production-quality tools: a memory
error detector (memcheck, the default tool), two thread error
detectors (helgrind and drd), a cache and branch-prediction profiler
(cachegrind), a call-graph generating cache and branch-prediction
profiler (callgrind), and a heap profiler (massif)."
rhythmbox,工具,库, Music Management Application," Rhythmbox is an integrated music management application based on the powerful
GStreamer media framework. It has a number of features, including an easy to
use music browser, searching and sorting, comprehensive audio format support
through GStreamer, Internet Radio support, playlists and more.

Rhythmbox is extensible through a plugin system."
checkpolicy,工具,库, SELinux policy compiler," Security-enhanced Linux is a feature of the Linux庐 kernel and a number
of utilities with enhanced security functionality designed to add
mandatory access controls to Linux.  The Security-enhanced Linux
kernel contains new architectural components originally developed to
improve the security of the Flask operating system. These
architectural components provide general support for the enforcement
of many kinds of mandatory access control policies, including those
based on the concepts of Type Enforcement庐, Role-based Access
Control, and Multi-level Security.

This package contains checkpolicy, the SELinux policy compiler.
Only required for building policies."
docker-engine,服务,工具, Docker daemon binary and related utilities, Docker daemon binary and related utilities
matchbox-window-manager,工具,库, Window manager for the Matchbox Desktop," Matchbox is a base environment for the X Window System running on non-desktop
embedded platforms such as handhelds, set-top boxes, kiosks and anything else
for which screen space, input mechanisms or system resources are limited.

This package contains the window manager from Matchbox."
fence-agents-ipmilan,服务,工具, Fence agents for devices with IPMI interface, Fence agents for devices with IPMI interface.
libbabeltrace,库,工具, Common Trace Format Babel Tower," This project provides trace read and write libraries, as well as a trace
converter. A plugin can be created for any trace format to allow its conversion
to/from another trace format."
python38-setuptools-wheel,库,工具, The setuptools wheel, A Python wheel of setuptools to use with venv.
deepin-editor,服务,工具, Simple editor for Linux Deepin, Simple editor for Linux Deepin.
authselect-compat,工具,库, Tool to provide minimum backwards compatibility with authconfig," This package will replace /usr/sbin/authconfig with a tool that will
translate some of the authconfig calls into authselect calls. It provides
only minimum backward compatibility and users are encouraged to migrate
to authselect completely."
texlive-knuth-local,库,工具, Knuth's local information," A collection of experimental programs and developments based
on, or complementary to, the matter in his distribution
directories."
potrace,工具,库, Transform bitmaps into vector graphics," Potrace is a utility for tracing a bitmap, which means, transforming a bitmap
into a smooth, scalable image. The input is a bitmap (PBM, PGM, PPM, or BMP
format), and the default output is an encapsulated PostScript file (EPS).
A typical use is to create EPS files from scanned data, such as company or
university logos, handwritten notes, etc. The resulting image is not ""jaggy""
like a bitmap, but smooth. It can then be rendered at any resolution.

Potrace can currently produce the following output formats: EPS, PostScript,
PDF, SVG (scalable vector graphics), Xfig, Gimppath, and PGM (for easy
antialiasing). Additional backends might be added in the future.

Mkbitmap is a program distributed with Potrace which can be used to pre-process
the input for better tracing behavior on greyscale and color images."
ncompress,工具,库, Fast compression and decompression utilities," The ncompress package contains the compress and uncompress file
compression and decompression utilities, which are compatible with the
original UNIX compress utility (.Z file extensions).  These utilities
can't handle gzipped (.gz file extensions) files, but gzip can handle
compressed files.

Install ncompress if you need compression/decompression utilities
which are compatible with the original UNIX compress utility."
antlr-tool,工具,库, ANother Tool for Language Recognition," ANTLR, ANother Tool for Language Recognition, (formerly PCCTS) is a
language tool that provides a framework for constructing recognizers,
compilers, and translators from grammatical descriptions containing
C++ or Java actions [You can use PCCTS 1.xx to generate C-based
parsers]."
python39-pip,工具,库, A tool for installing and managing Python3 packages," pip is a package management system used to install and manage software packages
written in Python. Many packages can be found in the Python Package Index
(PyPI). pip is a recursive acronym that can stand for either ""Pip Installs
Packages"" or ""Pip Installs Python""."
gedit-plugin-bookmarks,服务,库, gedit bookmarks plugin, The gedit bookmarks plugin.
rpm-plugin-fapolicyd,库,工具, Rpm plugin for fapolicyd functionality, Rpm plugin for fapolicyd functionality.
papirus-icon-theme,库,服务, Free and open source SVG icon theme based on Paper Icon Set," Papirus is a free and open source SVG icon theme for Linux, based on Paper
Icon Set with a lot of new icons and a few extras, like Hardcode-Tray support,
KDE colorscheme support, Folder Color support, and others.

Papirus icon theme is available in six variants:

 - Papirus (for Arc / Arc Darker)
 - Papirus Dark (for Arc Dark)
 - Papirus Light (light theme with Breeze colors)
 - Papirus Adapta (for Adapta)
 - Papirus Adapta Nokto (for Adapta Nokto)
 - ePapirus (for elementary OS and Pantheon Desktop)"
kata-containers,服务,工具, Kata Containers version 3.x repository," 
Kata Containers version 3.x repository. Kata Containers is an open source
project and community working to build a standard implementation of lightweight
Virtual Machines (VMs) that feel and perform like containers, but provide the
workload isolation and security advantages of VMs. https://katacontainers.io/.

%gopkg"
byacc,工具,库," Berkeley Yacc, a parser generator"," This package provides a parser generator utility that reads a grammar
specification from a file and generates an LR(1) parser for it.  The
parsers consist of a set of LALR(1) parsing tables and a driver
routine written in the C programming language.  It has a public domain
license which includes the generated C.

If you are going to do development on your system, you will want to install
this package."
libreoffice-data,库,工具, LibreOffice data files, libreoffice-data contains platform-independent data files.
tigervnc,工具,库, A TigerVNC remote display system," Virtual Network Computing (VNC) is a remote display system which
allows you to view a computing 'desktop' environment not only on the
machine where it is running, but from anywhere on the Internet and
from a wide variety of machine architectures.  This package contains a
client which will allow you to connect to other desktops running a VNC
server."
jose,工具,库, Tools for JSON Object Signing and Encryption (JOSE)," Jos茅 is a command line utility for performing various tasks on JSON
Object Signing and Encryption (JOSE) objects. Jos茅 provides a full
crypto stack including key generation, signing and encryption."
kf5-kcodecs,工具,库, KDE Frameworks 5 Tier 1 addon with string manipulation methods, KDE Frameworks 5 Tier 1 addon with string manipulation methods.
paps,工具,库, Plain Text to PostScript converter, paps is a PostScript converter from plain text file using Pango.
mariadb-embedded,库,服务, MariaDB as an embeddable library," MariaDB is a multi-user, multi-threaded SQL database server. This
package contains a version of the MariaDB server that can be embedded
into a client application instead of running as a separate process.
MariaDB is a community developed branch of MySQL."
yelp-xsl,库,工具, XSL stylesheets for the yelp help browser, This package contains XSL stylesheets that are used by the yelp help browser.
brasero,工具,库, Gnome CD/DVD burning application," Simple and easy to use CD/DVD burning application for the Gnome
desktop."
nm-connection-editor,工具,库, A network connection configuration editor for NetworkManager," This package contains a network configuration editor and Bluetooth modem
utility for use with NetworkManager."
tigervnc-server-minimal,服务,库, A minimal installation of TigerVNC server," The VNC system allows you to access the same desktop from a wide
variety of platforms. This package contains minimal installation
of TigerVNC server, allowing others to access the desktop on your
machine."
texlive-xetex,工具,库, Unicode and OpenType-enabled TeX engine," XeTeX is an extension of TeX that integrates TeX's typesetting capabilities
with (a) the Unicode text encoding standard (supporting most of the world__
scripts) and (b) modern font technologies (TrueType and OpenType) and text
layout services (AAT, OpenType layout, SIL Graphite) provided by the host
operating system and available libraries.

With XeTeX, the advanced typographic features provided by OpenType fonts become
available for all TeX users, as well as support for complex non-roman scripts.
XeTeX also eliminates the complex task of managing a TeX font installation.
XeTeX is now part of the standard TeX distribution TeXLive and works well with
TeX macro packages like LaTeX and ConTeXt."
iperf3,工具,库, Measurement tool for TCP/UDP bandwidth performance," Iperf is a tool to measure maximum TCP bandwidth, allowing the tuning of
various parameters and UDP characteristics. Iperf reports bandwidth, delay
jitter, data-gram loss."
hwdata,其它,库,Hardware identification and configuration data ,"hwdata contains various hardware identification and configuration data,
such as the pci.ids and usb.ids databases. "
setserial,工具,库,A utility for configuring serial ports ,"Setserial is a basic system utility for displaying or setting serial
port information. Setserial can reveal and allow you to alter the I/O
port and IRQ that a particular serial device is using, and more. "
policycoreutils-dbus,工具,库,SELinux policy core DBUS api ,"The policycoreutils-dbus package contains the management DBUS API use to manage
an SELinux environment. "
libreport-plugin-rhtsupport,工具,库, libreport's RHTSupport plugin, Plugin to report bugs into RH support system.
libstoragemgmt-megaraid-plugin,库,工具,Files for LSI MegaRAID support for libstoragemgmt ,"The libstoragemgmt-megaraid-plugin package contains the plugin for LSI
MegaRAID storage management via storcli. "
rubygem-rdoc,工具,库, A tool to generate HTML and command-line documentation for Ruby projects," RDoc produces HTML and command-line documentation for Ruby projects.  RDoc
includes the 'rdoc' and 'ri' tools for generating and displaying online
documentation."
hivex,工具,库, Read and write Windows Registry binary hive files," Hive files are the undocumented binary files that Windows uses to
store the Windows Registry on disk.  Hivex is a library that can read
and write to these files.

'hivexsh' is a shell you can use to interactively navigate a hive
binary file.

'hivexregedit' (in perl-hivex) lets you export and merge to the
textual regedit format.

'hivexml' can be used to convert a hive file to a more useful XML
format.

In order to get access to the hive files themselves, you can copy them
from a Windows machine.  They are usually found in
%systemroot%\system32\config.  For virtual machines we recommend
using libguestfs or guestfish to copy out these files.  libguestfs
also provides a useful high-level tool called 'virt-win-reg' (based on
hivex technology) which can be used to query specific registry keys in
an existing Windows VM.

For OCaml bindings, see 'ocaml-hivex-devel'.

For Perl bindings, see 'perl-hivex'.

For Python 3 bindings, see 'python3-hivex'.

For Ruby bindings, see 'ruby-hivex'."
postgresql-upgrade,服务,库, Support for upgrading from the previous major release of PostgreSQL," The postgresql-upgrade package contains the pg_upgrade utility and supporting
files needed for upgrading a PostgreSQL database from the previous major
version of PostgreSQL."
texlive-cns,库,工具, cns package, cns package
i2c-tools-perl,工具,库, i2c tools written in Perl, A collection of tools written in perl for use with i2c devices.
mythes-nn,工具,库, Nynorsk thesaurus, Nynorsk thesaurus.
chrpath,工具,库,Modify rpath of compiled programs ,"chrpath allows you to modify the dynamic library load path (rpath) of
compiled programs.  Currently, only removing and modifying the rpath
is supported. "
dtkcommon,工具,库, DTK common files, This package contains common configuration files for DTK.
keentuned,服务,工具, KeenTune tuning tools, KeenTune tuning tools rpm package
rasqal,库,工具, RDF Query Library," Rasqal is a library providing full support for querying Resource
Description Framework (RDF) including parsing query syntaxes, constructing
the queries, executing them and returning result formats.  It currently
handles the RDF Data Query Language (RDQL) and SPARQL Query language."
unicode-ucd,库,工具, Unicode Character Database," The Unicode Character Database (UCD) consists of a number of data files listing
Unicode character properties and related data. It also includes data files
containing test data for conformance to several important Unicode algorithms."
web-assets-filesystem,服务,库, The basic directory layout for Web Assets, The basic directory layout for Web Assets.
kernel-debug-modules-extra,其它,服务, Extra kernel modules to match the debug kernel, This package provides less commonly used kernel modules for the debug kernel package.
ntfs-3g,服务,库, Linux NTFS userspace driver," NTFS-3G is a stable, open source, GPL licensed, POSIX, read/write NTFS
driver for Linux and many other operating systems. It provides safe
handling of the Windows XP, Windows Server 2003, Windows 2000, Windows
Vista, Windows Server 2008 and Windows 7 NTFS file systems. NTFS-3G can
create, remove, rename, move files, directories, hard links, and streams;
it can read and write normal and transparently compressed files, including
streams and sparse files; it can handle special files like symbolic links,
devices, and FIFOs, ACL, extended attributes; moreover it provides full
file access right and ownership support."
gcc-toolset-10-elfutils-libelf,库,工具, Library to read and write ELF files," The elfutils-libelf package provides a DSO which allows reading and
writing ELF files on a high level.  Third party programs depend on
this package to read internals of ELF files.  The programs of the
elfutils package use it also to generate new ELF files."
ocaml-compiler-libs,库,工具, Compiler libraries for OCaml," OCaml is a high-level, strongly-typed, functional and object-oriented
programming language from the ML family of languages.

This package contains some modules used internally by the OCaml
compilers, useful for the development of some OCaml applications.
Note that this exposes internal details of the OCaml compiler which
may not be portable between versions."
iwpmd,服务,库,iWarp Port Mapper userspace daemon ,"iwpmd provides a userspace service for iWarp drivers to claim
tcp ports through the standard socket interface. "
opendnssec,服务,库, DNSSEC key and zone management software," OpenDNSSEC was created as an open-source turn-key solution for DNSSEC.
It secures zone data just before it is published in an authoritative
name server. It requires a PKCS#11 crypto module library, such as softhsm"
xorg-x11-utils,工具,库, X.Org X11 X client utilities," A collection of client utilities which can be used to query the X server for
various information."
bind-export-libs,库,服务, ISC libs for DHCP application," BIND (Berkeley Internet Name Domain) is an implementation of the DNS
(Domain Name System) protocols. This package set contains only export
version of BIND libraries, that are used for building ISC DHCP."
quota-nld,服务,工具,quota_nld daemon ,"Daemon that listens on netlink socket and processes received quota warnings.
Note, that you have to enable the kernel support for sending quota messages
over netlink (in Filesystems->Quota menu). The daemon supports forwarding
warning messages to the system D-Bus (so that desktop manager can display
a dialog) and writing them to the terminal user has last accessed. "
grafana-pcp,服务,库, Performance Co-Pilot Grafana Plugin," This Grafana plugin for Performance Co-Pilot includes datasources for
scalable time series from pmseries(1) and Redis, live PCP metrics and
bpftrace scripts from pmdabpftrace(1), as well as several dashboards."
varnish,服务,工具, High-performance HTTP accelerator," This is Varnish Cache, a high-performance HTTP accelerator.

Varnish Cache stores web pages in memory so web servers don__ have to
create the same web page over and over again. Varnish Cache serves
pages much faster than any application server; giving the website a
significant speed up.

Documentation wiki and additional information about Varnish Cache is
available on: https://www.varnish-cache.org/"
tuned-profiles-compat,库,服务,Additional tuned profiles mainly for backward compatibility with tuned 1.0 ,"Additional tuned profiles mainly for backward compatibility with tuned 1.0.
It can be also used to fine tune your system for specific scenarios. "
libblkid,库,工具, Block device ID library," This is block device identification library, part of util-linux."
bsdcpio,库,工具, Copy files to and from archives," The bsdcpio package contains standalone bsdcpio utility split off regular
libarchive packages."
sblim-gather-provider,库,服务, SBLIM Gatherer Provider," The CIM (Common Information Model) Providers for the
SBLIM (Standards Based Linux Instrumentation for Manageability)
Gatherer."
ibus-table-chinese-cangjie,库,工具, Cangjie based input methods," Cangjie based input methods, includes:
Cangjie3, Canjie5, and Cangjie big tables."
openjade,库,工具, A DSSSL implementation," OpenJade is an implementation of the ISO/IEC 10179:1996 standard DSSSL
(Document Style Semantics and Specification Language). OpenJade is
based on James Clark's Jade implementation of DSSSL. OpenJade is a
command-line application and a set of components. The DSSSL engine
inputs an SGML or XML document and can output a variety of formats:
XML, RTF, TeX, MIF (FrameMaker), SGML, or XML."
libnetfilter_cttimeout,库,工具, Timeout policy tuning for Netfilter/conntrack," This infrastructure allows you to define fine-grain timeout
policies per flow. Basically, from user-space, you can create
timeout policy objects via nfct_timeout_alloc(), set the
policy attributes, via nfct_timeout_*_attr_set(), and then
build the ctnetlink message to communicate this new timeout
policy to the kernel."
bind-pkcs11-utils,工具,库, Bind tools with native PKCS#11 for using DNSSEC," This is a set of PKCS#11 utilities that when used together create rsa
keys in a PKCS11 keystore. Also utilities for working with DNSSEC
compiled with native PKCS#11 functionality are included."
fence-agents-kubevirt,服务,库, Fence agent for KubeVirt platform, Fence agent for KubeVirt platform.
libstoragemgmt-hpsa-plugin,库,工具, Files for HP SmartArray support for libstoragemgmt," The libstoragemgmt-hpsa-plugin package contains the plugin for HP
SmartArray storage management via hpssacli."
js-d3-flame-graph,库,服务, A D3.js plugin that produces flame graphs, A D3.js plugin that produces flame graphs from hierarchical data.
lorax-lmc-virt,工具,服务, livemedia-creator libvirt dependencies, Additional dependencies required by livemedia-creator when using it with qemu-kvm.
fcitx-gtk3,库,工具, Fcitx IM module for gtk3, This package contains Fcitx IM module for gtk3.
ctags,工具,库, A C programming language indexing and/or cross-reference tool," Ctags generates an index (or tag) file of C language objects found in
C source and header files.  The index makes it easy for text editors or
other utilities to locate the indexed items.  Ctags can also generate a
cross reference file which lists information about the various objects
found in a set of C language files in human readable form.  Exuberant
Ctags improves on ctags because it can find all types of C language tags,
including macro definitions, enumerated values (values inside enum{...}),
function and method definitions, enum/struct/union tags, external
function prototypes, typedef names and variable declarations.  Exuberant
Ctags is far less likely to be fooled by code containing #if preprocessor
conditional constructs than ctags.  Exuberant ctags supports output of
Emacs style TAGS files and can be used to print out a list of selected
objects found in source files.

Install ctags if you are going to use your system for C programming."
libqtermwidget5-data,库,工具, Terminal emulator widget for Qt 5," Terminal emulator widget for Qt 5 (shared libraries)
QTermWidget is a Unicode-enabled, embeddable Qt widget that can be used as
built-in console or terminal emulation widget."
libcdio-paranoia,库,工具, CD paranoia on top of libcdio," This CDDA reader distribution ('libcdio-cdparanoia') reads audio from the
CDROM directly as data, with no analog step between, and writes the
data to a file or pipe as .wav, .aifc or as raw 16 bit linear PCM.

Split off from libcdio to allow more flexible licensing and to be compatible
with cdparanoia-III-10.2's license. And also, libcdio is just too large."
pcp-testsuite,库,服务, Performance Co-Pilot (PCP) test suite, Quality assurance test suite for Performance Co-Pilot (PCP).
kde-settings-pulseaudio,工具,服务, Enable pulseaudio support in KDE, Enable pulseaudio support in KDE.
cracklib-dicts,工具,库,The standard CrackLib dictionaries ,"The cracklib-dicts package includes the CrackLib dictionaries.
CrackLib will need to use the dictionary appropriate to your system,
which is normally put in /usr/share/dict/words. Cracklib-dicts also
contains the utilities necessary for the creation of new dictionaries.

If you are installing CrackLib, you should also install cracklib-dicts. "
lsscsi,工具,库,List SCSI devices (or hosts) and associated information ,"Uses information provided by the sysfs pseudo file system in Linux kernel
2.6 series to list SCSI devices or all SCSI hosts. Includes a ""classic""
option to mimic the output of ""cat /proc/scsi/scsi"" that has been widely
used prior to the lk 2.6 series.

Author:
--------
    Doug Gilbert <dgilbert(at)interlog(dot)com> "
gnome-initial-setup,服务,库, Bootstrapping your OS," GNOME Initial Setup is an alternative to firstboot, providing
a good setup experience to welcome you to your system, and walks
you through configuring it. It is integrated with gdm."
xorg-x11-apps,工具,库, X.Org X11 applications, A collection of common X Window System applications.
haproxy,服务,库, HAProxy reverse proxy for high availability environments," HAProxy is a TCP/HTTP reverse proxy which is particularly suited for high
availability environments. Indeed, it can:
 - route HTTP requests depending on statically assigned cookies
 - spread load among several servers while assuring server persistence
   through the use of HTTP cookies
 - switch to backup servers in the event a main one fails
 - accept connections to special ports dedicated to service monitoring
 - stop accepting connections without breaking existing ones
 - add, modify, and delete HTTP headers in both directions
 - block requests matching particular patterns
 - report detailed status to authenticated users from a URI
   intercepted from the application"
maven-plugin-registry,工具,库, Compatibility Maven plugin registry artifact, Maven plugin registry artifact
libmpc,库,工具, C library for multiple precision complex arithmetic," 
MPC is a C library for the arithmetic of complex numbers with
arbitrarily high precision and correct rounding of the result. It is
built upon and follows the same principles as Mpfr."
openbox-kde,工具,服务, KDE integration for openbox," The openbox-kde package contains the files needed for using openbox inside a
KDE session."
tog-pegasus,服务,库, OpenPegasus WBEM Services for Linux," OpenPegasus WBEM Services for Linux enables management solutions that deliver
increased control of enterprise resources. WBEM is a platform and resource
independent DMTF standard that defines a common information model and
communication protocol for monitoring and controlling resources from diverse
sources."
adwaita-gtk2-theme,其它,库, Adwaita gtk2 theme," The adwaita-gtk2-theme package contains a gtk2 theme for presenting widgets
with a GNOME look and feel."
brasero-nautilus,工具,库, Nautilus extension for brasero, The brasero-nautilus package contains the brasero nautilus extension.
maven-surefire-plugin,工具,库, Surefire plugin for maven, Maven surefire plugin for running tests via the surefire framework.
nbdkit-curl-plugin,库,工具, HTTP/FTP (cURL) plugin for nbdkit, This package contains cURL (HTTP/FTP) support for nbdkit.
python3-wheel,库,工具, Built-package format for Python," A built-package format for Python.

A wheel is a ZIP-format archive with a specially formatted filename and the
.whl extension. It is designed to contain all the files for a PEP 376
compatible install in a way that is very close to the on-disk format.

Python 3 version."
unrar,工具,库," Utility for extracting, testing and viewing RAR archives"," The unrar utility is a freeware program for extracting, testing and
viewing the contents of archives created with the RAR archiver version
1.50 and above."
tix,库,工具, A set of extension widgets for Tk," Tix, the Tk Interface eXtension, is a powerful set of user interface
components that expands the capabilities of your Tcl/Tk and Python
applications. Using Tix together with Tk will greatly enhance the
appearance and functionality of your application."
sblim-cmpi-base,库,工具, SBLIM CMPI Base Providers," SBLIM (Standards Based Linux Instrumentation for Manageability)
CMPI (Common Manageability Programming Interface) Base Providers
for System-Related CIM (Common Information Model) classes."
sushi,工具,库, A quick previewer for Nautilus," This is sushi, a quick previewer for Nautilus, the GNOME desktop
file manager."
yp-tools,工具,库, NIS (or YP) client programs," The Network Information Service (NIS) is a system which provides
network information (login names, passwords, home directories, groupinformation) to all of the machines on a network.  NIS can enable
information) to all of the machines on a network.  NIS can enable
users to login on any machine on the network, as long as the machine
has the NIS client programs running and the user's password is
recorded in the NIS passwd database.  NIS was formerly known as Sun
Yellow Pages (YP).

This package's NIS implementation is based on FreeBSD's YP and is a
special port for glibc 2.x and libc versions 5.4.21 and later.  This
package only provides the NIS client programs.  In order to use the
clients, you'll need to already have an NIS server running on your
network. An NIS server is provided in the ypserv package.

Install the yp-tools package if you need NIS client programs for machines
on your network.  You will also need to install the ypbind package on
every machine running NIS client programs.  If you need an NIS server,
you'll need to install the ypserv package on one machine on the network."
ibus-table-chinese-scj,工具,库, Smart Cangjie," Smart Cangjie is an improved Cangjie base input method
which handles Cangjie, Quick, Cantonese, Chinese punctuation,
Japanese, 3000 frequent words by Hong Kong government,
both Traditional and Simplified Chinese.

This package includes the Smart Cangjie 6."
java-11-alibaba-dragonwell-headless-fastdebug,库,工具, Alibaba Dragonwell11 Runtime Environment headless fastdebug, Alibaba Dragonwell11 Runtime Environment headless fastdebug
subversion-gnome,服务,库, GNOME Keyring support for Subversion," The subversion-gnome package adds support for storing Subversion
passwords in the GNOME Keyring."
golang-github-mozillazg-pinyin,库,服务, lofanmi-pinyin, go-pinyin
