name,label,bert_pred,graph_pred,summary,description
texlive-knuth-local,库,工具,工具, Knuth's local information," A collection of experimental programs and developments based
on, or complementary to, the matter in his distribution
directories."
libindicator-gtk3,库,库,工具, GTK+3 build of libindicator," A set of symbols and convenience functions that all Ayatana indicators
are likely to use. This is the GTK+ 3 build of libindicator, for use
by GTK+ 3 apps."
antlr-tool,工具,工具,库, ANother Tool for Language Recognition," ANTLR, ANother Tool for Language Recognition, (formerly PCCTS) is a
language tool that provides a framework for constructing recognizers,
compilers, and translators from grammatical descriptions containing
C++ or Java actions [You can use PCCTS 1.xx to generate C-based
parsers]."
anaconda-core,工具,工具,服务, Core of the Anaconda installer," The anaconda-core package contains the program which was used to install your
system."
gedit-plugin-bookmarks,服务,库,库, gedit bookmarks plugin, The gedit bookmarks plugin.
papirus-icon-theme,库,其它,服务, Free and open source SVG icon theme based on Paper Icon Set," Papirus is a free and open source SVG icon theme for Linux, based on Paper
Icon Set with a lot of new icons and a few extras, like Hardcode-Tray support,
KDE colorscheme support, Folder Color support, and others.

Papirus icon theme is available in six variants:

 - Papirus (for Arc / Arc Darker)
 - Papirus Dark (for Arc Dark)
 - Papirus Light (light theme with Breeze colors)
 - Papirus Adapta (for Adapta)
 - Papirus Adapta Nokto (for Adapta Nokto)
 - ePapirus (for elementary OS and Pantheon Desktop)"
kata-containers,服务,库,库, Kata Containers version 3.x repository," 
Kata Containers version 3.x repository. Kata Containers is an open source
project and community working to build a standard implementation of lightweight
Virtual Machines (VMs) that feel and perform like containers, but provide the
workload isolation and security advantages of VMs. https://katacontainers.io/.

%gopkg"
tigervnc,工具,服务,服务, A TigerVNC remote display system," Virtual Network Computing (VNC) is a remote display system which
allows you to view a computing 'desktop' environment not only on the
machine where it is running, but from anywhere on the Internet and
from a wide variety of machine architectures.  This package contains a
client which will allow you to connect to other desktops running a VNC
server."
jose,工具,工具,库, Tools for JSON Object Signing and Encryption (JOSE)," Jos茅 is a command line utility for performing various tasks on JSON
Object Signing and Encryption (JOSE) objects. Jos茅 provides a full
crypto stack including key generation, signing and encryption."
kf5-kcodecs,工具,工具,库, KDE Frameworks 5 Tier 1 addon with string manipulation methods, KDE Frameworks 5 Tier 1 addon with string manipulation methods.
paps,工具,工具,库, Plain Text to PostScript converter, paps is a PostScript converter from plain text file using Pango.
mariadb-embedded,库,库,服务, MariaDB as an embeddable library," MariaDB is a multi-user, multi-threaded SQL database server. This
package contains a version of the MariaDB server that can be embedded
into a client application instead of running as a separate process.
MariaDB is a community developed branch of MySQL."
nm-connection-editor,工具,服务,库, A network connection configuration editor for NetworkManager," This package contains a network configuration editor and Bluetooth modem
utility for use with NetworkManager."
texlive-xetex,工具,工具,库, Unicode and OpenType-enabled TeX engine," XeTeX is an extension of TeX that integrates TeX's typesetting capabilities
with (a) the Unicode text encoding standard (supporting most of the world__
scripts) and (b) modern font technologies (TrueType and OpenType) and text
layout services (AAT, OpenType layout, SIL Graphite) provided by the host
operating system and available libraries.

With XeTeX, the advanced typographic features provided by OpenType fonts become
available for all TeX users, as well as support for complex non-roman scripts.
XeTeX also eliminates the complex task of managing a TeX font installation.
XeTeX is now part of the standard TeX distribution TeXLive and works well with
TeX macro packages like LaTeX and ConTeXt."
iperf3,工具,工具,库, Measurement tool for TCP/UDP bandwidth performance," Iperf is a tool to measure maximum TCP bandwidth, allowing the tuning of
various parameters and UDP characteristics. Iperf reports bandwidth, delay
jitter, data-gram loss."
hwdata,其它,库,库,Hardware identification and configuration data ,"hwdata contains various hardware identification and configuration data,
such as the pci.ids and usb.ids databases. "
setserial,工具,工具,库,A utility for configuring serial ports ,"Setserial is a basic system utility for displaying or setting serial
port information. Setserial can reveal and allow you to alter the I/O
port and IRQ that a particular serial device is using, and more. "
libreport-plugin-rhtsupport,工具,工具,库, libreport's RHTSupport plugin, Plugin to report bugs into RH support system.
texlive-parallel,工具,库,库, Typeset parallel texts," Provides a parallel environment which allows two potentially
different texts to be typeset in two columns, while maintaining
alignment. The two columns may be on the same page, or on
facing pages. This arrangement of text is commonly used when
typesetting translations, but it can have value when comparing
any two texts."
gedit-plugin-translate,服务,服务,库, gedit translate plugin, The gedit translate plugin.
rubygem-rdoc,工具,工具,库, A tool to generate HTML and command-line documentation for Ruby projects," RDoc produces HTML and command-line documentation for Ruby projects.  RDoc
includes the 'rdoc' and 'ri' tools for generating and displaying online
documentation."
hivex,工具,工具,库, Read and write Windows Registry binary hive files," Hive files are the undocumented binary files that Windows uses to
store the Windows Registry on disk.  Hivex is a library that can read
and write to these files.

'hivexsh' is a shell you can use to interactively navigate a hive
binary file.

'hivexregedit' (in perl-hivex) lets you export and merge to the
textual regedit format.

'hivexml' can be used to convert a hive file to a more useful XML
format.

In order to get access to the hive files themselves, you can copy them
from a Windows machine.  They are usually found in
%systemroot%\system32\config.  For virtual machines we recommend
using libguestfs or guestfish to copy out these files.  libguestfs
also provides a useful high-level tool called 'virt-win-reg' (based on
hivex technology) which can be used to query specific registry keys in
an existing Windows VM.

For OCaml bindings, see 'ocaml-hivex-devel'.

For Perl bindings, see 'perl-hivex'.

For Python 3 bindings, see 'python3-hivex'.

For Ruby bindings, see 'ruby-hivex'."
postgresql-upgrade,服务,工具,工具, Support for upgrading from the previous major release of PostgreSQL," The postgresql-upgrade package contains the pg_upgrade utility and supporting
files needed for upgrading a PostgreSQL database from the previous major
version of PostgreSQL."
texlive-cns,库,工具,工具, cns package, cns package
i2c-tools-perl,工具,工具,库, i2c tools written in Perl, A collection of tools written in perl for use with i2c devices.
gcc-toolset-11-annobin-docs,工具,工具,库, Documentation and shell scripts for use with annobin, Provides the documentation files and example shell scripts for use with annobin.
libreport-newt,库,工具,工具, libreport's newt interface," This package contains a simple newt application for reporting
bugs"
mythes-nn,工具,库,库, Nynorsk thesaurus, Nynorsk thesaurus.
chrpath,工具,库,库,Modify rpath of compiled programs ,"chrpath allows you to modify the dynamic library load path (rpath) of
compiled programs.  Currently, only removing and modifying the rpath
is supported. "
dtkcommon,工具,库,库, DTK common files, This package contains common configuration files for DTK.
keentuned,服务,工具,工具, KeenTune tuning tools, KeenTune tuning tools rpm package
web-assets-filesystem,服务,库,库, The basic directory layout for Web Assets, The basic directory layout for Web Assets.
ntfs-3g,服务,库,库, Linux NTFS userspace driver," NTFS-3G is a stable, open source, GPL licensed, POSIX, read/write NTFS
driver for Linux and many other operating systems. It provides safe
handling of the Windows XP, Windows Server 2003, Windows 2000, Windows
Vista, Windows Server 2008 and Windows 7 NTFS file systems. NTFS-3G can
create, remove, rename, move files, directories, hard links, and streams;
it can read and write normal and transparently compressed files, including
streams and sparse files; it can handle special files like symbolic links,
devices, and FIFOs, ACL, extended attributes; moreover it provides full
file access right and ownership support."
opendnssec,服务,工具,库, DNSSEC key and zone management software," OpenDNSSEC was created as an open-source turn-key solution for DNSSEC.
It secures zone data just before it is published in an authoritative
name server. It requires a PKCS#11 crypto module library, such as softhsm"
xorg-x11-utils,工具,工具,库, X.Org X11 X client utilities," A collection of client utilities which can be used to query the X server for
various information."
quota-nld,服务,服务,工具,quota_nld daemon ,"Daemon that listens on netlink socket and processes received quota warnings.
Note, that you have to enable the kernel support for sending quota messages
over netlink (in Filesystems->Quota menu). The daemon supports forwarding
warning messages to the system D-Bus (so that desktop manager can display
a dialog) and writing them to the terminal user has last accessed. "
grafana-pcp,服务,服务,库, Performance Co-Pilot Grafana Plugin," This Grafana plugin for Performance Co-Pilot includes datasources for
scalable time series from pmseries(1) and Redis, live PCP metrics and
bpftrace scripts from pmdabpftrace(1), as well as several dashboards."
varnish,服务,库,工具, High-performance HTTP accelerator," This is Varnish Cache, a high-performance HTTP accelerator.

Varnish Cache stores web pages in memory so web servers don__ have to
create the same web page over and over again. Varnish Cache serves
pages much faster than any application server; giving the website a
significant speed up.

Documentation wiki and additional information about Varnish Cache is
available on: https://www.varnish-cache.org/"
tuned-profiles-compat,库,工具,服务,Additional tuned profiles mainly for backward compatibility with tuned 1.0 ,"Additional tuned profiles mainly for backward compatibility with tuned 1.0.
It can be also used to fine tune your system for specific scenarios. "
libblkid,库,库,工具, Block device ID library," This is block device identification library, part of util-linux."
sblim-gather-provider,库,库,服务, SBLIM Gatherer Provider," The CIM (Common Information Model) Providers for the
SBLIM (Standards Based Linux Instrumentation for Manageability)
Gatherer."
ibus-table-chinese-cangjie,库,库,工具, Cangjie based input methods," Cangjie based input methods, includes:
Cangjie3, Canjie5, and Cangjie big tables."
openjade,库,库,工具, A DSSSL implementation," OpenJade is an implementation of the ISO/IEC 10179:1996 standard DSSSL
(Document Style Semantics and Specification Language). OpenJade is
based on James Clark's Jade implementation of DSSSL. OpenJade is a
command-line application and a set of components. The DSSSL engine
inputs an SGML or XML document and can output a variety of formats:
XML, RTF, TeX, MIF (FrameMaker), SGML, or XML."
passwd,工具,工具,服务,An utility for setting or changing passwords using PAM ,"This package contains a system utility (passwd) which sets
or changes passwords, using PAM (Pluggable Authentication
Modules) library. "
bind-pkcs11-utils,工具,工具,库, Bind tools with native PKCS#11 for using DNSSEC," This is a set of PKCS#11 utilities that when used together create rsa
keys in a PKCS11 keystore. Also utilities for working with DNSSEC
compiled with native PKCS#11 functionality are included."
fence-agents-kubevirt,服务,服务,库, Fence agent for KubeVirt platform, Fence agent for KubeVirt platform.
libvirt-lock-sanlock,服务,服务,库, Sanlock lock manager plugin for QEMU driver," Includes the Sanlock lock manager plugin for the QEMU
driver"
lorax-lmc-virt,工具,工具,服务, livemedia-creator libvirt dependencies, Additional dependencies required by livemedia-creator when using it with qemu-kvm.
fcitx-gtk3,库,库,工具, Fcitx IM module for gtk3, This package contains Fcitx IM module for gtk3.
ctags,工具,工具,库, A C programming language indexing and/or cross-reference tool," Ctags generates an index (or tag) file of C language objects found in
C source and header files.  The index makes it easy for text editors or
other utilities to locate the indexed items.  Ctags can also generate a
cross reference file which lists information about the various objects
found in a set of C language files in human readable form.  Exuberant
Ctags improves on ctags because it can find all types of C language tags,
including macro definitions, enumerated values (values inside enum{...}),
function and method definitions, enum/struct/union tags, external
function prototypes, typedef names and variable declarations.  Exuberant
Ctags is far less likely to be fooled by code containing #if preprocessor
conditional constructs than ctags.  Exuberant ctags supports output of
Emacs style TAGS files and can be used to print out a list of selected
objects found in source files.

Install ctags if you are going to use your system for C programming."
pcp-testsuite,库,服务,服务, Performance Co-Pilot (PCP) test suite, Quality assurance test suite for Performance Co-Pilot (PCP).
kde-settings-pulseaudio,工具,工具,服务, Enable pulseaudio support in KDE, Enable pulseaudio support in KDE.
glusterfs,服务,工具,工具, Distributed File System," GlusterFS is a distributed file-system capable of scaling to several
petabytes. It aggregates various storage bricks over Infiniband RDMA
or TCP/IP interconnect into one large parallel network file
system. GlusterFS is one of the most sophisticated file systems in
terms of features and extensibility.  It borrows a powerful concept
called Translators from GNU Hurd kernel. Much of the code in GlusterFS
is in user space and easily manageable.

This package includes the glusterfs binary, the glusterfsd daemon and the
libglusterfs and glusterfs translator modules common to both GlusterFS server
and client framework."
lsscsi,工具,库,库,List SCSI devices (or hosts) and associated information ,"Uses information provided by the sysfs pseudo file system in Linux kernel
2.6 series to list SCSI devices or all SCSI hosts. Includes a ""classic""
option to mimic the output of ""cat /proc/scsi/scsi"" that has been widely
used prior to the lk 2.6 series.

Author:
--------
    Doug Gilbert <dgilbert(at)interlog(dot)com> "
gnome-initial-setup,服务,工具,库, Bootstrapping your OS," GNOME Initial Setup is an alternative to firstboot, providing
a good setup experience to welcome you to your system, and walks
you through configuring it. It is integrated with gdm."
xorg-x11-apps,工具,库,库, X.Org X11 applications, A collection of common X Window System applications.
haproxy,服务,工具,工具, HAProxy reverse proxy for high availability environments," HAProxy is a TCP/HTTP reverse proxy which is particularly suited for high
availability environments. Indeed, it can:
 - route HTTP requests depending on statically assigned cookies
 - spread load among several servers while assuring server persistence
   through the use of HTTP cookies
 - switch to backup servers in the event a main one fails
 - accept connections to special ports dedicated to service monitoring
 - stop accepting connections without breaking existing ones
 - add, modify, and delete HTTP headers in both directions
 - block requests matching particular patterns
 - report detailed status to authenticated users from a URI
   intercepted from the application"
maven-plugin-registry,工具,库,库, Compatibility Maven plugin registry artifact, Maven plugin registry artifact
kf5-kcrash,工具,工具,库, KDE Frameworks 5 Tier 2 addon for handling application crashes, KCrash provides support for intercepting and handling application crashes.
openbox-kde,工具,工具,服务, KDE integration for openbox," The openbox-kde package contains the files needed for using openbox inside a
KDE session."
tog-pegasus,服务,服务,库, OpenPegasus WBEM Services for Linux," OpenPegasus WBEM Services for Linux enables management solutions that deliver
increased control of enterprise resources. WBEM is a platform and resource
independent DMTF standard that defines a common information model and
communication protocol for monitoring and controlling resources from diverse
sources."
adwaita-gtk2-theme,其它,其它,库, Adwaita gtk2 theme," The adwaita-gtk2-theme package contains a gtk2 theme for presenting widgets
with a GNOME look and feel."
brasero-nautilus,工具,其它,库, Nautilus extension for brasero, The brasero-nautilus package contains the brasero nautilus extension.
maven-surefire-plugin,工具,工具,库, Surefire plugin for maven, Maven surefire plugin for running tests via the surefire framework.
nbdkit-curl-plugin,库,工具,工具, HTTP/FTP (cURL) plugin for nbdkit, This package contains cURL (HTTP/FTP) support for nbdkit.
python3-wheel,库,库,工具, Built-package format for Python," A built-package format for Python.

A wheel is a ZIP-format archive with a specially formatted filename and the
.whl extension. It is designed to contain all the files for a PEP 376
compatible install in a way that is very close to the on-disk format.

Python 3 version."
tix,库,工具,工具, A set of extension widgets for Tk," Tix, the Tk Interface eXtension, is a powerful set of user interface
components that expands the capabilities of your Tcl/Tk and Python
applications. Using Tix together with Tk will greatly enhance the
appearance and functionality of your application."
qatengine,库,服务,工具, Intel QuickAssist Technology (QAT) OpenSSL Engine," This package provides the Intel QuickAssist Technology OpenSSL Engine
(an OpenSSL Plug-In Engine) which provides cryptographic acceleration
for both hardware and optimized software using Intel QuickAssist Technology
enabled Intel platforms."
yp-tools,工具,工具,库, NIS (or YP) client programs," The Network Information Service (NIS) is a system which provides
network information (login names, passwords, home directories, groupinformation) to all of the machines on a network.  NIS can enable
information) to all of the machines on a network.  NIS can enable
users to login on any machine on the network, as long as the machine
has the NIS client programs running and the user's password is
recorded in the NIS passwd database.  NIS was formerly known as Sun
Yellow Pages (YP).

This package's NIS implementation is based on FreeBSD's YP and is a
special port for glibc 2.x and libc versions 5.4.21 and later.  This
package only provides the NIS client programs.  In order to use the
clients, you'll need to already have an NIS server running on your
network. An NIS server is provided in the ypserv package.

Install the yp-tools package if you need NIS client programs for machines
on your network.  You will also need to install the ypbind package on
every machine running NIS client programs.  If you need an NIS server,
you'll need to install the ypserv package on one machine on the network."
subversion-gnome,服务,服务,库, GNOME Keyring support for Subversion," The subversion-gnome package adds support for storing Subversion
passwords in the GNOME Keyring."
toolbox,工具,工具,服务, Unprivileged development environment," Toolbox is a tool for Linux operating systems, which allows the use of
containerized command line environments. It is built on top of Podman and
other standard container technologies from OCI."
python3-dbus-client-gen,库,库,工具, Library for Generating D-Bus Client Code," This library contains a few methods that consume an XML specification
of a D-Bus interface and return classes or functions that may be useful
in constructing a python D-Bus client. The XML specification has the format
of the data returned by the Introspect() method
of the Introspectable interface.

Python 3 version."
golang-github-mozillazg-pinyin,库,工具,其它, lofanmi-pinyin, go-pinyin
opencryptoki-libs,库,库,服务, The run-time libraries for opencryptoki package," Opencryptoki implements the PKCS#11 specification v2.20 for a set of
cryptographic hardware, such as IBM 4764 and 4765 crypto cards, and the
Trusted Platform Module (TPM) chip. Opencryptoki also brings a software
token implementation that can be used without any cryptographic
hardware.
This package contains the PKCS#11 library implementation, and requires
at least one token implementation (packaged separately) to be fully
functional."
colord,服务,服务,库, Color daemon," colord is a low level system activated daemon that maps color devices
to color profiles in the system context."
libtasn1-tools,工具,工具,库, Some ASN.1 tools," This package contains simple tools that can decode and encode ASN.1
data."
at,工具,工具,服务,Job spooling tools ,"At and batch read commands from standard input or from a specified
file. At allows you to specify that a command will be run at a
particular time. Batch will execute commands when the system load
levels drop to a particular level. Both commands use user's shell.

You should install the at package if you need a utility for
time-oriented job control. Note: If it is a recurring job that will
need to be repeated at the same time every day/week, etc. you should
use crontab instead. "
maven-plugin-annotations,库,库,工具, Maven Plugin Java 5 Annotations, This package contains Java 5 annotations to use in Mojos.
maven-doxia-modules,工具,库,库, Doxia modules for several markup languages., This package provides Doxia modules for several markup languages..
flac,工具,库,库, An encoder/decoder for the Free Lossless Audio Codec," FLAC stands for Free Lossless Audio Codec. Grossly oversimplified, FLAC
is similar to Ogg Vorbis, but lossless. The FLAC project consists of
the stream format, reference encoders and decoders in library form,
flac, a command-line program to encode and decode FLAC files, metaflac,
a command-line metadata editor for FLAC files and input plugins for
various music players.

This package contains the command-line tools and documentation."
driverctl,工具,工具,服务, Device driver control utility," driverctl is a tool for manipulating and inspecting the system
device driver choices.

Devices are normally assigned to their sole designated kernel driver
by default. However in some situations it may be desireable to
override that default, for example to try an older driver to
work around a regression in a driver or to try an experimental alternative
driver. Another common use-case is pass-through drivers and driver
stubs to allow userspace to drive the device, such as in case of
virtualization.

driverctl integrates with udev to support overriding
driver selection for both cold- and hotplugged devices from the
moment of discovery, but can also change already assigned drivers,
assuming they are not in use by the system. The driver overrides
created by driverctl are persistent across system reboots
by default."
sound-theme-freedesktop,工具,服务,库, freedesktop.org sound theme," The default freedesktop.org sound theme following the XDG theming
specification.  (http://0pointer.de/public/sound-theme-spec.html)."
pavucontrol,工具,工具,库, Volume control for PulseAudio," PulseAudio Volume Control (pavucontrol) is a simple GTK based volume control
tool (""mixer"") for the PulseAudio sound server. In contrast to classic mixer
tools this one allows you to control both the volume of hardware devices and
of each playback stream separately."
dracut-squash,库,工具,工具,dracut module to build an initramfs with most files in a squashfs image ,"This package provides a dracut module to build an initramfs, but store most files
in a squashfs image, result in a smaller initramfs size and reduce runtime memory
usage. "
gcc-c++,工具,工具,库, C++ support for GCC," This package adds C++ support to the GNU Compiler Collection.
It includes support for most of the current C++ specification,
including templates and exception handling."
luksmeta,工具,工具,库, Utility for storing small metadata in the LUKSv1 header," LUKSMeta is a command line utility for storing small portions of metadata in
the LUKSv1 header for use before unlocking the volume."
texlive-wasy2-ps,库,其它,工具, Type 1 versions of wasy2 fonts, Converted (Adobe Type 1) outlines of (some of) the wasy2 fonts.
kf5-kglobalaccel,工具,工具,库, KDE Frameworks 5 Tier 3 integration module for global shortcuts, KDE Frameworks 5 Tier 3 integration module for global shortcuts.
nginx-mod-http-xslt-filter,库,库,服务, Nginx XSLT module, Nginx XSLT module.
nftables,工具,工具,库, Netfilter Tables userspace utillites, Netfilter Tables userspace utilities.
python2-scour,库,工具,工具, An SVG scrubber, An SVG scrubber.
x3270-x11,工具,服务,服务, IBM 3278/3279 terminal emulator for the X Window System," The x3270 program opens a window in the X Window System which emulates
the actual look of an IBM 3278/3279 terminal, commonly used with
mainframe applications.  x3270 also allows you to telnet to an IBM
host from the x3270 window.

Install the x3270-x11 package if you need to access IBM hosts using an IBM
3278/3279 terminal emulator from X11."
qtchooser,工具,工具,库, Wrapper to select between Qt development binary versions," Qt Chooser provides a wrapper to switch between versions of Qt development
binaries when multiple versions like 4 and 5 are installed or local Qt builds
are to be used."
devhelp,工具,库,库, API documentation browser," Devhelp is an API documentation browser for the GNOME desktop.
It works natively with API documentation generated by gtk-doc."
xorg-x11-drv-wacom-serial-support,服务,服务,工具, Files for enabling the wacom_w8001 kernel driver," Files for enabling the wacom_w8001 kernel driver on Wacom
ISDv4-compatible serial tablets. If enabled, the serial tablet's device node
will be available as normal evdev node."
