name,label,predict,marked_text
alsa-firmware,服务,其它,firmware(其它) several sound card this package(工具) contain(工具) firmware(其它) binary number sound card some require firmware(其它) loader include(工具) package(工具)
alsa-lib,库,服务,advanced linux sound architecture alsa library(库) advanced linux sound architecture alsa provide(工具) audio midi function(库)ality linux operating system this package(工具) include(工具) alsa runtime(库) library(库) simplify application(库) program(工具)ming provide(工具) high level function(库)ality well support(工具) provide(工具) binary compatibility program(工具)
alsa-plugins-oss,服务,工具,output plugin(服务) alsa this plugin(服务) convert alsa with plugin(服务) alsa native apps driver(服务) this plugin(服务) provide(工具) type
alsa-plugins-pulseaudio,服务,工具,alsa pulseaudio backend this plugin(服务) allow(库) program(工具) alsa access(库) pulseaudio sound daemon(服务) word native alsa application(库) play record sound across network(服务) there plugin(服务)s suite mixer control
alsa-plugins-samplerate,服务,工具,external rate converter plugin(服务) alsa this plugin(服务) external rate converter libsamplerate erik castro lopo
alsa-plugins-speex,服务,工具,rate converter plugin(服务) using speex resampler rate plugin(服务) external rate converter speex resampler public parrot hack valin plugin(服务) provide(工具) mono stream like denoise libspeex
alsa-plugins-upmix,服务,工具,upmixer channel expander plugin(服务) alsa upmix plugin(服务) plugin(服务) upmixing stream number channel expand determine slave explicitly channel option
alsa-plugins-vdownmix,服务,工具,downmixer stereo plugin(服务) alsa vdownmix plugin(服务) downmixer channel stereo headphone output this plugin(服务) process input signal simple spacialization output sound like kind virtual surround
alsa-sof-firmware,服务,其它,firmware(其它) topology file(工具) sound open(工具) firmware(其它) project(其它) this package(工具) contain(工具) firmware(其它) binary sound open(工具) firmware(其它) project(其它)
alsa-tools-firmware,工具,服务,alsa tool(工具) upload firmware(其它) soundcards this package(工具) contain(工具) tool(工具) flash firmware(其它) certain sound card following tool(工具) available(其它) hdsploader hammerfall card mixartloader digigram mixart soundcards vxloader digigram soundcards second phase firmware(其它) loader tascam soundcards
anaconda-core,工具,服务,core anaconda installer package(工具) contain(工具) program(工具) install system
anaconda-user-help,工具,库,content anaconda help system this package(工具) provide(工具) content anaconda help system
annobin,工具,库,annotate examine compile binary file(工具) provide(工具)s plugin(服务) record extra informat(库)ion file(工具) compile note plugin(服务) automatically enable build flag provide(工具) package(工具)
anolis-indexhtml,服务,工具,browser default start page anolis package(工具) provide(工具) welcome page show browser successful installation anolis this page advise user(工具) register anolis software support(工具) might need
anolis-backgrounds,工具,服务,anolis relate desktop background licensed approve usage copying detail
anolis-logos,工具,服务,anolis related icon picture licensed approve usage copying detail
anolis-release,服务,其它,anolis release file(工具) anolis release file(工具)
anolis-repos,服务,其它,anolis package(工具) repository anolis package(工具) repository file(工具)
ansible-collection-microsoft-sql,工具,服务,ansible collection microsoft server(服务) management this install ansible collection microsoft server(服务) management this also install role provide(工具) collection legacy roles format(库) user(工具) ansible
ansible-freeipa,工具,服务,roles playbook deploy free(其它)ipa server(服务) replica client(服务) ansible role playbook install uninstall free(其它)ipa server(服务) replica client(服务) also module(库)s management note ansible playbook role require configured ansible environment ansible node reachable properl(库)y address working package(工具) manager features server(服务) replica client(服务) deployment cluster deployment server(服务) replica client(服务) playbook support(工具) client(服务) installation repair mode client(服务) backup restore also controller module(库)s automembership rule management module(库)s automount management module(库)s automount location management module(库)s automount management module(库)s config management module(库)s delegation management module(库)s config management module(库)s forwarder management module(库)s record management module(库)s zone management module(库)s group management module(库)s hbacrule management module(库)s hbacsvc management module(库)s hbacsvcgroup management module(库)s host management module(库)s hostgroup management module(库)s location management module(库)s permission management module(库)s privilege management module(库)s pwpolicy management module(库)s role management module(库)s self service(服务) management module(库)s server(服务) management module(库)s service(服务) management module(库)s sudocmd management module(库)s sudocmdgroup management module(库)s sudorule management module(库)s topology management module(库)s trust management module(库)s user(工具) management module(库)s vault management support(工具)ed free(其它)ipa version(工具)s free(其它)ipa version(工具) support(工具) role client(服务) role support(工具) version(工具) server(服务) role work version(工具) replica role currently work version(工具) support(工具)ed distributions fedora ubuntu debian ipaclient(服务) server(服务) replica requirements controller ansible version(工具) ansible collection require controller time password node support(工具)ed free(其它)ipa version(工具) support(工具)ed distribution need package(工具) installation limitations external sign support(工具) currently need step process issue processing simple playbook work plan method handle external sign separate step start server(服务) installation
ansible-pcp,工具,服务,ansible metric(服务) collection performance(服务) collection contain(工具) role performance(服务) relate software redis grafana collection make several ansible role include(工具) role core capability configure live performance(服务) analysis large base metric(服务) kernel(其它) system service(服务) well data(工具) record rule inference role configure local redis server(服务) suitable performance(服务) archive repository single many host fast(工具) scalable querying metric(服务) role configure local grafana server(服务) provide(工具) frontend visual(其它)s performance(服务) metric(服务) live historically data(工具) source(工具) vector live redis historical interactive bpftrace ebpf script(其它) configure role rest service(服务) core role configure order role role extend core role provide(工具) metric(服务) bpftrace script(其它) linux ebpf facility configuring authentication local user(工具) capable bpftrace script(其它) agent(服务) task role role extend core role provide(工具) metric(服务) live elasticsearch instance analysis exporting metric(服务) value metadata(工具) elasticsearch indexing querying performance(服务) data(工具)
ant,工具,库,java(库) build tool(工具) apache java(库) library(库) tool(工具) whose mission drive process describe build file(工具) target extension point dependent upon main known usage build java(库) application(库) supply number task allow(库) compile assemble test java(库) application(库) also effectively build java(库) application(库) instance application(库) more generally pilot type process describe term target task
ant-testutil,工具,库,test utility(工具) class(库) test utility(工具) task
ant-contrib-javadoc,工具,库,java(库)doc documentation(库)
apache-commons-beanutils,库,工具,java(库) utility(工具) method access(库) modify property arbitrary java(库)beans scope package(工具) create package(工具) java(库) utility(工具) method access(库) modify property arbitrary java(库)beans dependency outside require package(工具) lightweight
apache-commons-collections,库,工具,provide(工具)s interface(库) implementation(库) utility(工具) java(库) collections introduction collections boon quick effective java(库) program(工具)ming ready access(库) powerful data(工具) structure accelerate development reduce need custom contain(工具)er class(库) around core object most apis significantly easy collections however certain hole leave unfilled implementation(库) collections component strive fulfill among feature package(工具) implementation(库) lists maps fast(工具) access(库) adapter class(库) contain(工具)er array enumeration collection method test create typical property collection union intersection closure
apache-commons-io,库,工具,utilities assist develop function(库)ality contain(工具) utility(工具) class(库) stream implementation(库) file(工具) filter endian class(库) library(库) utility(工具) assist develop function(库)ality
apache-commons-parent,库,工具,apache commons parent project(其它) object model(工具) file(工具) package(工具)
appstream-data,库,服务,cached appstream metadata(工具) this package(工具) provide(工具) distribution specific appstream metadata(工具) require gnome(服务) software center
apr-util,工具,库,apache portable runtime(库) utility(工具) library(库) mission apache portable runtime(库) provide(工具) free(其它) library(库) data(工具) structure routine this library(库) contain(工具) additional utility(工具) interface(库) include(工具) support(工具) ldap data(工具)base interface(库) parsing
apr-util-bdb,工具,库,utility(工具) library(库) berkeley driver(服务) this package(工具) provide(工具) berkeley driver(服务) data(工具)base abstraction interface(库)
apr-util-ldap,工具,库,utility(工具) library(库) ldap support(工具) this package(工具) provide(工具) ldap support(工具)
apr-util-mysql,工具,库,utility(工具) library(库) mysql driver(服务) this package(工具) provide(工具) mysql driver(服务) data(工具)base abstraction interface(库)
apr-util-odbc,工具,服务,utility(工具) library(库) odbc driver(服务) this package(工具) provide(工具) odbc driver(服务) data(工具)base abstraction interface(库)
apr-util-openssl,工具,库,utility(工具) library(库) open(工具)ssl crypto support(工具) this package(工具) provide(工具) open(工具)ssl crypto support(工具)
apr-util-pgsql,工具,服务,utility(工具) library(库) postgresql driver(服务) this package(工具) provide(工具) postgresql driver(服务) data(工具)base abstraction interface(库)
apr-util-sqlite,工具,库,utility(工具) library(库) sqlite driver(服务) this package(工具) provide(工具) sqlite driver(服务) data(工具)base abstraction interface(库)
arpwatch,工具,服务,network(服务) monitoring tool(工具) track address network(服务) arpwatch package(工具) contain(工具) arpwatch arpsnmp arpwatch arpsnmp network(服务) monitoring tool(工具) both utility(工具) monitor ethernet fddi network(服务) traffic build data(工具)base address pair report certain change email install arpwatch package(工具) need network(服务) monitoring device(服务) automatically keep track address network(服务)
aspell-en,工具,服务,english dictionary(工具) aspell provide(工具)s word following english canadian english british english
at-spi2-core,库,服务,protocol(服务) definition daemon(服务) allow(库)s assistive technology access(库) application(库) essentially expose internals application(库) automation tool(工具)s screen reader magnifier even script(其它) interface(库) query interact control this version(工具) major break previous version(工具) completely rewrite(库) rather orbit corba transport protocol(服务)
attr,工具,库,utilities manage file(工具)system extend attribute tool(工具) manipulate extend attribute file(工具)system object particular getfattr setfattr attr command(工具) also provide(工具) largely compatible irix tool(工具) name
libattr,工具,库,dynamic library(库) extend attribute support(工具) this package(工具) contain(工具) dynamic library(库) contain(工具) extend attribute system call library(库) function(库)
audit,工具,服务,user(工具) space tool(工具) kernel(其它) audit audit package(工具) contain(工具) user(工具) space utility(工具) store search audit record generate audit subsystem linux later kernel(其它)
authselect-libs,库,工具,utility(工具) library(库) authselect tool(工具) common library(库) file(工具) authselect this package(工具) authselect command(工具) line tool(工具) potential
autoconf213,工具,服务,tool(工具) automatically configure source(工具) code(库) autoconf tool(工具) configure source(工具) code(库) makefile(工具)s using autoconf program(工具)mer create portable configurable package(工具) since person build package(工具) allow(库) specify various configuration option install autoconf develop software would like create shell script(其它) configure source(工具) code(库) package(工具) instal autoconf also need install package(工具) note autoconf package(工具) require configure software script(其它) autoconf require generation script(其它)
avahi-ui,工具,服务,user(工具) interface(库) library(库) avahi version(工具) this library(库) contain(工具) widget browse service(服务)
avahi-ui-gtk3,工具,库,user(工具) interface(库) library(库) avahi version(工具) this library(库) contain(工具) widget browse service(服务)
python3-avahi,库,服务,avahi binding(库) avahi binding(库)
babl-devel-docs,库,工具,documentation(库) develop program(工具) babl this package(工具) contain(工具) documentation(库) need develop babl
bacula-client,工具,服务,bacula backup client(服务) bacula program(工具) allow(库) manage backup recovery verification computer data(工具) across network(服务) different computer base architecture this package(工具) contain(工具) bacula client(服务) daemon(服务) system back
bacula-common,工具,服务,common bacula file(工具) bacula program(工具) allow(库) manage backup recovery verification computer data(工具) across network(服务) different computer base architecture this package(工具) contain(工具) file(工具) common bacula daemon(服务)
bacula-director,工具,服务,bacula director file(工具) bacula program(工具) allow(库) manage backup recovery verification computer data(工具) across network(服务) different computer base architecture this package(工具) contain(工具) director file(工具)
bacula-logwatch,工具,库,bacula director logwatch script(其它) bacula program(工具) allow(库) manage backup recovery verification computer data(工具) across network(服务) different computer base architecture this package(工具) contain(工具) logwatch script(其它) bacula director
baobab,工具,库,graphical directory tree analyzer baobab able scan either specific directory whole file(工具)system order give user(工具) graphical tree representation include(工具) directory size percentage branch also change make home folder device(服务)
basesystem,服务,其它,skeleton package(工具) define simple system basesystem define component basic system example package(工具) installation order bootstrapping basesystem every installation system never remove(其它)
bash,工具,服务,bourne again shell bourne again shell bash shell command(工具) language(工具) interpreter compatible bourne shell bash incorporate useful feature korn shell shell most script(其它) bash without modification
bcc,工具,库,compiler collection tool(工具)kit create efficient kernel(其它) trace manipulation program(工具) include(工具) several useful tool(工具) example make extend berkeley packet filters formally know ebpf feature first linux make program(工具) easy write(库) kernel(其它) instrumentation include(工具) wrapper around llvm python(库) suit many task include(工具) performance(服务) analysis network(服务) traffic control
bind,服务,库,berkeley internet name domain(服务) bind domain(服务) name system server(服务) bind berkeley internet name domain(服务) implementation(库) domain(服务) name system protocol(服务)s bind include(工具) server(服务) name resolve host name address resolver library(库) routine application(库) interfacing tool(工具) verify server(服务) operate properl(库)y
bind-libs,库,服务,libraries bind package(工具) contain(工具)s heavyweight version(工具) bind suite library(库) name server(服务) utility(工具) package(工具)
bind-libs-lite,库,服务,libraries work protocol(服务) contain(工具)s lite version(工具) bind suite library(库) various program(工具) work protocol(服务)
bind-utils,工具,服务,utilities query name server(服务) contain(工具) collection utility(工具) query domain(服务) name system name server(服务) find informat(库)ion internet host these tool(工具) provide(工具) address give host name well informat(库)ion registered domain(服务) network(服务) address install need informat(库)ion name server(服务)
bind9.16,服务,库,berkeley internet name domain(服务) bind domain(服务) name system server(服务) bind berkeley internet name domain(服务) implementation(库) domain(服务) name system protocol(服务)s bind include(工具) server(服务) name resolve host name address resolver library(库) routine application(库) interfacing tool(工具) verify server(服务) operate properl(库)y
bind9.16-dnssec-utils,工具,服务,dnssec zone management utility(工具) contain(工具) collection utility(工具) edit dnssec bind zone file(工具) these tool(工具) provide(工具) generation revocation verification dnssec signature zone file(工具) install need sign zone maintain
bind9.16-libs,库,服务,libraries bind package(工具) contain(工具)s heavyweight version(工具) bind suite library(库) name server(服务) utility(工具) package(工具)
bison-runtime,工具,库,runtime(库) support(工具) file(工具) parser package(工具) contain(工具) file(工具) runtime(库) parser bison generate package(工具)s whose binary contain(工具) parser generate bison depend ensure file(工具) available(其它) internationalization bison manual section informat(库)ion
bluez,工具,服务,bluetooth utility(工具) utilities bluetooth application(库) hcitool(工具) hciattach hciconfig bluetoothd rfcomm sdptool(工具) bluetoothctl btmon hcidump rctest gatttool(工具) start script(其它) pcmcia configuration file(工具) bluetooth trademark bluetooth
bluez-hid2hci,工具,服务,proxying bluetooth mode most allinone bluetooth keyboard mouse include(工具) bluetooth dongle ship called proxying bluetooth proxying make keyboard mouse show regular device(服务) connect connect button device(服务) keyboard make work without require manual configuration package(工具) contain(工具) utility(工具) udev rule automatically switch support(工具) bluetooth device(服务) regular mode install package(工具) want bluetooth function(库) bluetooth device(服务) like example mobile phone note instal package(工具) first need pair bluetooth keyboard mouse bluetooth adapter since bluetooth keyboard mouse pair require regular wire keyboard mouse
boom-boot,工具,库,library(库) tool(工具) manage boot loader entry boom boot manager linux system boot loader support(工具) bootloader specification boot entry configuration boom require compatible boot loader function(库) either project(其它) patch
boom-boot-conf,工具,库,library(库) tool(工具) manage boot loader entry boom boot manager linux system boot loader support(工具) bootloader specification boot entry configuration boom require compatible boot loader function(库) either project(其它) patch this package(工具) provide(工具) configuration file(工具) boom
boom-boot-grub2,工具,服务,library(库) tool(工具) manage boot loader entry boom boot manager linux system boot loader support(工具) bootloader specification boot entry configuration boom require compatible boot loader function(库) either project(其它) patch this package(工具) provide(工具) integration script(其它) bootloader
boost-examples,库,服务,source(工具) example boost libraries this package(工具) contain(工具) example source(工具) file(工具) distribute boost
boost-jam,库,工具,build tool(工具) bjam build engine(工具) tool(工具) historically base ftjam perforce grow number significant feature develop independently
booth,工具,服务,ticket manager clusters booth manage ticket authorize cluster site locate geographically dispersed location resource(工具) facilitate support(工具) geographically distribute clustering pacemaker
booth-arbitrator,工具,服务,booth support(工具) arbitrator support(工具) booth ticket manager cluster arbitrator
booth-core,工具,服务,booth core file(工具) executables core file(工具) executables booth ticket manager cluster
booth-site,工具,服务,booth support(工具) site support(工具) booth ticket manager cluster site
brasero,工具,服务,gnome(服务) burn application(库) simple easy burn application(库) gnome(服务) desktop
brasero-nautilus,工具,库,nautilus extension brasero package(工具) contain(工具) brasero nautilus extension
breeze-icon-theme,工具,服务,breeze icon theme breeze icon theme
breeze-icon-theme-rcc,工具,服务,breeze resource(工具) file(工具) breeze resource(工具) file(工具)
brlapi,库,服务,application(库) program(工具)ming interface(库) brltty this package(工具) provide(工具) support(工具) application(库) program(工具)ming interface(库) brltty install package(工具) application(库) directly access(库) refreshable braille display(其它)
brltty-dracut,服务,工具,brltty module(库) dracut this package(工具) provide(工具) brltty module(库) dracut
byaccj,工具,库,parser generator java(库) extension extension berkeley parser generator standard yacc take yacc source(工具) file(工具) generate file(工具) compile properl(库)y produce parser this useful expression parsing interactive command(工具) parsing file(工具) reading many megabyte yacc code(库) write(库) year this standard yacc tool(工具) every produce parser flag cause byacc generate java(库) source(工具) code(库) instead finally yacc java(库)
byteman,工具,库,java(库) bytecode(库) injection tool(工具) byteman tool(工具) simplify trace test java(库) program(工具) byteman allow(库) insert extra java(库) code(库) application(库) either load startup even already start injected code(库) allow(库) access(库) data(工具) call application(库) method include(工具) private inject code(库) almost anywhere want need prepare original source(工具) code(库) advance recompile repackage(工具) redeploy application(库) fact remove(其它) injected code(库) reinstall different code(库) application(库) continue execute
c2esp,服务,库,cups driver(服务) kodak printer cups filter driver(服务) kodak hero printer
ca-certificates,工具,服务,mozilla root certificate bundle this package(工具) contain(工具) certificate choose mozilla foundation internet
cdrdao,工具,库,write(库)s audio mode cdrdao record audio mode base textual descript(其它)ion content recording mode write(库) complete disc track single step allow(库) full control length content pause area track
icedax,库,工具,utility(工具) file(工具) digital audio icedax sampling utility(工具) drive capable provide(工具) audio data(工具) digital form host audio data(工具) read save format(库) sound file(工具) recording format(库) include(工具) different rate icedax also player
librados2,库,服务,rados distribute object store client(服务) library(库) rados reliable autonomic distribute object storage cluster develop part ceph distribute storage system this shared library(库) allow(库) application(库) access(库) distributed object store simple interface(库)
checkpolicy,工具,库,selinux policy compiler linux feature kernel(其它) number utility(工具) enhanced security function(库)ality design(其它) mandatory access(库) control linux linux kernel(其它) contain(工具) architectural component originally develop improve security flask operating system these architectural component provide(工具) general support(工具) enforcement many kind mandatory access(库) control policy include(工具) base concept type access(库) control security this package(工具) contain(工具) checkpolicy selinux policy compiler only require building policy
cheese,工具,库,application(库) take picture movie webcam cheese gnome(服务) application(库) take picture video webcam also apply fancy graphical effect
chrome-gnome-shell,工具,服务,support(工具) manage gnome(服务) shell extensions browser browser extension google firefox vivaldi opera browser extension chrome extension webextensions capable browser native host messaging connector provide(工具) integration gnome(服务) shell corresponding extension repository http
chrpath,工具,库,modify rpath compiled program(工具) chrpath allow(库) modify dynamic library(库) load path rpath compile program(工具) currently remove(其它) modify rpath support(工具)
cifs-utils,工具,服务,utilities mount manage cifs mount protocol(服务) standard file(工具) share protocol(服务) widely deploy microsoft windows machine this package(工具) contain(工具) tool(工具) mount share linux protocol(服务) tool(工具) package(工具) work conjunction support(工具) kernel(其它) allow(库) mount share onto client(服务) standard linux file(工具) system
clang,工具,库,language(工具) family(其它) llvm clang noun loud resonant metallic sound strident call crane goose family(其它) tool(工具)kit goal(其它) clang project(其它) create objective objective llvm compiler tool(工具) build library(库) design(其它) extensible install want blocks language(工具) extension enable sanitization profiling option building enable
clang-resource-filesystem,工具,其它,file(工具)system package(工具) clang resource(工具) directory this package(工具) clang resouce directory
cldr-emoji-annotation,工具,服务,emoji annotation file(工具) cldr this package(工具) provide(工具) emoji annotation file(工具) language(工具) cldr
clevis,工具,服务,automated decryption framework clevis framework automated decryption allow(库) encrypt data(工具) sophisticated unlocking policy enable decryption occur automatically clevis package(工具) provide(工具) basic policy support(工具) user(工具)s directly commonly building block package(工具) example package(工具) automatic root volume unlocking luks volume early boot
clevis-dracut,工具,服务,dracut integration clevis automatically unlock luks block device(服务) early boot
clevis-luks,工具,服务,luks integration clevis luks integration clevis this package(工具) allow(库) bind luks volume clevis unlocking policy automate unlocking unlocker also require example
clevis-systemd,工具,服务,systemd integration clevis automatically unlocks luks block device(服务) boot
clevis-udisks2,工具,服务,integration clevis automatically unlock luks block device(服务) desktop environment storaged like gnome(服务)
cloud-init,服务,工具,cloud instance init script(其它)s init script(其它) cloud instance cloud instance need special script(其它) initialization retrieve install user(工具) various script(其它)
cloud-utils-growpart,工具,服务,script(其它) grow partition this package(工具) provide(工具) growpart script(其它) grow partition primarily cloud image conjunction package(工具) grow root partition first boot
clufter-bin,工具,库,common internal compiled file(工具) clufter while primarily cman rgmanager pacemaker cluster stack configuration conversion(工具) rhel trend framework capable xslt offer also plugin(服务) library(库) this package(工具) contain(工具) internal file(工具) clufter
clufter-common,工具,库,common internal data(工具) file(工具) clufter while primarily cman rgmanager pacemaker cluster stack configuration conversion(工具) rhel trend framework capable xslt offer also plugin(服务) library(库) this package(工具) contain(工具) internal file(工具) clufter
clufter-lib-ccs,库,工具,extra plugin(服务)s cman configuration this package(工具) contain(工具) additional plugin(服务)s target cman cluster configuration either experimental command(工具) internally unused reusable format(库) filter
clufter-lib-general,库,工具,extra clufter plugin(服务)s usable product this package(工具) contain(工具) additional plugin(服务)s target variety generic format(库) often serve byproduct intermediate step overall process arrangement either experimental command(工具) internally unused reusable format(库) filter
clutter,工具,库,open(工具) source(工具) software library(库) create rich graphical user(工具) interface(库) clutter open(工具) source(工具) software library(库) create fast(工具) visual(其它)ly rich graphical user(工具) interface(库) obvious example potential usage medium center type application(库) hope however
cmake,工具,库,make system cmake control software compilation process simple platform compiler independent configuration file(工具) cmake generates native makefile(工具)s workspace compiler environment choice cmake quite sophisticated possible support(工具) complex environment require system configuration preprocessor generation code(库) generation template instantiation
cmake-data,工具,库,common cmake this package(工具) contain(工具) common cmake
cmake-filesystem,工具,其它,directories cmake module(库) this package(工具) directory cmake module(库)
cmake-gui,工具,服务,cmake package(工具) contain(工具) base cmake
colord-libs,库,服务,color daemon(服务) library(库) colord level system activate daemon(服务) color device(服务) color profile(工具) system context
color-filesystem,库,其它,color file(工具)system layout this package(工具) provide(工具) directory store color
compat-guile18,工具,库,implementation(库) scheme application(库) extensibility guile ubiquitous intelligent language(工具) extension library(库) implementation(库) scheme program(工具)ming language(工具) write(库) guile provide(工具) execution platform link library(库) building extensible program(工具) install package(工具) like extensibility program(工具) develop
compat-openssl10,库,服务,compatibility version(工具) open(工具)ssl library(库) open(工具)ssl tool(工具)kit provide(工具) support(工具) secure communication machine this version(工具) open(工具)ssl package(工具) contain(工具) library(库) provide(工具) compatibility previous release software support(工具) compilation
conmon,服务,库,contain(工具)er runtime(库) monitor contain(工具)er runtime(库) monitor
conntrack-tools,工具,服务,manipulate netfilter connection track table high availability with setup high availability cluster synchronize conntrack state multiple(其它) firewall package(工具) contain(工具) program(工具) conntrack command(工具) line interface(库) interact connection track system conntrackd connection track user(工具)space daemon(服务) deploy highly available(其它) firewall collect statistic firewall conntrack search list inspect maintain netfilter connection track subsystem linux kernel(其它) using conntrack dump list filtered selection currently track connection delete connection state table even addition also monitor connection track event show event message line newly establish connection
container-exception-logger,服务,工具,logging contain(工具)er host tool(工具) design(其它) inside contain(工具)er able input outside contain(工具)er
containernetworking-plugins,服务,库,network(服务) plugin(服务)s contain(工具)er network(服务) interface(库) project(其它) consist specification library(库) write(库) plugin(服务)s configure network(服务) interface(库) linux contain(工具)er along number support(工具)ed plugin(服务)s concern network(服务) connectivity contain(工具)er remove(其它) allocated resource(工具) contain(工具)er delete
aardvark-dns,服务,库,authoritative server(服务) contain(工具)er record authoritative server(服务) contain(工具)er record forwards request configure resolvers read configuration
netavark,服务,工具,network(服务) stack network(服务) stack netavark rust base network(服务) stack contain(工具)er design(其它) work podman also applicable contain(工具)er management application(库) netavark tool(工具) configure network(服务)ing linux contain(工具)er feature include(工具) configuration contain(工具)er network(服务) json configuration file(工具) creation management require network(服务) interface(库) include(工具) macvlan network(服务) required firewall configuration perform port forwarding require contain(工具)er support(工具) iptables firewalld present support(工具) nftables plan future release support(工具) rootless contain(工具)er support(工具) support(工具) contain(工具)er resolution
container-selinux,库,工具,selinux policy contain(工具)er runtime(库)s selinux policy module(库) contain(工具)er runtime(库)s
convmv,工具,库,convert file(工具)name encode(库) this package(工具) contain(工具) tool(工具) convmv convert encoding file(工具)name
coreos-installer,工具,服务,installer fedora coreos rhel coreos installs fedora coreos rhel coreos machine occasionally virtual machine
coreos-installer-dracut,工具,其它,provide(工具) dracut module(库) this subpackage(工具) contain(工具) file(工具) configuration initramfs
coreutils-common,工具,服务,coreutils common optional component optional though recommended component include(工具) documentation(库) translation
spausedd,工具,服务,utility(工具) detect scheduler pause utility(工具) detect scheduler pause
cpio,工具,库,archive program(工具) cpio copy file(工具) cpio archive archives file(工具) contain(工具) collection file(工具) plus informat(库)ion file(工具) name owner timestamps access(库) permission archive another file(工具) disk magnetic tape pipe cpio support(工具) following archive format(库) binary ascii ascii hpux binary hpux ascii default cpio creates binary format(库) archive compatible cpio program(工具) when extract file(工具) archive cpio automatically recognize kind archive read read archive create machine different install cpio need program(工具) manage file(工具) archive
cppcheck,工具,库,tool(工具) static code(库) analysis cppcheck static analysis tool(工具) code(库) unlike compiler many analysis tool(工具) detect syntax error code(库) cppcheck primarily detect type compiler normally detect goal(其它) detect real error code(库) zero false positive
cracklib,库,服务,library(库) cracklib test password determine whether match certain characteristic purpose stop user(工具) choose password easy guess cracklib perform several test password generate word user(工具)name gecos entry check word password check simplistic pattern password check password dictionary(工具) cracklib actually library(库) contain(工具) particular function(库) check password well function(库) cracklib replacement passwd program(工具) must conjunction exist passwd program(工具) install cracklib package(工具) need program(工具) check password least minimally secure install cracklib also want install package(工具)
cracklib-dicts,库,工具,standard cracklib dictionaries package(工具) include(工具) cracklib dictionary(工具) cracklib need dictionary(工具) appropriate system normally also contain(工具) utility(工具) necessary creation dictionary(工具) instal cracklib also install
crit,库,工具,criu image tool(工具) crit tool(工具) design(其它) decode(库) criu binary dump file(工具) show content form
criu-libs,库,工具,libraries criu this package(工具) contain(工具) library(库) criu
cronie-anacron,服务,工具,utility(工具) regular anacron part cronie regular periodicity exact time execution default setting anacron execute daily weekly monthly anacron allow(库) arbitrary periodicity using anacron allow(库) periodic even system often power also allow(库) randomize time execution good utilization resource(工具) share among multiple(其它) system
cronie-noanacron,服务,工具,utility(工具) simple regular cron style style hourly daily weekly monthly without anacron extra feature
crypto-policies,工具,库,crypto policy this package(工具) provide(工具) configuration file(工具) cryptographic policy various cryptographic library(库)
crypto-policies-scripts,工具,服务,tool(工具) switch crypto policy this package(工具) provide(工具) tool(工具) apply policy provide(工具) package(工具) these either policy base package(工具) custom policy define simple policy definition file(工具) package(工具) also provide(工具) tool(工具) enable disable system fips mode
cryptsetup-libs,库,服务,cryptsetup share library(库) this package(工具) contain(工具) cryptsetup share library(库) libcryptsetup
cups-ipptool,工具,服务,cups printing system tool(工具) perform request sends request specify test display(其它) result
