name,label,bert_pred,graph_pred,summary,description
haproxy,服务,工具,工具, HAProxy reverse proxy for high availability environments," HAProxy is a TCP/HTTP reverse proxy which is particularly suited for high
availability environments. Indeed, it can:
 - route HTTP requests depending on statically assigned cookies
 - spread load among several servers while assuring server persistence
   through the use of HTTP cookies
 - switch to backup servers in the event a main one fails
 - accept connections to special ports dedicated to service monitoring
 - stop accepting connections without breaking existing ones
 - add, modify, and delete HTTP headers in both directions
 - block requests matching particular patterns
 - report detailed status to authenticated users from a URI
   intercepted from the application"
maven-plugin-registry,工具,库,库, Compatibility Maven plugin registry artifact, Maven plugin registry artifact
nbdkit-curl-plugin,库,工具,工具, HTTP/FTP (cURL) plugin for nbdkit, This package contains cURL (HTTP/FTP) support for nbdkit.
texlive-typehtml,工具,库,工具, Typeset HTML directly from LaTeX," Can handle almost all of HTML2, and most of the math fragment
of the draft HTML3."
gutenprint,库,工具,库, Printer Drivers Package," Gutenprint is a package of high quality printer drivers for Linux, BSD,
Solaris, IRIX, and other UNIX-alike operating systems.
Gutenprint was formerly called Gimp-Print."
sblim-cmpi-base,库,工具,库, SBLIM CMPI Base Providers," SBLIM (Standards Based Linux Instrumentation for Manageability)
CMPI (Common Manageability Programming Interface) Base Providers
for System-Related CIM (Common Information Model) classes."
qatengine,库,服务,库, Intel QuickAssist Technology (QAT) OpenSSL Engine," This package provides the Intel QuickAssist Technology OpenSSL Engine
(an OpenSSL Plug-In Engine) which provides cryptographic acceleration
for both hardware and optimized software using Intel QuickAssist Technology
enabled Intel platforms."
ibus-table-chinese-scj,工具,库,工具, Smart Cangjie," Smart Cangjie is an improved Cangjie base input method
which handles Cangjie, Quick, Cantonese, Chinese punctuation,
Japanese, 3000 frequent words by Hong Kong government,
both Traditional and Simplified Chinese.

This package includes the Smart Cangjie 6."
texlive-needspace,工具,库,工具, Insert pagebreak if not enough space," Provides commands to disable pagebreaking within a given
vertical space. If there is not enough space between the
command and the bottom of the page, a new page will be started."
golang-github-mozillazg-pinyin,库,工具,其它, lofanmi-pinyin, go-pinyin
jimtcl,库,工具,库,A small embeddable Tcl interpreter ,"Jim is an opensource small-footprint implementation of the Tcl programming
language. It implements a large subset of Tcl and adds new features like
references with garbage collection, closures, built-in Object Oriented
Programming system, Functional Programming commands, first-class arrays and
UTF-8 support. "
perl-PCP-LogSummary,库,工具,库, Performance Co-Pilot (PCP) Perl bindings for post-processing output of pmlogsummary," The PCP::LogSummary module provides a Perl module for using the
statistical summary data produced by the Performance Co-Pilot
pmlogsummary utility.  This utility produces various averages,
minima, maxima, and other calculations based on the performance
data stored in a PCP archive.  The Perl interface is ideal for
exporting this data into third-party tools (e.g. spreadsheets)."
freetype,库,其它,库, A free and portable font rendering engine," The FreeType engine is a free and portable font rendering
engine, developed to provide advanced font support for a variety of
platforms and environments. FreeType is a library which can open and
manages font files as well as efficiently load, hint and render
individual glyphs. FreeType is not a font server or a complete
text-rendering library."
maven-plugin-annotations,库,工具,库, Maven Plugin Java 5 Annotations, This package contains Java 5 annotations to use in Mojos.
maven-doxia-modules,工具,库,库, Doxia modules for several markup languages., This package provides Doxia modules for several markup languages..
pgaudit,库,工具,库, PostgreSQL Audit Extension," The PostgreSQL Audit extension (pgaudit) provides detailed session
and/or object audit logging via the standard PostgreSQL logging
facility.

The goal of the PostgreSQL Audit extension (pgaudit) is to provide
PostgreSQL users with capability to produce audit logs often required to
comply with government, financial, or ISO certifications.

An audit is an official inspection of an individual's or organization's
accounts, typically by an independent body. The information gathered by
the PostgreSQL Audit extension (pgaudit) is properly called an audit
trail or audit log. The term audit log is used in this documentation."
xorg-x11-server-Xspice,服务,库,服务, XSpice is an X server that can be accessed by a Spice client, XSpice is both an X and a Spice server.
java-11-alibaba-dragonwell-demo-fastdebug,库,工具,工具, Alibaba Dragonwell11 Runtime Environment demofastdebug, Alibaba Dragonwell11 Runtime Environment demo fastdebug
driverctl,工具,服务,服务, Device driver control utility," driverctl is a tool for manipulating and inspecting the system
device driver choices.

Devices are normally assigned to their sole designated kernel driver
by default. However in some situations it may be desireable to
override that default, for example to try an older driver to
work around a regression in a driver or to try an experimental alternative
driver. Another common use-case is pass-through drivers and driver
stubs to allow userspace to drive the device, such as in case of
virtualization.

driverctl integrates with udev to support overriding
driver selection for both cold- and hotplugged devices from the
moment of discovery, but can also change already assigned drivers,
assuming they are not in use by the system. The driver overrides
created by driverctl are persistent across system reboots
by default."
sound-theme-freedesktop,工具,服务,工具, freedesktop.org sound theme," The default freedesktop.org sound theme following the XDG theming
specification.  (http://0pointer.de/public/sound-theme-spec.html)."
dracut-squash,库,工具,工具,dracut module to build an initramfs with most files in a squashfs image ,"This package provides a dracut module to build an initramfs, but store most files
in a squashfs image, result in a smaller initramfs size and reduce runtime memory
usage. "
python2-scour,库,工具,库, An SVG scrubber, An SVG scrubber.
ibus-sayura,库,工具,服务, The Sinhala engine for IBus input platform, The Sayura engine for IBus platform. It provides Sinhala input method.
perl-Sys-Hostname,库,工具,库, Try every conceivable way to get a hostname," It attempts several methods of getting the system hostname and then caches the
result."
devhelp,工具,库,库, API documentation browser," Devhelp is an API documentation browser for the GNOME desktop.
It works natively with API documentation generated by gtk-doc."
php-pecl-xdebug3,库,工具,库, Provides functions for function traces and profiling," The Xdebug extension helps you debugging your script by providing a lot of
valuable debug information. The debug information that Xdebug can provide
includes the following:

* stack and function traces in error messages with:
  o full parameter display for user defined functions
  o function name, file name and line indications
  o support for member functions
* memory allocation
* protection for infinite recursions

Xdebug also provides:

* profiling information for PHP scripts
* code coverage analysis
* capabilities to debug your scripts interactively with a debug client

Documentation: https://xdebug.org/docs/"
fuse-sshfs,工具,服务,工具, FUSE-Filesystem to access remote filesystems via SSH," This is a FUSE-filesystem client based on the SSH File Transfer Protocol.
Since most SSH servers already support this protocol it is very easy to set
up: i.e. on the server side there's nothing to do.  On the client side
mounting the filesystem is as easy as logging into the server with ssh."
zziplib-utils,工具,库,库, Utilities for the zziplib library," The zziplib library is intentionally lightweight, it offers the ability to
easily extract data from files archived in a single zip file. Applications
can bundle files into a single zip archive and access them. The implementation
is based only on the (free) subset of compression with the zlib algorithm
which is actually used by the zip/unzip tools.

This packages contains all the utilities that come with the zziplib library."
mousetweaks,工具,服务,工具, Mouse accessibility support for the GNOME desktop," The Mousetweaks package provides mouse accessibility enhancements for
the GNOME desktop, such as performing various clicks without using any
hardware button. The options can be accessed through the Accessibility
tab of the Mouse Preferences of GNOME Control Center or through command-line."
mod_session,服务,库,服务, Session interface for the Apache HTTP Server," The mod_session module and associated backends provide an abstract
interface for storing and accessing per-user session data."
git-clang-format,工具,库,库, Integration of clang-format for git, clang-format integration for git.
dde-session-ui,服务,库,服务, Deepin desktop-environment - Session UI module," This project include those sub-project:

- dde-shutdown: User interface of shutdown.
- dde-lock: User interface of lock screen.
- dde-lockservice: The back-end service of locking screen.
- lightdm-deepin-greeter: The user interface when you login in.
- dde-switchtogreeter: The tools to switch the user to login in.
- dde-lowpower: The user interface of reminding low power.
- dde-osd: User interface of on-screen display.
- dde-hotzone: User interface of setting hot zone."
sssd-ipa,服务,库,库, The IPA back end of the SSSD," Provides the IPA back end that the SSSD can utilize to fetch identity data
from and authenticate against an IPA server."
clufter-lib-pcs,库,服务,库, Extra plugins for transforming/analyzing Pacemaker configuration," This package contains set of additional plugins targeting Pacemaker cluster
configuration: either experimental commands or internally unused, reusable
formats and filters."
fence-virtd-cpg,库,服务,服务, CPG/libvirt backend for fence-virtd," Provides fence_virtd with a connection to libvirt to fence
virtual machines. Uses corosync CPG to keep track of VM
locations to allow for non-local VMs to be fenced when VMs
are located on corosync cluster nodes."
media-player-info,库,工具,服务, Data files describing media player capabilities," media-player-info is a repository of data files describing media player
(mostly USB Mass Storage ones) capabilities. These files contain information
about the directory layout to use to add music to these devices, about the
supported file formats, etc.

The package also installs a udev rule to identify media player devices."
python3-tracer,工具,库,库, Common files for tracer," Tracer determines which applications use outdated files and prints them. For
special kind of applications such as services or daemons, it suggests a standard
command to restart it. Detecting whether file is outdated or not is based on a
simple idea. If application has loaded in memory any version of a file
which is provided by any package updated since system was booted up, tracer
consider this application as outdated.

Python 3 version."
ibus,工具,服务,服务, Intelligent Input Bus for Linux OS, IBus means Intelligent Input Bus. It is an input framework for Linux OS.
perl-meta-notation,库,工具,库, Change nonprintable characters below 0x100 into printables," Returns a copy of the input string with the nonprintable characters below
0x100 changed into printables. Any ASCII printables or above 0xFF are
unchanged."
linuxptp,服务,库,库, PTP implementation for Linux," This software is an implementation of the Precision Time Protocol (PTP)
according to IEEE standard 1588 for Linux. The dual design goals are to provide
a robust implementation of the standard and to use the most relevant and modern
Application Programming Interfaces (API) offered by the Linux kernel.
Supporting legacy APIs and other platforms is not a goal."
ibus-table-chinese-array,工具,库,工具, Array input methods," Array input method is a free, open-minded character-structured
input method. Includes:
array30: 27489 characters.
array30-big: 27489 characters + Unicode ExtB."
nss-pam-ldapd,服务,库,服务, An nsswitch module which uses directory servers," The nss-pam-ldapd daemon, nslcd, uses a directory server to look up name
service information (users, groups, etc.) on behalf of a lightweight
nsswitch module."
gnome-boxes,工具,服务,服务, A simple GNOME 3 application to access remote or virtual systems," gnome-boxes lets you easily create, setup, access, and use:
  * remote machines
  * remote virtual machines
  * local virtual machines
  * When technology permits, set up access for applications on
    local virtual machines"
texlive-fancyvrb,库,工具,工具, Sophisticated verbatim text," Flexible handling of verbatim text including: verbatim commands
in footnotes; a variety of verbatim environments with many
parameters; ability to define new customized verbatim
environments; save and restore verbatim text and environments;
write and read files in verbatim mode; build ""example""
environments (showing both result and verbatim source)."
sblim-gather,服务,工具,服务, SBLIM Gatherer," Standards Based Linux Instrumentation for Manageability
Performance Data Gatherer Base.
This package contains the agents and control programs for gathering
and providing performance data."
clang,工具,库,库, A C language family front-end for LLVM," clang: noun
    1. A loud, resonant, metallic sound.
    2. The strident call of a crane or goose.
    3. C-language family front-end toolkit.

The goal of the Clang project is to create a new C, C++, Objective C
and Objective C++ front-end for the LLVM compiler. Its tools are built
as libraries and designed to be loosely-coupled and extensible.

Install compiler-rt if you want the Blocks C language extension or to
enable sanitization and profiling options when building, and
libomp-devel to enable -fopenmp."
texlive-enumitem,工具,库,工具," Control layout of itemize, enumerate, description"," This package provides user control over the layout of the three
basic list environments: enumerate, itemize and description. It
supersedes both enumerate and mdwlist (providing well-
structured replacements for all their funtionality), and in
addition provides functions to compute the layout of labels,
and to 'clone' the standard environments, to create new
environments with counters of their own."
ruby-default-gems,库,工具,库, Default gems which are part of Ruby StdLib," The .gemspec files and executables of default gems, which are part of Ruby
StdLib."
alsa-plugins-vdownmix,服务,工具,工具, Downmixer to stereo plugin for ALSA," The vdownmix plugin is a downmixer from 4-6 channels to 2-channel
stereo headphone output.  This plugin processes the input signals with
a simple spacialization, so the output sounds like a kind of ""virtual
surround""."
freerdp,工具,服务,库, Free implementation of the Remote Desktop Protocol (RDP)," The xfreerdp & wlfreerdp Remote Desktop Protocol (RDP) clients from the FreeRDP
project.

xfreerdp & wlfreerdp can connect to RDP servers such as Microsoft Windows
machines, xrdp and VirtualBox."
xorg-x11-util-macros,库,工具,工具, X.Org X11 Autotools macros," X.Org X11 autotools macros required for building the various packages that
comprise the X Window System."
tlog,工具,服务,库, Terminal I/O logger," Tlog is a terminal I/O recording program similar to ""script"", but used in
place of a user's shell, starting the recording and executing the real user's
shell afterwards. The recorded I/O can then be forwarded to a logging server
in JSON format."
pcsc-lite,库,工具,服务, PC/SC Lite smart card framework and applications," The purpose of PC/SC Lite is to provide a Windows(R) SCard interface
in a very small form factor for communicating to smartcards and
readers.  PC/SC Lite uses the same winscard API as used under
Windows(R).  This package includes the PC/SC Lite daemon, a resource
manager that coordinates communications with smart card readers and
smart cards that are connected to the system, as well as other command
line tools."
texlive-collection-htmlxml,工具,库,工具, HTML/SGML/XML support," Packages to convert LaTeX to XML/HTML, and typeset XML/SGML."
clufter-lib-ccs,库,工具,库, Extra plugins for transforming/analyzing CMAN configuration," This package contains set of additional plugins targeting CMAN cluster
configuration: either experimental commands or internally unused, reusable
formats and filters."
plymouth,服务,工具,工具, Graphical Boot Animation and Logger," Plymouth provides an attractive graphical boot animation in
place of the text messages that normally get shown.  Text
messages are instead redirected to a log file for viewing
after boot."
osbuild-composer,服务,工具,服务, An image building service based on osbuild," 
A service for building customized OS artifacts, such as VM images and OSTree
commits, that uses osbuild under the hood. Besides building images for local
usage, it can also upload images directly to cloud.

It is compatible with composer-cli and cockpit-composer clients."
subversion,服务,工具,库, A Modern Concurrent Version Control System," Subversion is a concurrent version control system which enables one
or more users to collaborate in developing and maintaining a
hierarchy of files and directories while keeping a history of all
changes.  Subversion only stores the differences between versions,
instead of every complete file.  Subversion is intended to be a
compelling replacement for CVS."
syslinux-nonlinux,工具,库,工具, SYSLINUX modules which aren't run from linux.," All the SYSLINUX binaries that run from the firmware rather than from a
linux host. It also includes a tool, MEMDISK, which loads legacy operating
systems from media."
rubygem-rspec-core,库,服务,库, Rspec-2 runner and formatters, Behaviour Driven Development for Ruby.
man-pages-overrides,库,工具,服务, Complementary and updated manual pages," A collection of manual (""man"") pages to complement other packages or update
those contained therein. Always have the latest version of this package
installed."
rsyslog-elasticsearch,服务,库,服务, ElasticSearch output module for rsyslog," This module provides the capability for rsyslog to feed logs directly into
Elasticsearch."
network-scripts-team,服务,库,工具,libteam legacy network service support ,"This provides the ifup and ifdown scripts for libteam use with the legacy
network service. "
plymouth-plugin-label,服务,工具,服务, Plymouth label plugin," This package contains the label control plugin for
Plymouth. It provides the ability to render text on
graphical boot splashes using pango and cairo."
skkdic,库,工具,库, Dictionaries for SKK (Simple Kana-Kanji conversion program)," This package includes the SKK dictionaries, including the large dictionary
SKK-JISYO.L and pubdic+ dictionary."
gpm,工具,服务,工具, A mouse server for the Linux console," Gpm provides mouse support to text-based Linux applications like the
Emacs editor and the Midnight Commander file management system.  Gpm
also provides console cut-and-paste operations using the mouse and
includes a program to allow pop-up menus to appear at the click of a
mouse button."
texlive-csquotes,库,工具,工具, Context sensitive quotation facilities," This package provides advanced facilities for inline and
display quotations. It is designed for a wide range of tasks
ranging from the most simple applications to the more complex
demands of formal quotations. The facilities include commands,
environments, and user-definable 'smart quotes' which
dynamically adjust to their context. Quotation marks are
switched automatically if quotations are nested and they can be
adjusted to the current language if the babel package is
available. There are additional facilities designed to cope
with the more specific demands of academic writing, especially
in the humanities and the social sciences. All quote styles as
well as the optional active quotes are freely configurable. The
package is dependent on e-TeX, and requires the author's
etoolbox package."
mariadb,工具,服务,库, A very fast and robust SQL database server," MariaDB is a community developed branch of MySQL - a multi-user, multi-threaded
SQL database server. It is a client/server implementation consisting of
a server daemon (mysqld) and many different client programs and libraries.
The base package contains the standard MariaDB/MySQL client programs and
generic MySQL files."
ucx-cma,库,服务,库, UCX CMA support," Provides CMA (Linux cross-memory-attach) transport for UCX. It utilizes the
system calls process_vm_readv/writev() for one-shot memory copy from another
process."
libsane-hpaio,库,服务,服务, SANE driver for scanners in HP's multi-function devices, SANE driver for scanners in HP's multi-function devices (from HPOJ).
