name,label,bert_pred,graph_pred,summary,description
libidn2,库,库,工具, Library to support IDNA2008 internationalized domain names," Libidn2 is an implementation of the IDNA2008 specifications in RFC
5890, 5891, 5892, 5893 and TR46 for internationalized domain names
(IDN). It is a standalone library, without any dependency on libidn."
vorbis-tools,工具,工具,库, The Vorbis General Audio Compression Codec tools," Ogg Vorbis is a fully open, non-proprietary, patent- and royalty-free,
general-purpose compressed audio format for audio and music at fixed
and variable bitrates from 16 to 128 kbps/channel.

The vorbis package contains an encoder, a decoder, a playback tool, and a
comment editor."
cppcheck,工具,工具,库, Tool for static C/C++ code analysis," Cppcheck is a static analysis tool for C/C++ code. Unlike C/C++
compilers and many other analysis tools it does not detect syntax
errors in the code. Cppcheck primarily detects the types of bugs that
the compilers normally do not detect. The goal is to detect only real
errors in the code (i.e. have zero false positives)."
udisks2-lsm,库,库,服务, Module for LSM, This package contains module for LSM configuration.
sssd,服务,服务,库,System Security Services Daemon ,"Provides a set of daemons to manage access to remote directories and
authentication mechanisms. It provides an NSS and PAM interface toward
the system and a plug-gable back-end system to connect to multiple different
account sources. It is also the basis to provide client auditing and policy
services for projects like FreeIPA.

The sssd sub-package is a meta-package that contains the daemon as well as all
the existing back ends. "
vapoursynth-tools,工具,工具,库, Extra tools for VapourSynth, This package contains the vspipe tool for interfacing with VapourSynth.
python3-sphinx-theme-alabaster,库,库,服务, Configurable sidebar-enabled Sphinx theme," This theme is a modified ""Kr"" Sphinx theme from @kennethreitz (especially as
used in his Requests project), which was itself originally based on @mitsuhiko's
theme used for Flask & related projects."
dovecot-mysql,库,库,服务, MySQL back end for dovecot, This package provides the MySQL back end for dovecot-auth etc.
trace-cmd,工具,工具,库,A user interface to Ftrace ,"trace-cmd is a user interface to Ftrace. Instead of needing to use the
debugfs directly, trace-cmd will handle of setting of options and
tracers and will record into a data file. "
compat-openssl10,库,库,工具, Compatibility version of the OpenSSL library," The OpenSSL toolkit provides support for secure communications between
machines. This version of OpenSSL package contains only the libraries
and is provided for compatibility with previous releases and software
that does not support compilation with OpenSSL-1.1."
automake,工具,工具,库, A GNU tool for automatically creating Makefiles," Automake is a tool for automatically generating `Makefile.in'
files compliant with the GNU Coding Standards.

You should install Automake if you are developing software and would
like to use its ability to automatically generate GNU standard
Makefiles."
glusterfs-client-xlators,工具,工具,库, GlusterFS client-side translators," GlusterFS is a distributed file-system capable of scaling to several
petabytes. It aggregates various storage bricks over Infiniband RDMA
or TCP/IP interconnect into one large parallel network file
system. GlusterFS is one of the most sophisticated file systems in
terms of features and extensibility.  It borrows a powerful concept
called Translators from GNU Hurd kernel. Much of the code in GlusterFS
is in user space and easily manageable.

This package provides the translators needed on any GlusterFS client."
malaga,工具,工具,库, A programming language for automatic language analysis," A software package for the development and application of
grammars that are used for the analysis of words and sentences of natural
languages. It is a language-independent system that offers a programming
language for the modelling of the language-dependent grammatical
information. This language is also called Malaga.

Malaga is based on the grammatical theory of the ""Left Associative Grammar""
(LAG), developed by Roland Hausser, professor for Computational Linguistics at
University of Erlangen, Germany."
dyninst-testsuite,工具,库,库, Programs for testing Dyninst," dyninst-testsuite includes the test harness and target programs for
making sure that dyninst works properly."
rhythmbox,工具,工具,库, Music Management Application," Rhythmbox is an integrated music management application based on the powerful
GStreamer media framework. It has a number of features, including an easy to
use music browser, searching and sorting, comprehensive audio format support
through GStreamer, Internet Radio support, playlists and more.

Rhythmbox is extensible through a plugin system."
checkpolicy,工具,工具,库, SELinux policy compiler," Security-enhanced Linux is a feature of the Linux庐 kernel and a number
of utilities with enhanced security functionality designed to add
mandatory access controls to Linux.  The Security-enhanced Linux
kernel contains new architectural components originally developed to
improve the security of the Flask operating system. These
architectural components provide general support for the enforcement
of many kinds of mandatory access control policies, including those
based on the concepts of Type Enforcement庐, Role-based Access
Control, and Multi-level Security.

This package contains checkpolicy, the SELinux policy compiler.
Only required for building policies."
docker-engine,服务,工具,工具, Docker daemon binary and related utilities, Docker daemon binary and related utilities
matchbox-window-manager,工具,服务,库, Window manager for the Matchbox Desktop," Matchbox is a base environment for the X Window System running on non-desktop
embedded platforms such as handhelds, set-top boxes, kiosks and anything else
for which screen space, input mechanisms or system resources are limited.

This package contains the window manager from Matchbox."
python3-werkzeug,库,库,工具, The Swiss Army knife of Python web development," Werkzeug
========

Werkzeug started as simple collection of various utilities for WSGI
applications and has become one of the most advanced WSGI utility
modules.  It includes a powerful debugger, full featured request and
response objects, HTTP utilities to handle entity tags, cache control
headers, HTTP dates, cookie handling, file uploads, a powerful URL
routing system and a bunch of community contributed addon modules.

Werkzeug is unicode aware and doesn't enforce a specific template
engine, database adapter or anything else.  It doesn't even enforce
a specific way of handling requests and leaves all that up to the
developer. It's most useful for end user applications which should work
on as many server environments as possible (such as blogs, wikis,
bulletin boards, etc.)."
openssh,工具,服务,库, An open source implementation of SSH protocol version 2," SSH (Secure SHell) is a program for logging into and executing
commands on a remote machine. SSH is intended to replace rlogin and
rsh, and to provide secure encrypted communications between two
untrusted hosts over an insecure network. X11 connections and
arbitrary TCP/IP ports can also be forwarded over the secure channel.

OpenSSH is OpenBSD's version of the last free version of SSH, bringing
it up to date in terms of security and features.

This package includes the core files necessary for both the OpenSSH
client and server. To make this package useful, you should also
install openssh-clients, openssh-server, or both."
deepin-editor,服务,工具,库, Simple editor for Linux Deepin, Simple editor for Linux Deepin.
texlive-knuth-local,库,工具,工具, Knuth's local information," A collection of experimental programs and developments based
on, or complementary to, the matter in his distribution
directories."
libindicator-gtk3,库,库,工具, GTK+3 build of libindicator," A set of symbols and convenience functions that all Ayatana indicators
are likely to use. This is the GTK+ 3 build of libindicator, for use
by GTK+ 3 apps."
tmux,工具,服务,库,A terminal multiplexer ,"tmux is a ""terminal multiplexer.""  It enables a number of terminals (or
windows) to be accessed and controlled from a single terminal.  tmux is
intended to be a simple, modern, BSD-licensed alternative to programs such
as GNU Screen. "
anaconda-core,工具,工具,服务, Core of the Anaconda installer," The anaconda-core package contains the program which was used to install your
system."
gedit-plugin-bookmarks,服务,工具,库, gedit bookmarks plugin, The gedit bookmarks plugin.
papirus-icon-theme,库,工具,工具, Free and open source SVG icon theme based on Paper Icon Set," Papirus is a free and open source SVG icon theme for Linux, based on Paper
Icon Set with a lot of new icons and a few extras, like Hardcode-Tray support,
KDE colorscheme support, Folder Color support, and others.

Papirus icon theme is available in six variants:

 - Papirus (for Arc / Arc Darker)
 - Papirus Dark (for Arc Dark)
 - Papirus Light (light theme with Breeze colors)
 - Papirus Adapta (for Adapta)
 - Papirus Adapta Nokto (for Adapta Nokto)
 - ePapirus (for elementary OS and Pantheon Desktop)"
kata-containers,服务,库,库, Kata Containers version 3.x repository," 
Kata Containers version 3.x repository. Kata Containers is an open source
project and community working to build a standard implementation of lightweight
Virtual Machines (VMs) that feel and perform like containers, but provide the
workload isolation and security advantages of VMs. https://katacontainers.io/.

%gopkg"
byacc,工具,工具,库," Berkeley Yacc, a parser generator"," This package provides a parser generator utility that reads a grammar
specification from a file and generates an LR(1) parser for it.  The
parsers consist of a set of LALR(1) parsing tables and a driver
routine written in the C programming language.  It has a public domain
license which includes the generated C.

If you are going to do development on your system, you will want to install
this package."
libreoffice-data,库,库,工具, LibreOffice data files, libreoffice-data contains platform-independent data files.
tigervnc,工具,服务,服务, A TigerVNC remote display system," Virtual Network Computing (VNC) is a remote display system which
allows you to view a computing 'desktop' environment not only on the
machine where it is running, but from anywhere on the Internet and
from a wide variety of machine architectures.  This package contains a
client which will allow you to connect to other desktops running a VNC
server."
kf5-kcodecs,工具,工具,库, KDE Frameworks 5 Tier 1 addon with string manipulation methods, KDE Frameworks 5 Tier 1 addon with string manipulation methods.
paps,工具,工具,库, Plain Text to PostScript converter, paps is a PostScript converter from plain text file using Pango.
yelp-xsl,库,工具,工具, XSL stylesheets for the yelp help browser, This package contains XSL stylesheets that are used by the yelp help browser.
texlive-xetex,工具,工具,库, Unicode and OpenType-enabled TeX engine," XeTeX is an extension of TeX that integrates TeX's typesetting capabilities
with (a) the Unicode text encoding standard (supporting most of the world__
scripts) and (b) modern font technologies (TrueType and OpenType) and text
layout services (AAT, OpenType layout, SIL Graphite) provided by the host
operating system and available libraries.

With XeTeX, the advanced typographic features provided by OpenType fonts become
available for all TeX users, as well as support for complex non-roman scripts.
XeTeX also eliminates the complex task of managing a TeX font installation.
XeTeX is now part of the standard TeX distribution TeXLive and works well with
TeX macro packages like LaTeX and ConTeXt."
hwdata,其它,库,库,Hardware identification and configuration data ,"hwdata contains various hardware identification and configuration data,
such as the pci.ids and usb.ids databases. "
libreport-plugin-rhtsupport,工具,工具,库, libreport's RHTSupport plugin, Plugin to report bugs into RH support system.
libstoragemgmt-megaraid-plugin,库,库,工具,Files for LSI MegaRAID support for libstoragemgmt ,"The libstoragemgmt-megaraid-plugin package contains the plugin for LSI
MegaRAID storage management via storcli. "
rubygem-rdoc,工具,工具,库, A tool to generate HTML and command-line documentation for Ruby projects," RDoc produces HTML and command-line documentation for Ruby projects.  RDoc
includes the 'rdoc' and 'ri' tools for generating and displaying online
documentation."
hivex,工具,工具,库, Read and write Windows Registry binary hive files," Hive files are the undocumented binary files that Windows uses to
store the Windows Registry on disk.  Hivex is a library that can read
and write to these files.

'hivexsh' is a shell you can use to interactively navigate a hive
binary file.

'hivexregedit' (in perl-hivex) lets you export and merge to the
textual regedit format.

'hivexml' can be used to convert a hive file to a more useful XML
format.

In order to get access to the hive files themselves, you can copy them
from a Windows machine.  They are usually found in
%systemroot%\system32\config.  For virtual machines we recommend
using libguestfs or guestfish to copy out these files.  libguestfs
also provides a useful high-level tool called 'virt-win-reg' (based on
hivex technology) which can be used to query specific registry keys in
an existing Windows VM.

For OCaml bindings, see 'ocaml-hivex-devel'.

For Perl bindings, see 'perl-hivex'.

For Python 3 bindings, see 'python3-hivex'.

For Ruby bindings, see 'ruby-hivex'."
postgresql-upgrade,服务,工具,工具, Support for upgrading from the previous major release of PostgreSQL," The postgresql-upgrade package contains the pg_upgrade utility and supporting
files needed for upgrading a PostgreSQL database from the previous major
version of PostgreSQL."
texlive-cns,库,工具,工具, cns package, cns package
i2c-tools-perl,工具,工具,库, i2c tools written in Perl, A collection of tools written in perl for use with i2c devices.
gcc-toolset-11-annobin-docs,工具,工具,库, Documentation and shell scripts for use with annobin, Provides the documentation files and example shell scripts for use with annobin.
libreport-newt,库,库,工具, libreport's newt interface," This package contains a simple newt application for reporting
bugs"
mythes-nn,工具,库,库, Nynorsk thesaurus, Nynorsk thesaurus.
emacs,工具,工具,库, GNU Emacs text editor," Emacs is a powerful, customizable, self-documenting, modeless text
editor. Emacs contains special code editing features, a scripting
language (elisp), and the capability to read mail, news, and more
without leaving the editor.

This package provides an emacs binary with support for X windows."
chrpath,工具,库,库,Modify rpath of compiled programs ,"chrpath allows you to modify the dynamic library load path (rpath) of
compiled programs.  Currently, only removing and modifying the rpath
is supported. "
dtkcommon,工具,工具,库, DTK common files, This package contains common configuration files for DTK.
keentuned,服务,工具,工具, KeenTune tuning tools, KeenTune tuning tools rpm package
web-assets-filesystem,服务,库,库, The basic directory layout for Web Assets, The basic directory layout for Web Assets.
kernel-debug-modules-extra,其它,其它,服务, Extra kernel modules to match the debug kernel, This package provides less commonly used kernel modules for the debug kernel package.
ntfs-3g,服务,服务,库, Linux NTFS userspace driver," NTFS-3G is a stable, open source, GPL licensed, POSIX, read/write NTFS
driver for Linux and many other operating systems. It provides safe
handling of the Windows XP, Windows Server 2003, Windows 2000, Windows
Vista, Windows Server 2008 and Windows 7 NTFS file systems. NTFS-3G can
create, remove, rename, move files, directories, hard links, and streams;
it can read and write normal and transparently compressed files, including
streams and sparse files; it can handle special files like symbolic links,
devices, and FIFOs, ACL, extended attributes; moreover it provides full
file access right and ownership support."
gcc-toolset-10-elfutils-libelf,库,库,工具, Library to read and write ELF files," The elfutils-libelf package provides a DSO which allows reading and
writing ELF files on a high level.  Third party programs depend on
this package to read internals of ELF files.  The programs of the
elfutils package use it also to generate new ELF files."
iwpmd,服务,服务,库,iWarp Port Mapper userspace daemon ,"iwpmd provides a userspace service for iWarp drivers to claim
tcp ports through the standard socket interface. "
xorg-x11-utils,工具,工具,库, X.Org X11 X client utilities," A collection of client utilities which can be used to query the X server for
various information."
quota-nld,服务,服务,工具,quota_nld daemon ,"Daemon that listens on netlink socket and processes received quota warnings.
Note, that you have to enable the kernel support for sending quota messages
over netlink (in Filesystems->Quota menu). The daemon supports forwarding
warning messages to the system D-Bus (so that desktop manager can display
a dialog) and writing them to the terminal user has last accessed. "
grafana-pcp,服务,服务,工具, Performance Co-Pilot Grafana Plugin," This Grafana plugin for Performance Co-Pilot includes datasources for
scalable time series from pmseries(1) and Redis, live PCP metrics and
bpftrace scripts from pmdabpftrace(1), as well as several dashboards."
varnish,服务,库,工具, High-performance HTTP accelerator," This is Varnish Cache, a high-performance HTTP accelerator.

Varnish Cache stores web pages in memory so web servers don__ have to
create the same web page over and over again. Varnish Cache serves
pages much faster than any application server; giving the website a
significant speed up.

Documentation wiki and additional information about Varnish Cache is
available on: https://www.varnish-cache.org/"
tuned-profiles-compat,库,工具,服务,Additional tuned profiles mainly for backward compatibility with tuned 1.0 ,"Additional tuned profiles mainly for backward compatibility with tuned 1.0.
It can be also used to fine tune your system for specific scenarios. "
libblkid,库,库,工具, Block device ID library," This is block device identification library, part of util-linux."
sblim-gather-provider,库,工具,服务, SBLIM Gatherer Provider," The CIM (Common Information Model) Providers for the
SBLIM (Standards Based Linux Instrumentation for Manageability)
Gatherer."
ibus-table-chinese-cangjie,库,库,工具, Cangjie based input methods," Cangjie based input methods, includes:
Cangjie3, Canjie5, and Cangjie big tables."
openjade,库,工具,工具, A DSSSL implementation," OpenJade is an implementation of the ISO/IEC 10179:1996 standard DSSSL
(Document Style Semantics and Specification Language). OpenJade is
based on James Clark's Jade implementation of DSSSL. OpenJade is a
command-line application and a set of components. The DSSSL engine
inputs an SGML or XML document and can output a variety of formats:
XML, RTF, TeX, MIF (FrameMaker), SGML, or XML."
passwd,工具,工具,服务,An utility for setting or changing passwords using PAM ,"This package contains a system utility (passwd) which sets
or changes passwords, using PAM (Pluggable Authentication
Modules) library. "
libnetfilter_cttimeout,库,工具,工具, Timeout policy tuning for Netfilter/conntrack," This infrastructure allows you to define fine-grain timeout
policies per flow. Basically, from user-space, you can create
timeout policy objects via nfct_timeout_alloc(), set the
policy attributes, via nfct_timeout_*_attr_set(), and then
build the ctnetlink message to communicate this new timeout
policy to the kernel."
bind-pkcs11-utils,工具,工具,库, Bind tools with native PKCS#11 for using DNSSEC," This is a set of PKCS#11 utilities that when used together create rsa
keys in a PKCS11 keystore. Also utilities for working with DNSSEC
compiled with native PKCS#11 functionality are included."
fence-agents-kubevirt,服务,服务,库, Fence agent for KubeVirt platform, Fence agent for KubeVirt platform.
libstoragemgmt-hpsa-plugin,库,库,工具, Files for HP SmartArray support for libstoragemgmt," The libstoragemgmt-hpsa-plugin package contains the plugin for HP
SmartArray storage management via hpssacli."
lorax-lmc-virt,工具,工具,服务, livemedia-creator libvirt dependencies, Additional dependencies required by livemedia-creator when using it with qemu-kvm.
fcitx-gtk3,库,库,工具, Fcitx IM module for gtk3, This package contains Fcitx IM module for gtk3.
ctags,工具,工具,库, A C programming language indexing and/or cross-reference tool," Ctags generates an index (or tag) file of C language objects found in
C source and header files.  The index makes it easy for text editors or
other utilities to locate the indexed items.  Ctags can also generate a
cross reference file which lists information about the various objects
found in a set of C language files in human readable form.  Exuberant
Ctags improves on ctags because it can find all types of C language tags,
including macro definitions, enumerated values (values inside enum{...}),
function and method definitions, enum/struct/union tags, external
function prototypes, typedef names and variable declarations.  Exuberant
Ctags is far less likely to be fooled by code containing #if preprocessor
conditional constructs than ctags.  Exuberant ctags supports output of
Emacs style TAGS files and can be used to print out a list of selected
objects found in source files.

Install ctags if you are going to use your system for C programming."
pcp-testsuite,库,服务,服务, Performance Co-Pilot (PCP) test suite, Quality assurance test suite for Performance Co-Pilot (PCP).
python3-virtualenv,库,库,工具, Tool to create isolated Python environments," virtualenv is a tool to create isolated Python environments. virtualenv
is a successor to workingenv, and an extension of virtual-python. It is
written by Ian Bicking, and sponsored by the Open Planning Project. It is
licensed under an MIT-style permissive license"
kde-settings-pulseaudio,工具,工具,服务, Enable pulseaudio support in KDE, Enable pulseaudio support in KDE.
glusterfs,服务,工具,库, Distributed File System," GlusterFS is a distributed file-system capable of scaling to several
petabytes. It aggregates various storage bricks over Infiniband RDMA
or TCP/IP interconnect into one large parallel network file
system. GlusterFS is one of the most sophisticated file systems in
terms of features and extensibility.  It borrows a powerful concept
called Translators from GNU Hurd kernel. Much of the code in GlusterFS
is in user space and easily manageable.

This package includes the glusterfs binary, the glusterfsd daemon and the
libglusterfs and glusterfs translator modules common to both GlusterFS server
and client framework."
lsscsi,工具,工具,库,List SCSI devices (or hosts) and associated information ,"Uses information provided by the sysfs pseudo file system in Linux kernel
2.6 series to list SCSI devices or all SCSI hosts. Includes a ""classic""
option to mimic the output of ""cat /proc/scsi/scsi"" that has been widely
used prior to the lk 2.6 series.

Author:
--------
    Doug Gilbert <dgilbert(at)interlog(dot)com> "
xorg-x11-apps,工具,工具,库, X.Org X11 applications, A collection of common X Window System applications.
haproxy,服务,工具,工具, HAProxy reverse proxy for high availability environments," HAProxy is a TCP/HTTP reverse proxy which is particularly suited for high
availability environments. Indeed, it can:
 - route HTTP requests depending on statically assigned cookies
 - spread load among several servers while assuring server persistence
   through the use of HTTP cookies
 - switch to backup servers in the event a main one fails
 - accept connections to special ports dedicated to service monitoring
 - stop accepting connections without breaking existing ones
 - add, modify, and delete HTTP headers in both directions
 - block requests matching particular patterns
 - report detailed status to authenticated users from a URI
   intercepted from the application"
maven-plugin-registry,工具,库,库, Compatibility Maven plugin registry artifact, Maven plugin registry artifact
kf5-kcrash,工具,工具,库, KDE Frameworks 5 Tier 2 addon for handling application crashes, KCrash provides support for intercepting and handling application crashes.
openbox-kde,工具,工具,服务, KDE integration for openbox," The openbox-kde package contains the files needed for using openbox inside a
KDE session."
tog-pegasus,服务,服务,库, OpenPegasus WBEM Services for Linux," OpenPegasus WBEM Services for Linux enables management solutions that deliver
increased control of enterprise resources. WBEM is a platform and resource
independent DMTF standard that defines a common information model and
communication protocol for monitoring and controlling resources from diverse
sources."
adwaita-gtk2-theme,其它,其它,库, Adwaita gtk2 theme," The adwaita-gtk2-theme package contains a gtk2 theme for presenting widgets
with a GNOME look and feel."
brasero-nautilus,工具,工具,库, Nautilus extension for brasero, The brasero-nautilus package contains the brasero nautilus extension.
maven-surefire-plugin,工具,工具,库, Surefire plugin for maven, Maven surefire plugin for running tests via the surefire framework.
nbdkit-curl-plugin,库,工具,工具, HTTP/FTP (cURL) plugin for nbdkit, This package contains cURL (HTTP/FTP) support for nbdkit.
python3-wheel,库,库,工具, Built-package format for Python," A built-package format for Python.

A wheel is a ZIP-format archive with a specially formatted filename and the
.whl extension. It is designed to contain all the files for a PEP 376
compatible install in a way that is very close to the on-disk format.

Python 3 version."
unrar,工具,工具,库," Utility for extracting, testing and viewing RAR archives"," The unrar utility is a freeware program for extracting, testing and
viewing the contents of archives created with the RAR archiver version
1.50 and above."
tix,库,库,工具, A set of extension widgets for Tk," Tix, the Tk Interface eXtension, is a powerful set of user interface
components that expands the capabilities of your Tcl/Tk and Python
applications. Using Tix together with Tk will greatly enhance the
appearance and functionality of your application."
bind-sdb-chroot,服务,服务,工具," A chroot runtime environment for the ISC BIND DNS server, named-sdb(8)"," This package contains a tree of files which can be used as a
chroot(2) jail for the named-sdb(8) program from the BIND package.
Based on the code from Jan ""Yenya"" Kasprzak <kas@fi.muni.cz>"
sushi,工具,工具,库, A quick previewer for Nautilus," This is sushi, a quick previewer for Nautilus, the GNOME desktop
file manager."
subversion-gnome,服务,服务,库, GNOME Keyring support for Subversion," The subversion-gnome package adds support for storing Subversion
passwords in the GNOME Keyring."
toolbox,工具,工具,服务, Unprivileged development environment," Toolbox is a tool for Linux operating systems, which allows the use of
containerized command line environments. It is built on top of Podman and
other standard container technologies from OCI."
golang-github-mozillazg-pinyin,库,工具,其它, lofanmi-pinyin, go-pinyin
opencryptoki-libs,库,库,工具, The run-time libraries for opencryptoki package," Opencryptoki implements the PKCS#11 specification v2.20 for a set of
cryptographic hardware, such as IBM 4764 and 4765 crypto cards, and the
Trusted Platform Module (TPM) chip. Opencryptoki also brings a software
token implementation that can be used without any cryptographic
hardware.
This package contains the PKCS#11 library implementation, and requires
at least one token implementation (packaged separately) to be fully
functional."
deepin-menu,服务,服务,库, Deepin menu service, Deepin menu service for building beautiful menus.
libtasn1-tools,工具,工具,库, Some ASN.1 tools," This package contains simple tools that can decode and encode ASN.1
data."
at,工具,工具,服务,Job spooling tools ,"At and batch read commands from standard input or from a specified
file. At allows you to specify that a command will be run at a
particular time. Batch will execute commands when the system load
levels drop to a particular level. Both commands use user's shell.

You should install the at package if you need a utility for
time-oriented job control. Note: If it is a recurring job that will
need to be repeated at the same time every day/week, etc. you should
use crontab instead. "
plexus-languages,库,库,工具, Plexus Languages," Plexus Languages is a set of Plexus components that maintain shared
language features."
maven-doxia-modules,工具,库,库, Doxia modules for several markup languages., This package provides Doxia modules for several markup languages..
ppp,服务,服务,库,The Point-to-Point Protocol daemon ,"The ppp package contains the PPP (Point-to-Point Protocol) daemon and
documentation for PPP support. The PPP protocol provides a method for
transmitting datagrams over serial point-to-point links. PPP is
usually used to dial in to an ISP (Internet Service Provider) or other
organization over a modem and phone line. "
hplip-gui,工具,工具,库, HPLIP graphical tools, HPLIP graphical tools.
flac,工具,工具,库, An encoder/decoder for the Free Lossless Audio Codec," FLAC stands for Free Lossless Audio Codec. Grossly oversimplified, FLAC
is similar to Ogg Vorbis, but lossless. The FLAC project consists of
the stream format, reference encoders and decoders in library form,
flac, a command-line program to encode and decode FLAC files, metaflac,
a command-line metadata editor for FLAC files and input plugins for
various music players.

This package contains the command-line tools and documentation."
java-11-alibaba-dragonwell-demo-fastdebug,库,工具,工具, Alibaba Dragonwell11 Runtime Environment demofastdebug, Alibaba Dragonwell11 Runtime Environment demo fastdebug
driverctl,工具,服务,服务, Device driver control utility," driverctl is a tool for manipulating and inspecting the system
device driver choices.

Devices are normally assigned to their sole designated kernel driver
by default. However in some situations it may be desireable to
override that default, for example to try an older driver to
work around a regression in a driver or to try an experimental alternative
driver. Another common use-case is pass-through drivers and driver
stubs to allow userspace to drive the device, such as in case of
virtualization.

driverctl integrates with udev to support overriding
driver selection for both cold- and hotplugged devices from the
moment of discovery, but can also change already assigned drivers,
assuming they are not in use by the system. The driver overrides
created by driverctl are persistent across system reboots
by default."
pavucontrol,工具,工具,库, Volume control for PulseAudio," PulseAudio Volume Control (pavucontrol) is a simple GTK based volume control
tool (""mixer"") for the PulseAudio sound server. In contrast to classic mixer
tools this one allows you to control both the volume of hardware devices and
of each playback stream separately."
dracut-squash,库,工具,工具,dracut module to build an initramfs with most files in a squashfs image ,"This package provides a dracut module to build an initramfs, but store most files
in a squashfs image, result in a smaller initramfs size and reduce runtime memory
usage. "
gcc-c++,工具,工具,库, C++ support for GCC," This package adds C++ support to the GNU Compiler Collection.
It includes support for most of the current C++ specification,
including templates and exception handling."
