name,label,pred,summary,description
dotnet-host,库,工具, .NET command line launcher," The .NET host is a command line program that runs a standalone
.NET application or launches the SDK.

.NET is a fast, lightweight and modular platform for creating
cross platform applications that work on Linux, Mac and Windows.

It particularly focuses on creating console applications, web
applications and micro-services."
gtk2-immodule-xim,库,库, XIM support for GTK+, The gtk2-immodule-xim package contains XIM support for GTK+.
mstflint,工具,工具, Mellanox firmware burning tool," This package contains firmware update tool, vpd dump and register dump tools
for network adapters based on Mellanox Technologies chips."
aspnetcore-targeting-pack-3.1,库,库, Targeting Pack for Microsoft.AspNetCore.App 3.1," This package provides a targetting pack for Microsoft.AspNetCore.App 3.1
that allows developers to compile against and target Microsoft.AspNetCore.App 3.1
applications using the .NET Core SDK."
felix-osgi-core,库,库, Felix OSGi R4 Core Bundle, OSGi Service Platform Release 4 Core Interfaces and Classes.
389-ds-base-snmp,服务,服务, SNMP Agent for 389 Directory Server, SNMP Agent for the 389 Directory Server base package.
flatpak-xdg-utils,工具,工具, Command-line tools for use inside Flatpak sandboxes," This package contains a number of command-line utilities for use inside
Flatpak sandboxes. They work by talking to portals."
python3-dnf-plugin-modulesync,库,库, Download module metadata and packages and create repository," Download module metadata from all enabled repositories, module artifacts and profiles of matching modules and create
repository."
bluez-cups,工具,工具, CUPS printer backend for Bluetooth printers, This package contains the CUPS backend
java-11-openjdk-slowdebug,库,库, OpenJDK 11 Runtime Environment unoptimised with full debugging on," The OpenJDK 11 runtime environment.
This package is unoptimised with full debugging. Install only as needed and remove ASAP."
patchutils,工具,工具, A collection of programs for manipulating patch files," This is a collection of programs that can manipulate patch files in
a variety of ways, such as interpolating between two pre-patches,
combining two incremental patches, fixing line numbers in hand-edited
patches, and simply listing the files modified by a patch."
libICE,库,库, X.Org X11 ICE runtime library, The X.Org X11 ICE (Inter-Client Exchange) runtime library.
tesseract-langpack-khm,工具,工具, Khmer language data for tesseract-tessdata," This package contains the fast integer version of the Khmer language
trained models for the Tesseract Open Source OCR Engine."
xerces-c,库,库, Validating XML Parser," Xerces-C is a validating XML parser written in a portable
subset of C++. Xerces-C makes it easy to give your application the
ability to read and write XML data. A shared library is provided for
parsing, generating, manipulating, and validating XML
documents. Xerces-C is faithful to the XML 1.0 recommendation and
associated standards: XML 1.0 (Third Edition), XML 1.1 (First
Edition), DOM Level 1, 2, 3 Core, DOM Level 2.0 Traversal and Range,
DOM Level 3.0 Load and Save, SAX 1.0 and SAX 2.0, Namespaces in XML,
Namespaces in XML 1.1, XML Schema, XML Inclusions)."
fcitx-libs,库,库, Shared libraries for Fcitx, The fcitx-libs package provides shared libraries for Fcitx
qt5-qtsvg,库,库, Qt5 - Support for rendering and displaying SVG," Scalable Vector Graphics (SVG) is an XML-based language for describing
two-dimensional vector graphics. Qt provides classes for rendering and
displaying SVG drawings in widgets and on other paint devices."
flatpak-builder,工具,工具, Tool to build flatpaks from source," Flatpak-builder is a tool for building flatpaks from sources.

See http://flatpak.org/ for more information."
qt5-qtwebsockets-examples,库,库, Programming examples for qt5-qtwebsockets, Programming examples for qt5-qtwebsockets.
liberation-fonts-common,其它,其它, Shared common files of Liberation font families," The Liberation Fonts are intended to be replacements for the 3 most commonly
used fonts on Microsoft systems: Times New Roman, Arial, and Courier New.

Shared common files of Liberation font families."
harfbuzz-icu,库,库, Harfbuzz ICU support library, This package contains Harfbuzz ICU support library.
perl-DBM_Filter,库,库, Filter DBM keys and values," This module provides an interface that allows filters to be applied to tied
hashes associated with DBM files."
iwl5000-firmware,其它,其它,Firmware for Intel庐 PRO/Wireless 5000 A/G/N network adaptors ,"This package contains the firmware required by the iwl5000 driver
for Linux.  Usage of the firmware is subject to the terms and conditions
contained inside the provided LICENSE file. Please read it carefully. "
stax-ex,库,库, StAX API extensions," This project develops a few extensions to complement JSR-173 StAX API in the
following area.

* Enable parser instance reuse (which is important in the
  high-performance environment like JAXB and JAX-WS)
* Improve the support for reading from non-text XML infoset,
  such as FastInfoset.
* Improve the namespace support."
greenboot-default-health-checks,服务,库, Series of optional and curated health checks, Series of optional and curated health checks.
tesseract-langpack-ara,工具,工具, Arabic language data for tesseract-tessdata," This package contains the fast integer version of the Arabic language
trained models for the Tesseract Open Source OCR Engine."
libstoragemgmt-smis-plugin,库,库,Files for SMI-S generic array support for libstoragemgmt ,"The libstoragemgmt-smis-plugin package contains plug-in for generic SMI-S array
support. "
gnome-shell-extension-windowsNavigator,服务,服务, Support for keyboard selection of windows and workspaces in GNOME Shell," This GNOME Shell extension enables keyboard selection of windows and workspaces
in overlay mode, by pressing the Alt and Ctrl key respectively."
qt5-qtvirtualkeyboard,库,库, Qt5 - VirtualKeyboard component," The Qt Virtual Keyboard project provides an input framework and reference keyboard frontend
for Qt 5.  Key features include:
* Customizable keyboard layouts and styles with dynamic switching.
* Predictive text input with word selection.
* Character preview and alternative character view.
* Automatic capitalization and space insertion.
* Scalability to different resolutions.
* Support for different character sets (Latin, Simplified/Traditional Chinese, Hindi, Japanese, Arabic, Korean, and others).
* Support for most common input languages, with possibility to easily extend the language support.
* Left-to-right and right-to-left input.
* Hardware key support for 2-way and 5-way navigation.
* Handwriting support, with gestures for fullscreen input.
* Audio feedback."
amanda,服务,服务, A network-capable tape backup solution," AMANDA, the Advanced Maryland Automatic Network Disk Archiver, is a
backup system that allows the administrator of a LAN to set up a
single master backup server to back up multiple hosts to one or more
tape drives or disk files.  AMANDA uses native dump and/or GNU tar
facilities and can back up a large number of workstations running
multiple versions of Unix.  Newer versions of AMANDA (including this
version) can use SAMBA to back up Microsoft(TM) Windows95/NT hosts.
The amanda package contains the core AMANDA programs and will need to
be installed on both AMANDA clients and AMANDA servers.  Note that you
will have to install the amanda-client and/or amanda-server packages as
well."
tesseract-langpack-eng,工具,工具, English language data for tesseract-tessdata," This package contains the fast integer version of the English language
trained models for the Tesseract Open Source OCR Engine."
gcc-toolset-11-gdb,工具,工具," A GNU source-level debugger for C, C++, Fortran, Go and other languages"," GDB, the GNU debugger, allows you to debug programs written in C, C++,
Java, and other languages, by executing them in a controlled fashion
and printing their data."
pcp-pmda-bash,服务,服务, Performance Co-Pilot (PCP) metrics for the Bash shell," This package contains the PCP Performance Metrics Domain Agent (PMDA) for
collecting metrics about the Bash shell."
libkkc-data,库,库, Language model data for libkkc," The libkkc-data package contains the language model data that libkkc uses
at run time."
LibRaw,库,库, Library for reading RAW files obtained from digital photo cameras," LibRaw is a library for reading RAW files obtained from digital photo
cameras (CRW/CR2, NEF, RAF, DNG, and others).

LibRaw is based on the source codes of the dcraw utility, where part of
drawbacks have already been eliminated and part will be fixed in future."
xz-libs,库,库, Libraries for decoding LZMA compression, Libraries for decoding files compressed with LZMA or XZ utils.
osinfo-db-tools,工具,工具, Tools for managing the osinfo database," This package provides tools for managing the osinfo database of
information about operating systems for use with virtualization"
freeradius-sqlite,服务,服务, SQLite support for freeradius, This plugin provides the SQLite support for the FreeRADIUS server project.
mingw32-harfbuzz,库,库, MinGW Windows Harfbuzz library, HarfBuzz is an implementation of the OpenType Layout engine.
kacst-decorative-fonts,其它,其它, Fonts for arabic from arabeyes project, This package contains decorative type fonts for the display of Arabic
gnome-calculator,工具,工具, A desktop calculator," gnome-calculator is a powerful graphical calculator with financial,
logical and scientific modes. It uses a multiple precision package
to do its arithmetic to give a high degree of accuracy."
java-1.8.0-openjdk-demo-slowdebug,库,库, OpenJDK 8 Demos unoptimised with full debugging on," The OpenJDK 8 demos.
This package is unoptimised with full debugging. Install only as needed and remove ASAP."
python2-pymongo,库,库, Python driver for MongoDB," The Python driver for MongoDB.  This package contains the python2 version of
this module."
tibetan-machine-uni-fonts,其它,其它," Tibetan Machine Uni font for Tibetan, Dzongkha and Ladakhi"," Tibetan Machine Uni is an TrueType OpenType, Unicode font released by THDL
project. The font supports Tibetan, Dzongkha and Ladakhi in dbu-can script
with full support for the Sanskrit combinations found in chos skad text."
hunspell-es-AR,工具,工具, Argentine Spanish hunspell dictionary, Argentine Spanish hunspell dictionary
vim-filesystem,库,库, VIM filesystem layout," This package provides some directories which are required by other
packages that add vim files, p.e.  additional syntax files or filetypes."
kf5-syntax-highlighting,工具,工具, KDE Frameworks 5 Syntax highlighting engine for Kate syntax definitions, KDE Frameworks 5 Syntax highlighting engine for Kate syntax definitions.
python3-sss-murmur,库,库,Python3 bindings for murmur hash function ,Provides python3 module for calculating the murmur hash version 3 
cloud-utils-growpart,工具,工具, Script for growing a partition," This package provides the growpart script for growing a partition. It is
primarily used in cloud images in conjunction with the dracut-modules-growroot
package to grow the root partition on first boot."
gedit-plugin-wordcompletion,工具,工具, gedit wordcompletion plugin, The gedit wordcompletion plugin.
samba-client,工具,工具, Samba client programs," The samba-client package provides some SMB/CIFS clients to complement
the built-in SMB/CIFS filesystem in Linux. These clients allow access
of SMB/CIFS shares and printing to SMB/CIFS printers."
faad2-libs,库,库, Shared libraries of the FAAD 2 AAC decoder," FAAD 2 is a LC, MAIN and LTP profile, MPEG2 and MPEG-4 AAC decoder, completely
written from scratch.

This package contains libfaad."
owasp-java-encoder-javadoc,库,库, Javadoc for owasp-java-encoder, Javadoc for owasp-java-encoder.
gjs,库,库, Javascript Bindings for GNOME," Gjs allows using GNOME libraries from Javascript. It's based on the
Spidermonkey Javascript engine from Mozilla and the GObject introspection
framework."
mingw32-gcc,工具,工具, MinGW Windows cross-compiler (GCC) for C for the win32 target, MinGW Windows cross-compiler (GCC) for C for the win32 target.
mythes-ca,库,库, Catalan thesaurus, Catalan thesaurus.
libdav1d,库,库, Library files for dav1d," Library files for dav1d, the AV1 cross-platform Decoder."
libguestfs-inspect-icons,库,库, Additional dependencies for inspecting guest icons," libguestfs-inspect-icons is a metapackage that pulls in additional
dependencies required by libguestfs to pull icons out of non-Linux
guests.  Install this package if you want libguestfs to be able to
inspect non-Linux guests and display icons from them.

The only reason this is a separate package is to avoid core libguestfs
having to depend on Perl.  See https://bugzilla.redhat.com/1194158"
libpinyin,库,库, Library to deal with pinyin," The libpinyin project aims to provide the algorithms core
for intelligent sentence-based Chinese pinyin input methods."
qt5-qtbase-postgresql,库,库, PostgreSQL driver for Qt5's SQL classes, PostgreSQL driver for Qt5's SQL classes.
squid,服务,服务, The Squid proxy caching server," Squid is a high-performance proxy caching server for Web clients,
supporting FTP, gopher, and HTTP data objects. Unlike traditional
caching software, Squid handles all requests in a single,
non-blocking, I/O-driven process. Squid keeps meta data and especially
hot objects cached in RAM, caches DNS lookups, supports non-blocking
DNS lookups, and implements negative caching of failed requests.

Squid consists of a main server program squid, a Domain Name System
lookup program (dnsserver), a program for retrieving FTP data
(ftpget), and some management and client tools."
antlr-manual,库,库, Manual for antlr, Documentation for antlr.
culmus-stamashkenaz-clm-fonts,其它,其它, Fonts for Hebrew from Culmus project," 
The culmus-fonts package contains fonts for the display of
Hebrew from the Culmus project."
libss,库,库, Command line interface parsing library," This is libss, a command line interface parsing library, part of e2fsprogs.

This package includes a tool that parses a command table to generate
a simple command-line interface parser, the include files needed to
compile and use it.

It was originally inspired by the Multics SubSystem library."
libfprint,库,库, Toolkit for fingerprint scanner, libfprint offers support for consumer fingerprint reader devices.
setroubleshoot-server,工具,工具, SELinux troubleshoot server," Provides tools to help diagnose SELinux problems. When AVC messages
are generated an alert can be generated that will give information
about the problem and help track its resolution. Alerts can be configured
to user preference. The same tools can be run on existing log files."
composer-cli,工具,工具, A command line tool for use with the lorax-composer API server," A command line tool for use with the lorax-composer API server. Examine recipes,
build images, etc. from the command line."
perl-File-DosGlob,库,库, DOS-like globbing," This Perl module implements DOS-like globbing with a few enhancements. It
is largely compatible with perlglob.exe in all but one respect--it understands
wild cards in directory components."
urw-base35-nimbus-roman-fonts,其它,其它, Nimbus Roman font family [part of Level 2 Core Font Set]," This package contains Nimbus Roman font family,
which is part of Level 2 Core Font Set.


The Level 2 Core Font Set is a PostScript specification of 35 base fonts that
can be used with any PostScript file. In Fedora, these fonts are provided freely
by (URW)++ company, and are mainly utilized by applications using Ghostscript."
kf5-kio-core-libs,库,库, Runtime libraries for KIO Core, Runtime libraries for KIO Core.
python39-wheel,库,库, Built-package format for Python," Wheel is the reference implementation of the Python wheel packaging standard,
as defined in PEP 427.

It has two different roles:

 1. A setuptools extension for building wheels that provides the bdist_wheel
    setuptools command.
 2. A command line tool for working with wheel files."
hunspell-pl,工具,工具, Polish hunspell dictionaries, Polish hunspell dictionaries.
perl-Package-DeprecationManager,库,库, Manage deprecation warnings for your distribution," This module allows you to manage a set of deprecations for one or more modules.

When you import Package::DeprecationManager, you must provide a set of
-deprecations as a hash ref. The keys are ""feature"" names, and the values are
the version when that feature was deprecated."
mythes-en,库,库, English thesaurus, English thesaurus.
iproute,工具,工具, Advanced IP routing and network device configuration tools," The iproute package contains networking utilities (ip and rtmon, for example)
which are designed to use the advanced networking capabilities of the Linux
kernel."
bind9.16-dnssec-utils,工具,工具, DNSSEC keys and zones management utilities," Bind-dnssec-utils contains a collection of utilities for editing
DNSSEC keys and BIND zone files. These tools provide generation,
revocation and verification of keys and DNSSEC signatures in zone files.

You should install bind9.16-dnssec-utils if you need to sign a DNS zone
or maintain keys for it."
colord-libs,库,库, Color daemon library," colord is a low level system activated daemon that maps color devices
to color profiles in the system context."
compiler-rt,库,库," LLVM ""compiler-rt"" runtime libraries"," The compiler-rt project is a part of the LLVM project. It provides
implementation of the low-level target-specific hooks required by
code generation, sanitizer runtimes and profiling library for code
instrumentation, and Blocks C language extension."
e2fsprogs-libs,库,库, Ext2/3/4 file system specific shared libraries," E2fsprogs-libs contains libe2p and libext2fs, the libraries of the
e2fsprogs package.

These libraries are used to directly access ext2/3/4 file systems
from user space."
lua-socket,库,库, Network support for the Lua language," LuaSocket is a Lua extension library that is composed by two parts: a C core
that provides support for the TCP and UDP transport layers, and a set of Lua
modules that add support for functionality commonly needed by applications
that deal with the Internet.

Among the support modules, the most commonly used implement the SMTP, HTTP
and FTP. In addition there are modules for MIME, URL handling and LTN12."
perl-macros,库,库, Macros for rpmbuild, RPM macros that are handy when building binary RPM packages.
hyphen-hu,库,库, Hungarian hyphenation rules, Hungarian hyphenation rules.
guava,库,库, Google Core Libraries for Java," Guava is a suite of core and expanded libraries that include
utility classes, Google__ collections, io classes, and much
much more.
This project is a complete packaging of all the Guava libraries
into a single jar.  Individual portions of Guava can be used
by downloading the appropriate module and its dependencies."
kf5-networkmanager-qt,库,库, A Tier 1 KDE Frameworks 5 module that wraps NetworkManager DBus API, A Tier 1 KDE Frameworks 5 Qt library for NetworkManager.
git-subtree,工具,工具, Git tools to merge and split repositories," Git subtrees allow subprojects to be included within a subdirectory
of the main project, optionally including the subproject's entire
history."
modulemd-tools,工具,库, Collection of tools for parsing and generating modulemd YAML files," Tools provided by this package:

repo2module - Takes a YUM repository on its input and creates modules.yaml
    containing YAML module definitions generated for each package.

dir2module - Generates a module YAML definition based on essential module
    information provided via command-line parameters. The packages provided by
    the module are found in a specified directory or a text file containing
    their list.

createrepo_mod - A small wrapper around createrepo_c and modifyrepo_c to provide
    an easy tool for generating module repositories.

modulemd-merge - Merge several modules.yaml files into one. This is useful for
    example if you have several yum repositories and want to merge them into one.

modulemd-generate-macros - Generate module-build-macros SRPM package, which is
    a central piece for building modules. It should be present in the buildroot
    before any other module packages are submitted to be built.

bld2repo - Simple tool for dowloading build required RPMs of a modular build from koji."
texlive-wasysym,工具,工具, LaTeX support file to use the WASY2 fonts," The WASY2 (Waldi Symbol) font by Roland Waldi provides many
glyphs like male and female symbols and astronomical symbols,
as well as the complete lasy font set and other odds and ends.
The wasysym package implements an easy to use interface for
these symbols."
openssh-server,服务,服务,An open source SSH server daemon ,"OpenSSH is a free version of SSH (Secure SHell), a program for logging
into and executing commands on a remote machine. This package contains
the secure shell daemon (sshd). The sshd daemon allows SSH clients to
securely connect to your SSH server. "
perl-Package-Stash-XS,库,库, Faster and more correct implementation of the Package::Stash API," This is a back-end for Package::Stash, which provides the functionality in a
way that's less buggy and much faster. It will be used by default if it's
installed, and should be preferred in all environments with a compiler."
gcc-toolset-10-dwz,工具,工具, DWARF optimization and duplicate removal tool," The dwz package contains a program that attempts to optimize DWARF
debugging information contained in ELF shared libraries and ELF executables
for size, by replacing DWARF information representation with equivalent
smaller representation where possible and by reducing the amount of
duplication using techniques from DWARF standard appendix E - creating
DW_TAG_partial_unit compilation units (CUs) for duplicated information
and using DW_TAG_imported_unit to import it into each CU that needs it."
texlive-xcolor,工具,工具, Driver-independent color extensions for LaTeX and pdfLaTeX," Provides easy driver-independent access to several kinds of
color tints, shades, tones, and mixes of arbitrary colors. It
allows a user to select a document-wide target color model and
offers complete tools for conversion between eight color
models. Additionally, there is a command for alternating row
colors plus repeated non-aligned material (like horizontal
lines) in tables. Colors can be mixed like
\color{red!30!green!40!blue}."
gnome-shell-extension-panel-favorites,服务,服务, Favorite launchers in GNOME Shell's top bar, This GNOME Shell extension adds favorite launchers to the top bar.
jzlib-javadoc,库,库, API documentation for jzlib, API documentation for jzlib.
