name,label,layer_pred,class_pred,summary,description
acpica-tools,系统工具,核心,工具,ACPICA tools for the development and debug of ACPI tables,"The ACPI Component Architecture (ACPICA) project provides an OS-independent
reference implementation of the Advanced Configuration and Power Interface
Specification (ACPI).  ACPICA code contains those portions of ACPI meant to
be directly integrated into the host OS as a kernel-resident subsystem, and
a small set of tools to assist in developing and debugging ACPI tables.

This package contains only the user-space tools needed for ACPI table
development, not the kernel implementation of ACPI.  The following commands
are installed:
   -- iasl: compiles ASL (ACPI Source Language) into AML (ACPI Machine
      Language), suitable for inclusion as a DSDT in system firmware.
      It also can disassemble AML, for debugging purposes.
   -- acpibin: performs basic operations on binary AML files (e.g.,
      comparison, data extraction)
   -- acpidump: write out the current contents of ACPI tables
   -- acpiexec: simulate AML execution in order to debug method definitions
   -- acpihelp: display help messages describing ASL keywords and op-codes
   -- acpinames: display complete ACPI name space from input AML
   -- acpisrc: manipulate the ACPICA source tree and format source files
      for specific environments
   -- acpixtract: extract binary ACPI tables from acpidump output (see
      also the pmtools package)

This version of the tools is being released under GPLv2 license."
adcli,应用工具,应用,服务,Active Directory enrollment,"adcli is a tool for joining an Active Directory domain using
standard LDAP and Kerberos calls."
adobe-mappings-cmap,应用工具,应用,其它,CMap resources for Adobe's character collections,"CMap (Character Map) resources are used to unidirectionally map character codes,
such as Unicode encoding form, to CIDs (Character IDs -- meaning glyphs) of a
CIDFont resource.

These CMap resources are useful for some applications (e.g. Ghostscript) to
correctly display text containing Japanese, (Traditional) Chinese, or Korean
characters."
adobe-mappings-cmap-deprecated,应用工具,应用,其它,Deprecated CMap resources for Adobe's character collections,"This sub-package contains currently deprecated CMap resources that some
applications might still require to function properly."
adobe-mappings-pdf,应用工具,应用,库,PDF mapping resources from Adobe,"Mapping resources for PDF have a variety of functions, such as mapping CIDs
(Character IDs) to character codes, or mapping character codes to other
character codes.

These mapping resources for PDF should not be confused with CMap resources.
While both types of resources share the same file structure and syntax, they
have very different functions.

These PDF mapping resources are useful for some applications (e.g. Ghostscript)
to function properly."
adwaita-cursor-theme,应用工具/桌面,应用,服务,Adwaita cursor theme,"The adwaita-cursor-theme package contains a modern set of cursors originally
designed for the GNOME desktop."
adwaita-icon-theme,应用工具/桌面,核心,服务,Adwaita icon theme,This package contains the Adwaita icon theme used by the GNOME desktop.
adwaita-qt5,应用库/桌面,应用,工具,Adwaita Qt5 theme,Adwaita theme variant for applications utilizing Qt5.
aide,应用工具,核心,库,Intrusion detection environment,"AIDE (Advanced Intrusion Detection Environment) is a file integrity
checker and intrusion detection program."
alsa-ucm,系统库,应用,服务,ALSA Use Case Manager configuration,"The Advanced Linux Sound Architecture (ALSA) Universal Configuration
Manager allows configuration of Audio input/output names and routing"
alsa-plugins-arcamav,系统服务,系统,库,Arcam AV amplifier plugin for ALSA,"This plugin exposes the controls for an Arcam AV amplifier
(see: http://www.arcam.co.uk/) as an ALSA mixer device."
alsa-plugins-maemo,系统服务,系统,库,Maemo plugin for ALSA,"This plugin converts the ALSA API over PCM task nodes protocol. In this way,
ALSA native applications can run over DSP Gateway and use DSP PCM task nodes."
alsa-plugins-oss,系统服务,系统,工具,Oss PCM output plugin for ALSA,"This plugin converts the ALSA API over OSS API.  With this plugin,
ALSA native apps can run on OSS drivers.

This plugin provides the PCM type ""oss""."
alsa-plugins-samplerate,系统服务,系统,库,External rate converter plugin for ALSA,"This plugin is an external rate converter using libsamplerate by Erik de
Castro Lopo."
alsa-plugins-speex,系统服务,系统,库,Rate Converter Plugin Using Speex Resampler,"The rate plugin is an external rate converter using the Speex resampler
(aka Public Parrot Hack) by Jean-Marc Valin. The pcm plugin provides
pre-processing of a mono stream like denoise using libspeex DSP API."
alsa-plugins-upmix,系统服务,系统,工具,Upmixer channel expander plugin for ALSA,"The upmix plugin is an easy-to-use plugin for upmixing to 4 or
6-channel stream.  The number of channels to be expanded is determined
by the slave PCM or explicitly via channel option."
alsa-plugins-usbstream,系统服务,系统,库,USB stream plugin for ALSA,"The usbstream plugin is for snd-usb-us122l driver. It converts PCM
stream to USB specific stream."
alsa-plugins-vdownmix,系统服务,系统,工具,Downmixer to stereo plugin for ALSA,"The vdownmix plugin is a downmixer from 4-6 channels to 2-channel
stereo headphone output.  This plugin processes the input signals with
a simple spacialization, so the output sounds like a kind of ""virtual
surround""."
alsa-sof-firmware,系统服务,其它,其它,Firmware and topology files for Sound Open Firmware project,This package contains the firmware binaries for the Sound Open Firmware project.
alsa-tools-firmware,系统工具,系统,服务,ALSA tools for uploading firmware to some soundcards,"This package contains tools for flashing firmware into certain sound cards.
The following tools are available:

* hdsploader   - for RME Hammerfall DSP cards
* mixartloader - for Digigram miXart soundcards
* vxloader     - for Digigram VX soundcards
* usx2yloader  - second phase firmware loader for Tascam USX2Y USB soundcards"
alsa-utils-alsabat,系统工具,系统,库,Advanced Linux Sound Architecture (ALSA) - Basic Audio Tester,"This package contains tool for basic audio testing using Advanced Linux Sound
Architecture (ALSA) framework and Fast Fourier Transform library."
amanda,应用工具,系统,服务,A network-capable tape backup solution,"AMANDA, the Advanced Maryland Automatic Network Disk Archiver, is a
backup system that allows the administrator of a LAN to set up a
single master backup server to back up multiple hosts to one or more
tape drives or disk files.  AMANDA uses native dump and/or GNU tar
facilities and can back up a large number of workstations running
multiple versions of Unix.  Newer versions of AMANDA (including this
version) can use SAMBA to back up Microsoft(TM) Windows95/NT hosts.
The amanda package contains the core AMANDA programs and will need to
be installed on both AMANDA clients and AMANDA servers.  Note that you
will have to install the amanda-client and/or amanda-server packages as
well."
amanda-client,应用工具,系统,工具,The client component of the AMANDA tape backup system,"The Amanda-client package should be installed on any machine that will
be backed up by AMANDA (including the server if it also needs to be
backed up).  You will also need to install the amanda package on each
AMANDA client machine."
amanda-libs,应用库,系统,服务,Amanda libraries,"This package contains basic Amanda libraries, which are used by all
Amanda programs."
amanda-server,应用服务,系统,工具,The server side of the AMANDA tape backup system,"The amanda-server package should be installed on the AMANDA server,
the machine attached to the device(s) (such as a tape drive) where backups
will be written. You will also need to install the amanda package on
the AMANDA server machine.  And, if the server is also to be backed up, the
server also needs to have the amanda-client package installed."
anaconda,系统工具,应用,服务,Graphical system installer,The anaconda package is a metapackage for the Anaconda installer.
anaconda-gui,系统工具/桌面,应用,服务,Graphical user interface for the Anaconda installer,This package contains graphical user interface for the Anaconda installer.
anaconda-install-env-deps,系统工具,核心,服务,Installation environment specific dependencies,"The anaconda-install-env-deps metapackage lists all installation environment dependencies.
This makes it possible for packages (such as Initial Setup) to depend on the main Anaconda package without
pulling in all the install time dependencies as well."
anaconda-tui,系统工具,核心,工具,Textual user interface for the Anaconda installer,This package contains textual user interface for the Anaconda installer.
anaconda-widgets,系统工具/桌面,应用,库,A set of custom GTK+ widgets for use with anaconda,This package contains a set of custom GTK+ widgets used by the anaconda installer.
anaconda-user-help,系统工具,应用,服务,Content for the Anaconda built-in help system,This package provides content for the Anaconda built-in help system.
annobin-annocheck,应用工具,系统,工具,A tool for checking the security hardening status of binaries,"Installs the annocheck program which uses the notes generated by annobin to
check that the specified files were compiled with the correct security
hardening options."
anolis-backgrounds,基础环境,核心,工具,Anolis OS related desktop backgrounds,"Licensed only for approved usage, see COPYING for details."
anolis-logos,基础环境,核心,工具,Anolis OS related icons and pictures,"Licensed only for approved usage, see COPYING for details."
anolis-logos-httpd,基础环境,核心,其它,Anolis OS related icons and pictures used by httpd,"Licensed only for approved usage, see COPYING for details."
anolis-logos-ipa,基础环境,核心,其它,Anolis OS related icons and pictures used by ipa,"Licensed only for approved usage, see COPYING for details."
ansible-collection-microsoft-sql,应用工具,应用,服务,The Ansible collection for Microsoft SQL Server management,"This RPM installs the Ansible collection for Microsoft SQL Server management
microsoft.sql. This RPM also installs the roles provided by the collection in
the legacy roles format for users of Ansible < 2.9."
ansible-core,应用工具,系统,工具,"SSH-based configuration management, deployment, and task execution system","Ansible is a radically simple model-driven configuration management,
multi-node deployment, and remote task execution system. Ansible works
over SSH and does not require any software or daemons to be installed
on remote nodes. Extension modules can be written in any language and
are transferred to managed machines automatically."
ansible-freeipa,应用工具,系统,服务,"Roles and playbooks to deploy FreeIPA servers, replicas and clients","Ansible roles and playbooks to install and uninstall FreeIPA servers, replicas
and clients. Also modules management.

Note: The Ansible playbooks and roles require a configured Ansible environment
where the Ansible nodes are reachable and are properly set up to have an IP
address and a working package manager.

Features

- Server, replica and client deployment
- Cluster deployments: Server, replicas and clients in one playbook
- One-time-password (OTP) support for client installation
- Repair mode for clients
- Backup and restore, also to and from controller
- Modules for automembership rule management
- Modules for automount key management
- Modules for automount location management
- Modules for automount map management
- Modules for config management
- Modules for delegation management
- Modules for dns config management
- Modules for dns forwarder management
- Modules for dns record management
- Modules for dns zone management
- Modules for group management
- Modules for hbacrule management
- Modules for hbacsvc management
- Modules for hbacsvcgroup management
- Modules for host management
- Modules for hostgroup management
- Modules for location management
- Modules for permission management
- Modules for privilege management
- Modules for pwpolicy management
- Modules for role management
- Modules for self service management
- Modules for server management
- Modules for service management
- Modules for sudocmd management
- Modules for sudocmdgroup management
- Modules for sudorule management
- Modules for topology management
- Modules for trust management
- Modules for user management
- Modules for vault management

Supported FreeIPA Versions

FreeIPA versions 4.6 and up are supported by all roles.

The client role supports versions 4.4 and up, the server role is working with
versions 4.5 and up, the replica role is currently only working with versions
4.6 and up.

Supported Distributions

- RHEL/CentOS 7.4+
- Fedora 26+
- Ubuntu
- Debian 10+ (ipaclient only, no server or replica!)

Requirements

  Controller
  - Ansible version: 2.8+ (ansible-freeipa is an Ansible Collection)
  - /usr/bin/kinit is required on the controller if a one time password (OTP)
    is used

  Node
  - Supported FreeIPA version (see above)
  - Supported distribution (needed for package installation only, see above)

Limitations

External signed CA is now supported. But the currently needed two step process
is an issue for the processing in a simple playbook.
Work is planned to have a new method to handle CSR for external signed CAs in
a separate step before starting the server installation."
ansible-pcp,应用工具,其它,服务,Ansible Metric collection for Performance Co-Pilot,"A collection containing roles for Performance Co-Pilot (PCP) and related
software such as Redis and Grafana.  The collection is made up of several
Ansible roles, including:

redhat.rhel_metrics.pcp
A role for core PCP capabilities, configuring live performance analysis
with a large base set of metrics from the kernel and system services, as
well as data recording and rule inference.

redhat.rhel_metrics.redis
A role for configuring a local Redis server, suitable for use with a
Performance Co-Pilot archive repository (for single or many hosts) and
fast, scalable querying of metrics.

redhat.rhel_metrics.grafana
A role for configuring a local Grafana server, providing web frontend
visuals for Performance Co-Pilot metrics, both live and historically.
Data sources for Vector (live), Redis (historical) and interactive
bpftrace (eBPF) scripts can be configured by this role.  The PCP REST
API service (from the core pcp role) should be configured in order to
use this role.

redhat.rhel_metrics.bpftrace
A role that extends the core PCP role, providing metrics from bpftrace
scripts using Linux eBPF facilities.  Configuring authentication of a
local user capable of running bpftrace scripts via the PCP agent is a
key task of this role.

redhat.rhel_metrics.elasticsearch
A role that extends the core PCP role, providing metrics from a live
ElasticSearch instance for PCP analysis or exporting of PCP metric
values (and metadata) to ElasticSearch for the indexing and querying
of performance data."
ant,应用工具,应用,库,Java build tool,"Apache Ant is a Java library and command-line tool whose mission is to
drive processes described in build files as targets and extension
points dependent upon each other.  The main known usage of Ant is the
build of Java applications.  Ant supplies a number of built-in tasks
allowing to compile, assemble, test and run Java applications.  Ant
can also be used effectively to build non Java applications, for
instance C or C++ applications.  More generally, Ant can be used to
pilot any type of process which can be described in terms of targets
and tasks."
ant-antlr,应用库,应用,工具,Optional antlr tasks for ant,Optional antlr tasks for ant.
ant-apache-oro,应用库,应用,工具,Optional apache oro tasks for ant,Optional apache oro tasks for ant.
ant-contrib,应用库,应用,工具,Collection of tasks for Ant,"The Ant-Contrib project is a collection of tasks
(and at one point maybe types and other tools)
for Apache Ant."
antlr-C++,应用库,核心,工具,C++ bindings for antlr2 generated parsers,This package provides a static C++ library for parsers generated by ANTLR2.
antlr-manual,应用库,应用,服务,Manual for antlr,Documentation for antlr.
apache-commons-beanutils,应用库/编程语言,应用,工具,Java utility methods for accessing and modifying the properties of arbitrary JavaBeans,"The scope of this package is to create a package of Java utility methods
for accessing and modifying the properties of arbitrary JavaBeans.  No
dependencies outside of the JDK are required, so the use of this package
is very lightweight."
apache-commons-parent,应用库/编程语言,应用,工具,Apache Commons Parent Pom,The Project Object Model files for the apache-commons packages.
apache-parent,应用库/编程语言,应用,工具,Parent POM file for Apache projects,This package contains the parent pom file for apache projects.
appstream-data,应用库,应用,服务,Cached AppStream metadata,"This package provides the distribution specific AppStream metadata required
for the GNOME and KDE software centers."
apr-util,应用工具,系统,工具,Apache Portable Runtime Utility library,"The mission of the Apache Portable Runtime (APR) is to provide a
free library of C data structures and routines.  This library
contains additional utility interfaces for APR; including support
for XML, LDAP, database interfaces, URI parsing and more."
apr-util-ldap,应用工具,系统,工具,APR utility library LDAP support,This package provides the LDAP support for the apr-util.
apr-util-mysql,应用工具,系统,工具,APR utility library MySQL DBD driver,"This package provides the MySQL driver for the apr-util DBD
(database abstraction) interface."
apr-util-odbc,应用工具,系统,工具,APR utility library ODBC DBD driver,"This package provides the ODBC driver for the apr-util DBD
(database abstraction) interface."
apr-util-openssl,应用工具,系统,工具,APR utility library OpenSSL crypto support,This package provides the OpenSSL crypto support for the apr-util.
apr-util-pgsql,应用工具,系统,工具,APR utility library PostgreSQL DBD driver,"This package provides the PostgreSQL driver for the apr-util
DBD (database abstraction) interface."
apr-util-sqlite,应用工具,系统,工具,APR utility library SQLite DBD driver,"This package provides the SQLite driver for the apr-util DBD
(database abstraction) interface."
bnd-maven-plugin,应用库,应用,工具,BND Maven plugin,BND Maven plugin.
arpwatch,应用工具,系统,服务,Network monitoring tools for tracking IP addresses on a network,"The arpwatch package contains arpwatch and arpsnmp.  Arpwatch and
arpsnmp are both network monitoring tools.  Both utilities monitor
Ethernet or FDDI network traffic and build databases of Ethernet/IP
address pairs, and can report certain changes via email.

Install the arpwatch package if you need networking monitoring devices
which will automatically keep track of the IP addresses on your
network."
aspell,应用工具,系统,工具,Spell checker,"GNU Aspell is a spell checker designed to eventually replace Ispell. It can
either be used as a library or as an independent spell checker. Its main
feature is that it does a much better job of coming up with possible
suggestions than just about any other spell checker out there for the
English language, including Ispell and Microsoft Word. It also has many
other technical enhancements over Ispell such as using shared memory for
dictionaries and intelligently handling personal dictionaries when more
than one Aspell process is open at once."
at,系统工具,核心,工具,Job spooling tools,"At and batch read commands from standard input or from a specified
file. At allows you to specify that a command will be run at a
particular time. Batch will execute commands when the system load
levels drop to a particular level. Both commands use user's shell.

You should install the at package if you need a utility for
time-oriented job control. Note: If it is a recurring job that will
need to be repeated at the same time every day/week, etc. you should
use crontab instead."
at-spi2-atk,应用工具,应用,库,A GTK+ module that bridges ATK to D-Bus at-spi,"at-spi allows assistive technologies to access GTK-based
applications. Essentially it exposes the internals of applications for
automation, so tools such as screen readers, magnifiers, or even
scripting interfaces can query and interact with GUI controls.

This version of at-spi is a major break from previous versions.
It has been completely rewritten to use D-Bus rather than
ORBIT / CORBA for its transport protocol.

This package includes a gtk-module that bridges ATK to the new
D-Bus based at-spi."
attr,核心工具,核心,库,Utilities for managing filesystem extended attributes,"A set of tools for manipulating extended attributes on filesystem
objects, in particular getfattr(1) and setfattr(1).
An attr(1) command is also provided which is largely compatible
with the SGI IRIX tool of the same name."
audispd-plugins,核心工具,应用,服务,Plugins for the audit event dispatcher,"The audispd-plugins package provides plugins for the real-time
interface to the audit system, audispd. These plugins can do things
like relay events to remote machines."
audispd-plugins-zos,核心工具,核心,服务,z/OS plugin for the audit event dispatcher,"The audispd-plugins-zos package provides a plugin that will forward all
incoming audit events, as they happen, to a configured z/OS SMF (Service
Management Facility) database, through an IBM Tivoli Directory Server
(ITDS) set for Remote Audit service."
audit,核心工具,核心,服务,User space tools for kernel auditing,"The audit package contains the user space utilities for
storing and searching the audit records generated by
the audit subsystem in the Linux 2.6 and later kernels."
python3-audit,系统库,核心,库,Python3 bindings for libaudit,"The python3-audit package contains the bindings so that libaudit
and libauparse can be used by python3."
augeas,应用库,系统,工具,A library for changing configuration files,"A library for programmatically editing configuration files. Augeas parses
configuration files into a tree structure, which it exposes through its
public API. Changes made through the API are written back to the initially
read files.

The transformation works very hard to preserve comments and formatting
details. It is controlled by ``lens'' definitions that describe the file
format and the transformation into a tree."
augeas-libs,应用库,核心,库,Libraries for augeas,"The libraries for augeas.

Augeas is a library for programmatically editing configuration files. It parses
configuration files into a tree structure, which it exposes through its
public API. Changes made through the API are written back to the initially
read files."
authselect,系统工具,核心,工具,Configures authentication and identity sources from supported profiles,"Authselect is designed to be a replacement for authconfig but it takes
a different approach to configure the system. Instead of letting
the administrator build the PAM stack with a tool (which may potentially
end up with a broken configuration), it would ship several tested stacks
(profiles) that solve a use-case and are well tested and supported.
At the same time, some obsolete features of authconfig are not
supported by authselect."
authselect-libs,系统库,核心,工具,Utility library used by the authselect tool,"Common library files for authselect. This package is used by the authselect
command line tool and any other potential front-ends."
autoconf,应用工具,系统,工具,A GNU tool for automatically configuring source code,"GNU's Autoconf is a tool for configuring source code and Makefiles.
Using Autoconf, programmers can create portable and configurable
packages, since the person building the package is allowed to
specify various configuration options.

You should install Autoconf if you are developing software and
would like to create shell scripts that configure your source code
packages. If you are installing Autoconf, you will also need to
install the GNU m4 package.

Note that the Autoconf package is not required for the end-user who
may be configuring software with an Autoconf-generated script;
Autoconf is only required for the generation of the scripts, not
their use."
autoconf213,应用工具,核心,工具,A GNU tool for automatically configuring source code,"GNU's Autoconf is a tool for configuring source code and Makefiles.
Using Autoconf, programmers can create portable and configurable
packages, since the person building the package is allowed to specify
various configuration options.

You should install Autoconf if you are developing software and you
would like to use it to create shell scripts that will configure your
source code packages. If you are installing Autoconf, you will also
need to install the GNU m4 package.

Note that the Autoconf package is not required for the end-user who
may be configuring software with an Autoconf-generated script;
Autoconf is only required for the generation of the scripts, not their
use."
autoconf-archive,应用工具,系统,工具,The Autoconf Macro Archive,"The GNU Autoconf Archive is a collection of more than 450 macros for
GNU Autoconf that have been contributed as free software by friendly
supporters of the cause from all over the Internet."
autogen,应用工具,系统,工具,Automated text file generator,"AutoGen is a tool designed to simplify the creation and maintenance of
programs that contain large amounts of repetitious text. It is especially
valuable in programs that have several blocks of text that must be kept
synchronised."
autogen-libopts,应用库,系统,库,Automated option processing library based on autogen,"Libopts is very powerful command line option parser consisting of a set of
AutoGen templates and a run time library that nearly eliminates the hassle of
parsing and documenting command line options."
automake,应用工具,系统,工具,A GNU tool for automatically creating Makefiles,"Automake is a tool for automatically generating `Makefile.in'
files compliant with the GNU Coding Standards.

You should install Automake if you are developing software and would
like to use its ability to automatically generate GNU standard
Makefiles."
autotrace,应用工具,应用,库,Utility for converting bitmaps to vector graphics,"AutoTrace is a program for converting bitmaps to vector graphics.

Supported input formats include BMP, TGA, PNM, PPM, PNG, whereas output
can be produced in Postscript, SVG, xfig, SWF, and others."
avahi,应用服务,系统,服务,Local network service discovery,"Avahi is a system which facilitates service discovery on
a local network -- this means that you can plug your laptop or
computer into a network and instantly be able to view other people who
you can chat with, find printers to print to or find files being
shared. This kind of technology is already found in MacOS X (branded
'Rendezvous', 'Bonjour' and sometimes 'ZeroConf') and is very
convenient."
avahi-autoipd,应用服务,系统,服务,Link-local IPv4 address automatic configuration daemon (IPv4LL),"avahi-autoipd implements IPv4LL, ""Dynamic Configuration of IPv4
Link-Local Addresses""  (IETF RFC3927), a protocol for automatic IP address
configuration from the link-local 169.254.0.0/16 range without the need for a
central server. It is primarily intended to be used in ad-hoc networks which
lack a DHCP server."
python3-avahi,应用库,系统,服务,Python3 Avahi bindings,Python3 Avahi bindings.
awscli,应用工具,系统,库,Universal Command Line Environment for AWS,"This package provides a unified
command line interface to Amazon Web Services."
babassl,系统库,应用,库,A Brisk and Better Assured Cryptographic Toolkit,"BabaSSL is a modern cryptographic and secure protocol library developed by the
 amazing people in Alibaba Digital Economy."
babel,应用工具,系统,工具,Tools for internationalizing Python applications,"Babel is composed of two major parts:

* tools to build and work with gettext message catalogs

* a Python interface to the CLDR (Common Locale Data Repository),
  providing access to various locale display names, localized number
  and date formatting, etc."
python2-babel,应用库,系统,库,Library for internationalizing Python applications,"Babel is composed of two major parts:

* tools to build and work with gettext message catalogs

* a Python interface to the CLDR (Common Locale Data Repository),
  providing access to various locale display names, localized number
  and date formatting, etc."
python3-babel,应用库,系统,库,Library for internationalizing Python applications,"Babel is composed of two major parts:

* tools to build and work with gettext message catalogs

* a Python interface to the CLDR (Common Locale Data Repository),
  providing access to various locale display names, localized number
  and date formatting, etc."
python38-babel,应用库,系统,库,Library for internationalizing Python applications,"Babel is composed of two major parts:

* tools to build and work with gettext message catalogs

* a Python interface to the CLDR (Common Locale Data Repository),
  providing access to various locale display names, localized number
  and date formatting, etc."
libbabeltrace,系统库,核心,库,Common Trace Format Babel Tower,"This project provides trace read and write libraries, as well as a trace
converter. A plugin can be created for any trace format to allow its conversion
to/from another trace format."
babl-devel-docs,应用库,应用,其它,Documentation for developing programs that will use babl,This package contains documentation needed for developing with babl.
bacula-client,应用工具,系统,工具,Bacula backup client,"Bacula is a set of programs that allow you to manage the backup, recovery, and
verification of computer data across a network of different computers. It is
based on a client/server architecture.

This package contains the bacula client, the daemon running on the system to be
backed up."
bacula-common,应用工具,核心,工具,Common Bacula files,"Bacula is a set of programs that allow you to manage the backup, recovery, and
verification of computer data across a network of different computers. It is
based on a client/server architecture.

This package contains files common to all Bacula daemons."
bacula-director,应用工具,系统,库,Bacula Director files,"Bacula is a set of programs that allow you to manage the backup, recovery, and
verification of computer data across a network of different computers. It is
based on a client/server architecture.

This package contains the director files."
bacula-libs-sql,应用库,系统,工具,Bacula SQL libraries,"Bacula is a set of programs that allow you to manage the backup, recovery, and
verification of computer data across a network of different computers. It is
based on a client/server architecture.

This package contains the SQL Bacula libraries, which are used by Director and
Storage daemons. You have to select your preferred catalog library through the
alternatives system."
bacula-logwatch,应用工具,系统,库,Bacula Director logwatch scripts,"Bacula is a set of programs that allow you to manage the backup, recovery, and
verification of computer data across a network of different computers. It is
based on a client/server architecture.

This package contains logwatch scripts for Bacula Director."
bacula-storage,应用工具,系统,库,Bacula storage daemon files,"Bacula is a set of programs that allow you to manage the backup, recovery, and
verification of computer data across a network of different computers. It is
based on a client/server architecture.

This package contains the storage daemon, the daemon responsible for writing
the data received from the clients onto tape drives or other mass storage
devices."
basesystem,基础环境,应用,库,The skeleton package which defines a simple  system,"Basesystem defines the components of a basic  system
(for example, the package installation order to use during bootstrapping).
Basesystem should be in every installation of a system, and it
should never be removed."
bash,核心工具,系统,工具,The GNU Bourne Again shell,"The GNU Bourne Again shell (Bash) is a shell or command language
interpreter that is compatible with the Bourne shell (sh). Bash
incorporates useful features from the Korn shell (ksh) and the C shell
(csh). Most sh scripts can be run by bash without modification."
bash-completion,核心工具,应用,工具,Programmable completion for Bash,"bash-completion is a collection of shell functions that take advantage
of the programmable completion feature of bash."
batik-util,应用库,应用,工具,Batik utility library,Util component of the Apache Batik SVG manipulation and rendering library.
bcc,应用工具,系统,工具,BPF Compiler Collection (BCC),"BCC is a toolkit for creating efficient kernel tracing and manipulation
programs, and includes several useful tools and examples. It makes use of
extended BPF (Berkeley Packet Filters), formally known as eBPF, a new feature
that was first added to Linux 3.15. BCC makes BPF programs easier to write,
with kernel instrumentation in C (and includes a C wrapper around LLVM), and
front-ends in Python and lua. It is suited for many tasks, including
performance analysis and network traffic control."
bcc-tools,应用工具,系统,工具,Command line tools for BPF Compiler Collection (BCC),Command line tools for BPF Compiler Collection (BCC)
python3-bcc,应用库,应用,工具,Python3 bindings for BPF Compiler Collection (BCC),Python3 bindings for BPF Compiler Collection (BCC)
bind,系统服务,核心,服务,The Berkeley Internet Name Domain (BIND) DNS (Domain Name System) server,"BIND (Berkeley Internet Name Domain) is an implementation of the DNS
(Domain Name System) protocols. BIND includes a DNS server (named),
which resolves host names to IP addresses; a resolver library
(routines for applications to use when interfacing with DNS); and
tools for verifying that the DNS server is operating properly."
bind-chroot,系统服务,核心,工具,"A chroot runtime environment for the ISC BIND DNS server, named(8)","This package contains a tree of files which can be used as a
chroot(2) jail for the named(8) program from the BIND package.
Based on the code from Jan ""Yenya"" Kasprzak <kas@fi.muni.cz>"
bind-export-libs,系统库,系统,服务,ISC libs for DHCP application,"BIND (Berkeley Internet Name Domain) is an implementation of the DNS
(Domain Name System) protocols. This package set contains only export
version of BIND libraries, that are used for building ISC DHCP."
bind-libs,系统库,系统,工具,Libraries used by the BIND DNS packages,"Contains heavyweight version of BIND suite libraries used by both named DNS
server and utilities in bind-utils package."
