name,label,text,summary,description
abrt-cli,应用, Virtual package to make easy default installation on non-graphical environments  Virtual package to install all necessary packages for usage from command line environment., Virtual package to make easy default installation on non-graphical environments," Virtual package to install all necessary packages for usage from command line
environment."
abrt-cli-ng,应用, abrt's improved command line interface  New generation command line interface for ABRT, abrt's improved command line interface, New generation command line interface for ABRT
abrt-console-notification,应用, ABRT console notification script  A small script which prints a count of detected problems when someone logs in to the shell, ABRT console notification script," A small script which prints a count of detected problems when someone logs in
to the shell"
abrt-dbus,应用, ABRT DBus service  ABRT DBus service which provides org.freedesktop.problems API on dbus and uses PolicyKit to authorize to access the problem data., ABRT DBus service," ABRT DBus service which provides org.freedesktop.problems API on dbus and
uses PolicyKit to authorize to access the problem data."
abrt-desktop,应用, Virtual package to make easy default installation on desktop environments  Virtual package to install all necessary packages for usage from desktop environment., Virtual package to make easy default installation on desktop environments," Virtual package to install all necessary packages for usage from desktop
environment."
abrt-gui,应用, abrt's gui  GTK+ wizard for convenient bug reporting., abrt's gui, GTK+ wizard for convenient bug reporting.
abrt-gui-libs,应用, Libraries for abrt-gui  Libraries for abrt-gui., Libraries for abrt-gui, Libraries for abrt-gui.
abrt-libs,应用, Libraries for abrt  Libraries for abrt., Libraries for abrt, Libraries for abrt.
abrt-plugin-machine-id,应用, abrt's plugin to generate machine_id based off dmidecode  This package contains a configuration snippet to enable automatic generation of machine_id for abrt events., abrt's plugin to generate machine_id based off dmidecode," This package contains a configuration snippet to enable automatic generation
of machine_id for abrt events."
abrt-plugin-sosreport,应用, abrt's plugin for building automatic sosreports  This package contains a configuration snippet to enable automatic generation of sosreports for abrt events., abrt's plugin for building automatic sosreports," This package contains a configuration snippet to enable automatic generation
of sosreports for abrt events."
abrt-tui,应用, abrt's command line interface  This package contains a simple command line client for processing abrt reports in command line environment., abrt's command line interface," This package contains a simple command line client for processing abrt reports
in command line environment."
python3-abrt,应用," ABRT Python 3 API  High-level API for querying, creating and manipulating problems handled by ABRT in Python 3.", ABRT Python 3 API," High-level API for querying, creating and manipulating
problems handled by ABRT in Python 3."
python3-abrt-addon,应用, abrt's addon for catching and analyzing Python 3 exceptions  This package contains python 3 hook and python analyzer plugin for handling uncaught exception in python 3 programs., abrt's addon for catching and analyzing Python 3 exceptions," This package contains python 3 hook and python analyzer plugin for handling
uncaught exception in python 3 programs."
python3-abrt-container-addon,应用, abrt's container addon for catching Python 3 exceptions  This package contains python 3 hook and handling uncaught exception in python 3 programs in container., abrt's container addon for catching Python 3 exceptions," This package contains python 3 hook and handling uncaught exception in python 3
programs in container."
abrt-java-connector,应用, JNI Agent library converting Java exceptions to ABRT problems  JNI library providing an agent capable to process both caught and uncaught exceptions and transform them to ABRT problems, JNI Agent library converting Java exceptions to ABRT problems," JNI library providing an agent capable to process both caught and uncaught
exceptions and transform them to ABRT problems"
accel-config,应用, Configure accelerator subsystem devices  Utility library for configuring the accelerator subsystem., Configure accelerator subsystem devices, Utility library for configuring the accelerator subsystem.
accel-config-libs,应用, Configuration library for accelerator subsystem devices  Libraries for accel-config., Configuration library for accelerator subsystem devices, Libraries for accel-config.
accountsservice,应用," D-Bus interfaces for querying and manipulating user account information  The accountsservice project provides a set of D-Bus interfaces for querying and manipulating user account information and an implementation of these interfaces, based on the useradd, usermod and userdel commands.", D-Bus interfaces for querying and manipulating user account information," The accountsservice project provides a set of D-Bus interfaces for
querying and manipulating user account information and an implementation
of these interfaces, based on the useradd, usermod and userdel commands."
accountsservice-libs,应用, Client-side library to talk to accountsservice  The accountsservice-libs package contains a library that can be used by applications that want to interact with the accountsservice daemon., Client-side library to talk to accountsservice," The accountsservice-libs package contains a library that can
be used by applications that want to interact with the accountsservice
daemon."
acl,核心, Access control list utilities  This package contains the getfacl and setfacl utilities needed for manipulating access control lists., Access control list utilities," This package contains the getfacl and setfacl utilities needed for
manipulating access control lists."
libacl,核心, Dynamic library for access control list support  This package contains the libacl.so dynamic library which contains the POSIX 1003.1e draft standard 17 functions for manipulating access control lists., Dynamic library for access control list support," This package contains the libacl.so dynamic library which contains
the POSIX 1003.1e draft standard 17 functions for manipulating access
control lists."
acpica-tools,系统,"ACPICA tools for the development and debug of ACPI tables  The ACPI Component Architecture (ACPICA) project provides an OS-independent reference implementation of the Advanced Configuration and Power Interface Specification (ACPI).  ACPICA code contains those portions of ACPI meant to be directly integrated into the host OS as a kernel-resident subsystem, and a small set of tools to assist in developing and debugging ACPI tables.  This package contains only the user-space tools needed for ACPI table development, not the kernel implementation of ACPI.  The following commands are installed:    -- iasl: compiles ASL (ACPI Source Language) into AML (ACPI Machine       Language), suitable for inclusion as a DSDT in system firmware.       It also can disassemble AML, for debugging purposes.    -- acpibin: performs basic operations on binary AML files (e.g.,       comparison, data extraction)    -- acpidump: write out the current contents of ACPI tables    -- acpiexec: simulate AML execution in order to debug method definitions    -- acpihelp: display help messages describing ASL keywords and op-codes    -- acpinames: display complete ACPI name space from input AML    -- acpisrc: manipulate the ACPICA source tree and format source files       for specific environments    -- acpixtract: extract binary ACPI tables from acpidump output (see       also the pmtools package)  This version of the tools is being released under GPLv2 license. ",ACPICA tools for the development and debug of ACPI tables ,"The ACPI Component Architecture (ACPICA) project provides an OS-independent
reference implementation of the Advanced Configuration and Power Interface
Specification (ACPI).  ACPICA code contains those portions of ACPI meant to
be directly integrated into the host OS as a kernel-resident subsystem, and
a small set of tools to assist in developing and debugging ACPI tables.

This package contains only the user-space tools needed for ACPI table
development, not the kernel implementation of ACPI.  The following commands
are installed:
   -- iasl: compiles ASL (ACPI Source Language) into AML (ACPI Machine
      Language), suitable for inclusion as a DSDT in system firmware.
      It also can disassemble AML, for debugging purposes.
   -- acpibin: performs basic operations on binary AML files (e.g.,
      comparison, data extraction)
   -- acpidump: write out the current contents of ACPI tables
   -- acpiexec: simulate AML execution in order to debug method definitions
   -- acpihelp: display help messages describing ASL keywords and op-codes
   -- acpinames: display complete ACPI name space from input AML
   -- acpisrc: manipulate the ACPICA source tree and format source files
      for specific environments
   -- acpixtract: extract binary ACPI tables from acpidump output (see
      also the pmtools package)

This version of the tools is being released under GPLv2 license. "
acpid,系统, ACPI Event Daemon  acpid is a daemon that dispatches ACPI events to user-space programs., ACPI Event Daemon, acpid is a daemon that dispatches ACPI events to user-space programs.
adcli,应用,Active Directory enrollment  adcli is a tool for joining an Active Directory domain using standard LDAP and Kerberos calls. ,Active Directory enrollment ,"adcli is a tool for joining an Active Directory domain using
standard LDAP and Kerberos calls. "
adobe-mappings-cmap,应用," CMap resources for Adobe's character collections  CMap (Character Map) resources are used to unidirectionally map character codes, such as Unicode encoding form, to CIDs (Character IDs -- meaning glyphs) of a CIDFont resource.  These CMap resources are useful for some applications (e.g. Ghostscript) to correctly display text containing Japanese, (Traditional) Chinese, or Korean characters.", CMap resources for Adobe's character collections," CMap (Character Map) resources are used to unidirectionally map character codes,
such as Unicode encoding form, to CIDs (Character IDs -- meaning glyphs) of a
CIDFont resource.

These CMap resources are useful for some applications (e.g. Ghostscript) to
correctly display text containing Japanese, (Traditional) Chinese, or Korean
characters."
adobe-mappings-cmap-deprecated,应用, Deprecated CMap resources for Adobe's character collections  This sub-package contains currently deprecated CMap resources that some applications might still require to function properly., Deprecated CMap resources for Adobe's character collections," This sub-package contains currently deprecated CMap resources that some
applications might still require to function properly."
adobe-mappings-pdf,应用," PDF mapping resources from Adobe  Mapping resources for PDF have a variety of functions, such as mapping CIDs (Character IDs) to character codes, or mapping character codes to other character codes.  These mapping resources for PDF should not be confused with CMap resources. While both types of resources share the same file structure and syntax, they have very different functions.  These PDF mapping resources are useful for some applications (e.g. Ghostscript) to function properly.", PDF mapping resources from Adobe," Mapping resources for PDF have a variety of functions, such as mapping CIDs
(Character IDs) to character codes, or mapping character codes to other
character codes.

These mapping resources for PDF should not be confused with CMap resources.
While both types of resources share the same file structure and syntax, they
have very different functions.

These PDF mapping resources are useful for some applications (e.g. Ghostscript)
to function properly."
adwaita-cursor-theme,应用, Adwaita cursor theme  The adwaita-cursor-theme package contains a modern set of cursors originally designed for the GNOME desktop., Adwaita cursor theme," The adwaita-cursor-theme package contains a modern set of cursors originally
designed for the GNOME desktop."
adwaita-icon-theme,应用, Adwaita icon theme  This package contains the Adwaita icon theme used by the GNOME desktop., Adwaita icon theme, This package contains the Adwaita icon theme used by the GNOME desktop.
adwaita-qt5,应用, Adwaita Qt5 theme  Adwaita theme variant for applications utilizing Qt5., Adwaita Qt5 theme, Adwaita theme variant for applications utilizing Qt5.
libadwaita-qt5,应用, Adwaita Qt5 library  Adwaita Qt5 library., Adwaita Qt5 library, Adwaita Qt5 library.
aide,应用, Intrusion detection environment  AIDE (Advanced Intrusion Detection Environment) is a file integrity checker and intrusion detection program., Intrusion detection environment," AIDE (Advanced Intrusion Detection Environment) is a file integrity
checker and intrusion detection program."
alsa-firmware,系统, Firmware for several ALSA-supported sound cards  This package contains the firmware binaries for a number of sound cards. Some (but not all of these) require firmware loaders which are included in the alsa-tools-firmware package., Firmware for several ALSA-supported sound cards," This package contains the firmware binaries for a number of sound cards.
Some (but not all of these) require firmware loaders which are included in
the alsa-tools-firmware package."
alsa-lib,系统," The Advanced Linux Sound Architecture (ALSA) library  The Advanced Linux Sound Architecture (ALSA) provides audio and MIDI functionality to the Linux operating system.  This package includes the ALSA runtime libraries to simplify application programming and provide higher level functionality as well as support for the older OSS API, providing binary compatibility for most OSS programs.", The Advanced Linux Sound Architecture (ALSA) library," The Advanced Linux Sound Architecture (ALSA) provides audio and MIDI
functionality to the Linux operating system.

This package includes the ALSA runtime libraries to simplify application
programming and provide higher level functionality as well as support for
the older OSS API, providing binary compatibility for most OSS programs."
alsa-plugins-arcamav,系统, Arcam AV amplifier plugin for ALSA  This plugin exposes the controls for an Arcam AV amplifier (see: http://www.arcam.co.uk/) as an ALSA mixer device., Arcam AV amplifier plugin for ALSA," This plugin exposes the controls for an Arcam AV amplifier
(see: http://www.arcam.co.uk/) as an ALSA mixer device."
alsa-plugins-maemo,系统," Maemo plugin for ALSA  This plugin converts the ALSA API over PCM task nodes protocol. In this way, ALSA native applications can run over DSP Gateway and use DSP PCM task nodes.", Maemo plugin for ALSA," This plugin converts the ALSA API over PCM task nodes protocol. In this way,
ALSA native applications can run over DSP Gateway and use DSP PCM task nodes."
alsa-plugins-oss,系统," Oss PCM output plugin for ALSA  This plugin converts the ALSA API over OSS API.  With this plugin, ALSA native apps can run on OSS drivers.  This plugin provides the PCM type ""oss"".", Oss PCM output plugin for ALSA," This plugin converts the ALSA API over OSS API.  With this plugin,
ALSA native apps can run on OSS drivers.

This plugin provides the PCM type ""oss""."
alsa-plugins-pulseaudio,系统," Alsa to PulseAudio backend  This plugin allows any program that uses the ALSA API to access a PulseAudio sound daemon. In other words, native ALSA applications can play and record sound across a network. There are two plugins in the suite, one for PCM and one for mixer control.", Alsa to PulseAudio backend," This plugin allows any program that uses the ALSA API to access a PulseAudio
sound daemon. In other words, native ALSA applications can play and record
sound across a network. There are two plugins in the suite, one for PCM and
one for mixer control."
alsa-plugins-samplerate,系统, External rate converter plugin for ALSA  This plugin is an external rate converter using libsamplerate by Erik de Castro Lopo., External rate converter plugin for ALSA," This plugin is an external rate converter using libsamplerate by Erik de
Castro Lopo."
alsa-plugins-speex,系统, Rate Converter Plugin Using Speex Resampler  The rate plugin is an external rate converter using the Speex resampler (aka Public Parrot Hack) by Jean-Marc Valin. The pcm plugin provides pre-processing of a mono stream like denoise using libspeex DSP API., Rate Converter Plugin Using Speex Resampler," The rate plugin is an external rate converter using the Speex resampler
(aka Public Parrot Hack) by Jean-Marc Valin. The pcm plugin provides
pre-processing of a mono stream like denoise using libspeex DSP API."
alsa-plugins-upmix,系统, Upmixer channel expander plugin for ALSA  The upmix plugin is an easy-to-use plugin for upmixing to 4 or 6-channel stream.  The number of channels to be expanded is determined by the slave PCM or explicitly via channel option., Upmixer channel expander plugin for ALSA," The upmix plugin is an easy-to-use plugin for upmixing to 4 or
6-channel stream.  The number of channels to be expanded is determined
by the slave PCM or explicitly via channel option."
alsa-plugins-usbstream,系统, USB stream plugin for ALSA  The usbstream plugin is for snd-usb-us122l driver. It converts PCM stream to USB specific stream., USB stream plugin for ALSA," The usbstream plugin is for snd-usb-us122l driver. It converts PCM
stream to USB specific stream."
alsa-plugins-vdownmix,系统," Downmixer to stereo plugin for ALSA  The vdownmix plugin is a downmixer from 4-6 channels to 2-channel stereo headphone output.  This plugin processes the input signals with a simple spacialization, so the output sounds like a kind of ""virtual surround"".", Downmixer to stereo plugin for ALSA," The vdownmix plugin is a downmixer from 4-6 channels to 2-channel
stereo headphone output.  This plugin processes the input signals with
a simple spacialization, so the output sounds like a kind of ""virtual
surround""."
alsa-tools-firmware,系统, ALSA tools for uploading firmware to some soundcards  This package contains tools for flashing firmware into certain sound cards. The following tools are available:  * hdsploader   - for RME Hammerfall DSP cards * mixartloader - for Digigram miXart soundcards * vxloader     - for Digigram VX soundcards * usx2yloader  - second phase firmware loader for Tascam USX2Y USB soundcards, ALSA tools for uploading firmware to some soundcards," This package contains tools for flashing firmware into certain sound cards.
The following tools are available:

* hdsploader   - for RME Hammerfall DSP cards
* mixartloader - for Digigram miXart soundcards
* vxloader     - for Digigram VX soundcards
* usx2yloader  - second phase firmware loader for Tascam USX2Y USB soundcards"
alsa-utils,系统, Advanced Linux Sound Architecture (ALSA) utilities  This package contains command line utilities for the Advanced Linux Sound Architecture (ALSA)., Advanced Linux Sound Architecture (ALSA) utilities," This package contains command line utilities for the Advanced Linux Sound
Architecture (ALSA)."
alsa-utils-alsabat,系统, Advanced Linux Sound Architecture (ALSA) - Basic Audio Tester  This package contains tool for basic audio testing using Advanced Linux Sound Architecture (ALSA) framework and Fast Fourier Transform library., Advanced Linux Sound Architecture (ALSA) - Basic Audio Tester," This package contains tool for basic audio testing using Advanced Linux Sound
Architecture (ALSA) framework and Fast Fourier Transform library."
amanda,应用," A network-capable tape backup solution  AMANDA, the Advanced Maryland Automatic Network Disk Archiver, is a backup system that allows the administrator of a LAN to set up a single master backup server to back up multiple hosts to one or more tape drives or disk files.  AMANDA uses native dump and/or GNU tar facilities and can back up a large number of workstations running multiple versions of Unix.  Newer versions of AMANDA (including this version) can use SAMBA to back up Microsoft(TM) Windows95/NT hosts. The amanda package contains the core AMANDA programs and will need to be installed on both AMANDA clients and AMANDA servers.  Note that you will have to install the amanda-client and/or amanda-server packages as well.", A network-capable tape backup solution," AMANDA, the Advanced Maryland Automatic Network Disk Archiver, is a
backup system that allows the administrator of a LAN to set up a
single master backup server to back up multiple hosts to one or more
tape drives or disk files.  AMANDA uses native dump and/or GNU tar
facilities and can back up a large number of workstations running
multiple versions of Unix.  Newer versions of AMANDA (including this
version) can use SAMBA to back up Microsoft(TM) Windows95/NT hosts.
The amanda package contains the core AMANDA programs and will need to
be installed on both AMANDA clients and AMANDA servers.  Note that you
will have to install the amanda-client and/or amanda-server packages as
well."
amanda-client,应用, The client component of the AMANDA tape backup system  The Amanda-client package should be installed on any machine that will be backed up by AMANDA (including the server if it also needs to be backed up).  You will also need to install the amanda package on each AMANDA client machine., The client component of the AMANDA tape backup system," The Amanda-client package should be installed on any machine that will
be backed up by AMANDA (including the server if it also needs to be
backed up).  You will also need to install the amanda package on each
AMANDA client machine."
amanda-libs,应用," Amanda libraries  This package contains basic Amanda libraries, which are used by all Amanda programs.", Amanda libraries," This package contains basic Amanda libraries, which are used by all
Amanda programs."
amanda-server,应用," The server side of the AMANDA tape backup system  The amanda-server package should be installed on the AMANDA server, the machine attached to the device(s) (such as a tape drive) where backups will be written. You will also need to install the amanda package on the AMANDA server machine.  And, if the server is also to be backed up, the server also needs to have the amanda-client package installed.", The server side of the AMANDA tape backup system," The amanda-server package should be installed on the AMANDA server,
the machine attached to the device(s) (such as a tape drive) where backups
will be written. You will also need to install the amanda package on
the AMANDA server machine.  And, if the server is also to be backed up, the
server also needs to have the amanda-client package installed."
anaconda,系统, Graphical system installer  The anaconda package is a metapackage for the Anaconda installer., Graphical system installer, The anaconda package is a metapackage for the Anaconda installer.
anaconda-core,系统, Core of the Anaconda installer  The anaconda-core package contains the program which was used to install your system., Core of the Anaconda installer," The anaconda-core package contains the program which was used to install your
system."
anaconda-dracut,系统," The anaconda dracut module  The 'anaconda' dracut module handles installer-specific boot tasks and options. This includes driver disks, kickstarts, and finding the anaconda runtime on NFS/HTTP/FTP servers or local disks.", The anaconda dracut module," The 'anaconda' dracut module handles installer-specific boot tasks and
options. This includes driver disks, kickstarts, and finding the anaconda
runtime on NFS/HTTP/FTP servers or local disks."
anaconda-gui,系统, Graphical user interface for the Anaconda installer  This package contains graphical user interface for the Anaconda installer., Graphical user interface for the Anaconda installer, This package contains graphical user interface for the Anaconda installer.
anaconda-install-env-deps,系统, Installation environment specific dependencies  The anaconda-install-env-deps metapackage lists all installation environment dependencies. This makes it possible for packages (such as Initial Setup) to depend on the main Anaconda package without pulling in all the install time dependencies as well., Installation environment specific dependencies," The anaconda-install-env-deps metapackage lists all installation environment dependencies.
This makes it possible for packages (such as Initial Setup) to depend on the main Anaconda package without
pulling in all the install time dependencies as well."
anaconda-tui,系统, Textual user interface for the Anaconda installer  This package contains textual user interface for the Anaconda installer., Textual user interface for the Anaconda installer, This package contains textual user interface for the Anaconda installer.
anaconda-widgets,系统, A set of custom GTK+ widgets for use with anaconda  This package contains a set of custom GTK+ widgets used by the anaconda installer., A set of custom GTK+ widgets for use with anaconda, This package contains a set of custom GTK+ widgets used by the anaconda installer.
anaconda-user-help,系统, Content for the Anaconda built-in help system  This package provides content for the Anaconda built-in help system., Content for the Anaconda built-in help system, This package provides content for the Anaconda built-in help system.
annobin,应用, Annotate and examine compiled binary files  Provides a plugin for GCC that records extra information in the files that it compiles.  Note - the plugin is automatically enabled in gcc builds via flags provided by the redhat-rpm-macros package., Annotate and examine compiled binary files," Provides a plugin for GCC that records extra information in the files
that it compiles.

Note - the plugin is automatically enabled in gcc builds via flags
provided by the redhat-rpm-macros package."
annobin-annocheck,应用, A tool for checking the security hardening status of binaries  Installs the annocheck program which uses the notes generated by annobin to check that the specified files were compiled with the correct security hardening options., A tool for checking the security hardening status of binaries," Installs the annocheck program which uses the notes generated by annobin to
check that the specified files were compiled with the correct security
hardening options."
anolis-indexhtml,核心,Browser default start page for Anolis OS  The anolis-indexhtml package provides a welcome page shown by a web browser after successful installation of Anolis OS.  This web page advises users on how to register their Anolis OS software and how to get any support they might need. ,Browser default start page for Anolis OS ,"The anolis-indexhtml package provides a welcome page shown by a web browser
after successful installation of Anolis OS.

This web page advises users on how to register their Anolis OS software and how
to get any support they might need. "
anolis-backgrounds,核心," Anolis OS related desktop backgrounds  Licensed only for approved usage, see COPYING for details.", Anolis OS related desktop backgrounds," Licensed only for approved usage, see COPYING for details."
anolis-logos,核心,"Anolis OS related icons and pictures  Licensed only for approved usage, see COPYING for details. ",Anolis OS related icons and pictures ,"Licensed only for approved usage, see COPYING for details. "
anolis-logos-httpd,核心,"Anolis OS related icons and pictures used by httpd  Licensed only for approved usage, see COPYING for details. ",Anolis OS related icons and pictures used by httpd ,"Licensed only for approved usage, see COPYING for details. "
anolis-epao-release,核心, EPAO Packages for Anolis OS 8 repository configuration  This package contains the EPAO Packages for Anolis OS 8 repository GPG key as well as configuration for yum., EPAO Packages for Anolis OS 8 repository configuration," This package contains the EPAO Packages for Anolis OS 8 repository
GPG key as well as configuration for yum."
anolis-experimental-release,核心, Experimental Packages for Anolis OS 8 repository configuration  This package contains the Experimental Packages for Anolis OS 8 repository GPG key as well as configuration for yum., Experimental Packages for Anolis OS 8 repository configuration," This package contains the Experimental Packages for Anolis OS 8 repository
GPG key as well as configuration for yum."
anolis-gpg-keys,核心, Anolis OS RPM keys  Anolis OS RPM signature keys, Anolis OS RPM keys, Anolis OS RPM signature keys
anolis-release,核心,Anolis OS 8 release file  Anolis OS 8 release files ,Anolis OS 8 release file ,Anolis OS 8 release files 
anolis-repos,核心,Anolis OS package repositories  Anolis OS package repository files for yum and dnf ,Anolis OS package repositories ,Anolis OS package repository files for yum and dnf 
ansible-core,应用," SSH-based configuration management, deployment, and task execution system  Ansible is a radically simple model-driven configuration management, multi-node deployment, and remote task execution system. Ansible works over SSH and does not require any software or daemons to be installed on remote nodes. Extension modules can be written in any language and are transferred to managed machines automatically."," SSH-based configuration management, deployment, and task execution system"," Ansible is a radically simple model-driven configuration management,
multi-node deployment, and remote task execution system. Ansible works
over SSH and does not require any software or daemons to be installed
on remote nodes. Extension modules can be written in any language and
are transferred to managed machines automatically."
ansible-freeipa,应用," Roles and playbooks to deploy FreeIPA servers, replicas and clients  Ansible roles and playbooks to install and uninstall FreeIPA servers, replicas and clients. Also modules management.  Note: The Ansible playbooks and roles require a configured Ansible environment where the Ansible nodes are reachable and are properly set up to have an IP address and a working package manager.  Features  - Server, replica and client deployment - Cluster deployments: Server, replicas and clients in one playbook - One-time-password (OTP) support for client installation - Repair mode for clients - Backup and restore, also to and from controller - Modules for automembership rule management - Modules for automount key management - Modules for automount location management - Modules for automount map management - Modules for config management - Modules for delegation management - Modules for dns config management - Modules for dns forwarder management - Modules for dns record management - Modules for dns zone management - Modules for group management - Modules for hbacrule management - Modules for hbacsvc management - Modules for hbacsvcgroup management - Modules for host management - Modules for hostgroup management - Modules for location management - Modules for permission management - Modules for privilege management - Modules for pwpolicy management - Modules for role management - Modules for self service management - Modules for server management - Modules for service management - Modules for sudocmd management - Modules for sudocmdgroup management - Modules for sudorule management - Modules for topology management - Modules for trust management - Modules for user management - Modules for vault management  Supported FreeIPA Versions  FreeIPA versions 4.6 and up are supported by all roles.  The client role supports versions 4.4 and up, the server role is working with versions 4.5 and up, the replica role is currently only working with versions 4.6 and up.  Supported Distributions  - RHEL/CentOS 7.4+ - Fedora 26+ - Ubuntu - Debian 10+ (ipaclient only, no server or replica!)  Requirements    Controller   - Ansible version: 2.8+ (ansible-freeipa is an Ansible Collection)   - /usr/bin/kinit is required on the controller if a one time password (OTP)     is used    Node   - Supported FreeIPA version (see above)   - Supported distribution (needed for package installation only, see above)  Limitations  External signed CA is now supported. But the currently needed two step process is an issue for the processing in a simple playbook. Work is planned to have a new method to handle CSR for external signed CAs in a separate step before starting the server installation."," Roles and playbooks to deploy FreeIPA servers, replicas and clients"," Ansible roles and playbooks to install and uninstall FreeIPA servers, replicas
and clients. Also modules management.

Note: The Ansible playbooks and roles require a configured Ansible environment
where the Ansible nodes are reachable and are properly set up to have an IP
address and a working package manager.

Features

- Server, replica and client deployment
- Cluster deployments: Server, replicas and clients in one playbook
- One-time-password (OTP) support for client installation
- Repair mode for clients
- Backup and restore, also to and from controller
- Modules for automembership rule management
- Modules for automount key management
- Modules for automount location management
- Modules for automount map management
- Modules for config management
- Modules for delegation management
- Modules for dns config management
- Modules for dns forwarder management
- Modules for dns record management
- Modules for dns zone management
- Modules for group management
- Modules for hbacrule management
- Modules for hbacsvc management
- Modules for hbacsvcgroup management
- Modules for host management
- Modules for hostgroup management
- Modules for location management
- Modules for permission management
- Modules for privilege management
- Modules for pwpolicy management
- Modules for role management
- Modules for self service management
- Modules for server management
- Modules for service management
- Modules for sudocmd management
- Modules for sudocmdgroup management
- Modules for sudorule management
- Modules for topology management
- Modules for trust management
- Modules for user management
- Modules for vault management

Supported FreeIPA Versions

FreeIPA versions 4.6 and up are supported by all roles.

The client role supports versions 4.4 and up, the server role is working with
versions 4.5 and up, the replica role is currently only working with versions
4.6 and up.

Supported Distributions

- RHEL/CentOS 7.4+
- Fedora 26+
- Ubuntu
- Debian 10+ (ipaclient only, no server or replica!)

Requirements

  Controller
  - Ansible version: 2.8+ (ansible-freeipa is an Ansible Collection)
  - /usr/bin/kinit is required on the controller if a one time password (OTP)
    is used

  Node
  - Supported FreeIPA version (see above)
  - Supported distribution (needed for package installation only, see above)

Limitations

External signed CA is now supported. But the currently needed two step process
is an issue for the processing in a simple playbook.
Work is planned to have a new method to handle CSR for external signed CAs in
a separate step before starting the server installation."
