,name,label,text,y,y_predict
5855,systemtap-runtime-virthost,工具,This package includes the components required to run systemtap scriptsinside a libvirt-managed domain from the host without using a networkconnection.Systemtap Cross-VM Instrumentation - host,1,2
6127,texlive-fancyref,工具,"Provides fancy cross-referencing support, based on thepackage's reference commands (\fref and \Fref) that recognisewhat sort of object is being referenced. So, for example, thelabel for a \section would be expected to be of the form'sec:foo': the package would recognise the 'sec:' part.A LaTeX package for fancy cross-referencing",1,1
2793,libkkc-common,库,The libkkc-common package contains the arch-independent data thatlibkkc uses at run time.Common data files for libkkc,0,0
4688,perl-Text-Soundex,库,"Soundex is a phonetic algorithm for indexing names by sound, as pronounced inEnglish. This module implements the original soundex algorithm developed byRobert Russell and Margaret Odell, as well as a variation called ""AmericanSoundex"".Implementation of the soundex algorithm",0,0
2186,java-11-alibaba-dragonwell-jmods,库,Alibaba Dragonwell11 jmodsAlibaba Dragonwell11 jmods,0,0
6711,xorg-x11-server-Xwayland,服务,Xwayland is an X server for running X clients under Wayland.Xwayland,2,2
2308,jss,库,Java Security Services (JSS) is a java native interface which provides a bridgefor java-based applications to use native Network Security Services (NSS).This only works with gcj. Other JREs require that JCE providers be signed.Java Security Services (JSS),0,0
2592,lftp,工具,"LFTP is a sophisticated ftp/http file transfer program. Like bash, it has jobcontrol and uses the readline library for input. It has bookmarks, built-inmirroring, and can transfer several files in parallel. It is designed withreliability in mind.A sophisticated file transfer program",1,0
3751,mod_intercept_form_submit,库,"mod_intercept_form_submit can intercept submission of application loginforms. It retrieves the login and password information from the POSTHTTP request, runs PAM authentication with those credentials, and setsthe REMOTE_USER environment variable if the authentication passes.Apache module to intercept login form submission and run PAM authentication",0,0
4604,perl-PadWalker,库,PadWalker is a module that allows you to inspect (and even change!)lexical variables in any subroutine that called you. It will only showthose variables that are in scope at the point of the call.Play with other people's lexical variables,0,0
2429,kf5-kplotting,工具,KPlotting provides classes to do plotting.KDE Frameworks 5 Tier 1 addon for plotting,1,0
3406,luksmeta,库,LUKSMeta is a command line utility for storing small portions of metadata inthe LUKSv1 header for use before unlocking the volume.Utility for storing small metadata in the LUKSv1 header,0,1
5779,sssd-ldap,服务,Provides the LDAP back end that the SSSD can utilize to fetch identity datafrom and authenticate against an LDAP server.The LDAP back end of the SSSD,2,2
4132,PackageKit,服务,"PackageKit is a D-Bus abstraction layer that allows the session userto manage packages in a secure way using a cross-distro,cross-architecture API.Package management service",2,2
1367,gnome-abrt,服务,A GNOME application allows users to browse through detected problems andprovides them with convenient way for managing these problems.A utility for viewing problems that have occurred with the system,2,1
158,apr-util-ldap,工具,This package provides the LDAP support for the apr-util.APR utility library LDAP support,1,0
1332,glassfish-jsp-api,库,This project provides a container independent specification of JSP2.2. Note that this package doesn't contain implementation of thisspecification. See glassfish-jsp for one of implementationsGlassfish J2EE JSP API specification,0,0
52,alsa-plugins-oss,服务,"This plugin converts the ALSA API over OSS API.  With this plugin,ALSA native apps can run on OSS drivers.This plugin provides the PCM type ""oss"".Oss PCM output plugin for ALSA",2,2
2373,kexec-tools,工具,kexec-tools provides /usr/sbin/kexec binary that facilitates a newkernel to boot using the kernel's kexec feature either on anormal or a panic reboot. This package contains the /usr/sbin/kexecbinary and ancillary utilities that together form the userspacecomponent of the kernel's kexec feature.The kexec/kdump userspace component,1,1
344,bpg-fonts-common,其它,BPG Fonts are a set of GPL licensed Georgian Unicode fonts.This package consists of files used by other BPG font packages.Common files for BPG Georgian fonts (documentation...),3,3
6570,watchdog,服务,"Software and/or Hardware watchdog daemonThe watchdog program can be used as a powerful software watchdog daemonor may be alternately used with a hardware watchdog device such as theIPMI hardware watchdog driver interface to a resident BaseboardManagement Controller (BMC).  watchdog periodically writes to /dev/watchdog;the interval between writes to /dev/watchdog is configurable through settingsin the watchdog sysconfig file.  This configuration file is also used toset the watchdog to be used as a hardware watchdog instead of its defaultsoftware watchdog operation.  In either case, if the device is open but notwritten to within the configured time period, the watchdog timer expirationwill trigger a machine reboot. When operating as a software watchdog, theability to reboot will depend on the state of the machine and interrupts.When operating as a hardware watchdog, the machine will experience a hardreset (or whatever action was configured to be taken upon watchdog timerexpiration) initiated by the BMC.",2,2
1283,geronimo-jms-javadoc,库,This package provides API documentation for geronimo-jms.API documentation for geronimo-jms,0,0
5530,rubygem-mongo,库,A Ruby driver for MongoDB.Ruby driver for MongoDB,0,0
2609,libavc1394,库,The libavc1394 library allows utilities to control IEEE-1394 devicesusing the AV/C specification.  Audio/Video Control allows applicationsto control devices like the tape on a VCR or camcorder.Audio/Video Control library for IEEE-1394 devices,0,0
2520,langpacks-gu,服务,This package provides Gujarati langpacks meta-package.Gujarati langpacks meta-package,2,2
2774,libijs,库,"The IJS (InkJet Server) Raster Image Transport Protocol is a library, whichis no longer actively developed, and often other alternatives are used instead.This library, however, still seem to be useful for Ghostscript applicationto be able to connect to the HP IJS server to print on an HP printer.IJS Raster Image Transport Protocol Library",0,0
637,dde-printer,服务,Printer Manager is tool to manage printers.Printer Manager is tool to manage printers,2,2
3291,libxudp,库,Express UDP is a high-performance UDP communication software library based on the xdp socket technology.Express UDP(xudp) library,0,0
5226,python3-requests-ftp,库,Requests-FTP is an implementation of a very stupid FTP transport adapter foruse with the awesome Requests Python library.This is the Python 3 version of the transport adapter module.FTP transport adapter for python3-requests,0,0
235,bash-completion,工具,Programmable completion for Bashbash-completion is a collection of shell functions that take advantageof the programmable completion feature of bash.,1,0
501,containernetworking-plugins,服务,"The CNI (Container Network Interface) project consists of a specificationand libraries for writing plugins to configure network interfaces in Linuxcontainers, along with a number of supported plugins. CNI concerns itselfonly with network connectivity of containers and removing allocated resourceswhen the container is deleted.CNI network plugins",2,2
5937,tesseract-langpack-khm,工具,This package contains the fast integer version of the Khmer languagetrained models for the Tesseract Open Source OCR Engine.Khmer language data for tesseract-tessdata,1,1
3667,mingw64-freetype-static,工具,Static version of the MinGW Windows Freetype library.Static version of the MinGW Windows Freetype library,1,0
5387,qt5-qtwebengine-examples,库,Example files for qt5-qtwebengine.Example files for qt5-qtwebengine,0,0
4950,procmail,工具,"Procmail can be used to create mail-servers, mailing lists, sort yourincoming mail into separate folders/files (real convenient when subscribingto one or more mailing lists or for prioritising your mail), preprocessyour mail, start any programs upon mail arrival (e.g. to generate differentchimes on your workstation for different types of mail) or selectivelyforward certain incoming mail automatically to someone.Mail processing program",1,1
1707,gutenprint-libs,库,"This package includes libgutenprint library, necessary to run gutenprint.libgutenprint library",0,0
1319,gjs,库,Gjs allows using GNOME libraries from Javascript. It's based on theSpidermonkey Javascript engine from Mozilla and the GObject introspectionframework.Javascript Bindings for GNOME,0,0
1163,gcc-toolset-10-make,工具,A GNU tool for controlling the generation of executables and othernon-source files of a program from the program's source files. Makeallows users to build and install packages without any significantknowledge about the details of the build process. The details abouthow the program should be built are provided for make in the program'smakefile.A GNU tool which simplifies the build process for users,1,1
4912,popt,库,"Popt is a C library for parsing command line parameters. Popt washeavily influenced by the getopt() and getopt_long() functions, butit improves on them by allowing more powerful argument expansion.Popt can parse arbitrary argv[] style arrays and automatically setvariables based on command line arguments. Popt allows command linearguments to be aliased via configuration files and includes utilityfunctions for parsing arbitrary strings into argv[] arrays usingshell-like rules.C library for parsing command line parameters",0,0
4465,perl-Digest-CRC,库,"The Digest::CRC module calculates CRC sums of all sorts. It contains wrapperfunctions with the correct parameters for CRC-CCITT, CRC-16 and CRC-32.Generic CRC functions",0,0
5568,samba-pidl,服务,Perl IDL compilerThe samba-pidl package contains the Perl IDL compiler used by Sambaand Wireshark to parse IDL and similar protocols,2,0
3838,nautilus-sendto,工具,"The nautilus-sendto package provides a Nautilus context menu forsending files via other desktop applications.  These functions areimplemented as plugins, so nautilus-sendto can be extended withadditional features.Nautilus context menu for sending files",1,1
4583,perl-Module-Runtime,库,"The functions exported by this module deal with runtime handling of Perlmodules, which are normally handled at compile time.Runtime module handling",0,0
5814,swig,库,"Simplified Wrapper and Interface Generator (SWIG) is a softwaredevelopment tool for connecting C, C++ and Objective C programs with avariety of high-level programming languages. SWIG is used with differenttypes of target languages including common scripting languages such asJavascript, Perl, PHP, Python, Tcl and Ruby. The list of supportedlanguages also includes non-scripting languages such as C#, D, Go language,Java including Android, Lua, OCaml, Octave, Scilab and R. Also severalinterpreted and compiled Scheme implementations (Guile, MzScheme/Racket)are supported. SWIG is most commonly used to create high-level interpretedor compiled programming environments, user interfaces, and as a tool fortesting and prototyping C/C++ software.Connects C/C++/Objective C to some high-level programming languages",0,0
4254,pcp-pmda-zimbra,服务,This package contains the PCP Performance Metrics Domain Agent (PMDA) forcollecting metrics about Zimbra.Performance Co-Pilot (PCP) metrics for Zimbra,2,2
3602,maven-wagon-provider-api,工具,provider-api module for maven-wagon.provider-api module for maven-wagon,1,2
1724,haproxy,工具,"HAProxy is a TCP/HTTP reverse proxy which is particularly suited for highavailability environments. Indeed, it can: - route HTTP requests depending on statically assigned cookies - spread load among several servers while assuring server persistence   through the use of HTTP cookies - switch to backup servers in the event a main one fails - accept connections to special ports dedicated to service monitoring - stop accepting connections without breaking existing ones - add, modify, and delete HTTP headers in both directions - block requests matching particular patterns - report detailed status to authenticated users from a URI   intercepted from the applicationHAProxy reverse proxy for high availability environments",1,2
1650,grub2-efi-x64,工具,"GRUB for EFI systems.The GRand Unified Bootloader (GRUB) is a highly configurable andcustomizable bootloader with modular architecture.  It supports a richvariety of kernel formats, file systems, computer architectures andhardware devices.This subpackage provides support for efi-x64 systems.",1,1
2200,java-11-openjdk-headless-slowdebug,库,The OpenJDK 11 runtime environment without audio and video support.This package is unoptimised with full debugging. Install only as needed and remove ASAP.OpenJDK 11 Runtime Environment unoptimised with full debugging on,0,0
2301,json-c,库,"JSON-C implements a reference counting object model that allows youto easily construct JSON objects in C, output them as JSON formattedstrings and parse JSON formatted strings back into the C representationof JSON objects.  It aims to conform to RFC 7159.JSON implementation in C",0,0
5644,setroubleshoot,工具,setroubleshoot GUI. Application that allows you to view setroubleshoot-servermessages.Provides tools to help diagnose SELinux problems. When AVC messagesare generated an alert can be generated that will give informationabout the problem and help track its resolution. Alerts can be configuredto user preference. The same tools can be run on existing log files.Helps troubleshoot SELinux problems,1,1
5080,python3-docs,库,The python3-docs package contains documentation on the Python 3programming language and interpreter.Install the python3-docs package if you'd like to use the documentationfor the Python 3 language.Documentation for the Python 3 programming language,0,0
1282,geronimo-jms,库,"The Java Message Service (JMS) API is a messaging standard that allowsapplication components based on the Java 2 Platform, Enterprise Edition(J2EE) to create, send, receive, and read messages. It enables distributedcommunication that is loosely coupled, reliable, and asynchronous.J2EE JMS v1.1 API",0,0
2395,kf5-kcoreaddons,工具,"KCoreAddons provides classes built on top of QtCore to perform various taskssuch as manipulating mime types, autosaving files, creating backup files,generating random sequences, performing text manipulations such as macroreplacement, accessing user information and many more.KDE Frameworks 5 Tier 1 addon with various classes on top of QtCore",1,0
624,dde-control-center,服务,New control center for Linux Deepin.New control center for Linux Deepin,2,2
6022,tesseract-script-lao,工具,This package contains the fast integer version of the Lao scripttrained models for the Tesseract Open Source OCR Engine.Lao script data for tesseract-tessdata,1,1
5551,rust-std-static-wasm32-wasi,库,This package includes the standard libraries for building applicationswritten in Rust for the WebAssembly target wasm32-wasi.Standard library for Rust wasm32-wasi,0,0
3660,mingw64-filesystem,工具,"This package contains the base filesystem layout, RPM macros andenvironment for all MinGW packages.MinGW cross compiler base filesystem and environment for the win64 target",1,0
2065,ipa-server,服务,"IPA is an integrated solution to provide centrally managed Identity (users,hosts, services), Authentication (SSO, 2FA), and Authorization(host access control, SELinux user roles, services). The solution providesfeatures for further integration with Linux based clients (SUDO, automount)and integration with Active Directory based infrastructures (Trusts).If you are installing an IPA server, you need to install this package.The IPA authentication server",2,2
1164,gcc-toolset-10-strace,工具,"The strace program intercepts and records the system calls called andreceived by a running process.  Strace can print a record of eachsystem call, its arguments and its return value.  Strace is useful fordiagnosing problems and debugging, as well as for instructionalpurposes.Install strace if you need a tool to track the system calls made andreceived by a process.Tracks and displays system calls associated with a running process",1,0
6314,texlive-typehtml,工具,"Can handle almost all of HTML2, and most of the math fragmentof the draft HTML3.Typeset HTML directly from LaTeX",1,0
6043,texlive-adjustbox,工具,adjustbox packageadjustbox package,1,2
6583,which,工具,"The which command shows the full pathname of a specified program, ifthe specified program is in your PATH.Displays where a particular program in your path is located",1,0
1856,hunspell-kn,工具,Kannada hunspell dictionaries.Kannada hunspell dictionaries,1,1
3207,libvirt-daemon-driver-network,服务,"The network driver plugin for the libvirtd daemon, providingan implementation of the virtual network APIs using the Linuxbridge capabilities.Network driver plugin for the libvirtd daemon",2,2
4761,php-xmlrpc,库,The php-xmlrpc package contains a dynamic shared object that will addsupport for the XML-RPC protocol to PHP.A module for PHP applications which use the XML-RPC protocol,0,0
999,fence-agents-scsi,服务,Fence agent for SCSI persistent reservations.Fence agent for SCSI persistent reservations,2,2
5995,tesseract-langpack-yid,工具,This package contains the fast integer version of the Yiddish languagetrained models for the Tesseract Open Source OCR Engine.Yiddish language data for tesseract-tessdata,1,1
6657,xmvn-connector-ivy,库,"This package provides XMvn Connector for Apache Ivy, which providesintegration of Apache Ivy with XMvn.  It provides an adapter whichallows XMvn resolver to be used as Ivy resolver.XMvn Connector for Apache Ivy",0,2
1979,hyphen-or,库,Odia hyphenation rules.Odia hyphenation rules,0,0
973,fence-agents-drac5,服务,Fence agent for Dell DRAC 5 series devices that are accessedvia telnet or SSH.Fence agent for Dell DRAC 5,2,2
4360,perl-ph,库,"Contemporary Perl still refers to some Perl header (ph) files although it doesnot build them anymore. This is a prebuilt collection of the referred files.If you miss other ones, you can generate them with h2ph tool from perl-utilspackage.Selected system header files converted to Perl headers",0,0
3048,libreoffice-langpack-pt-PT,库,Provides additional Portuguese translations and resources for LibreOffice.Portuguese language pack for LibreOffice,0,0
3195,libva,库,Libva is a library providing the VA API video acceleration API.Video Acceleration (VA) API for Linux,0,0
696,dhcp-client,工具,"Provides the ISC DHCP client daemon and dhclient-scriptDHCP (Dynamic Host Configuration Protocol) is a protocol which allowsindividual devices on an IP network to get their own networkconfiguration information (IP address, subnetmask, broadcast address,etc.) from a DHCP server. The overall purpose of DHCP is to make iteasier to administer a large network.This package provides the ISC DHCP client.",1,2
2172,java-1.8.0-openjdk-fastdebug,库,The OpenJDK 8 runtime environment.This package is optimised with full debugging. Install only as needed and remove ASAP.OpenJDK 8 Runtime Environment optimised with full debugging on,0,0
4873,libpmemlog,库,The libpmemlog library provides a pmem-resident log file. This isuseful for programs like databases that append frequently to a logfile.Persistent Memory Resident Log File library,0,0
6522,vapoursynth-plugins,库,VapourSynth plugins.VapourSynth plugins,0,1
2061,ipa-python-compat,库,"IPA is an integrated solution to provide centrally managed Identity (users,hosts, services), Authentication (SSO, 2FA), and Authorization(host access control, SELinux user roles, services). The solution providesfeatures for further integration with Linux based clients (SUDO, automount)and integration with Active Directory based infrastructures (Trusts).This is a compatibility package to accommodate ipa-python split intopython3-ipalib and ipa-common. Packages still depending onipa-python should be fixed to depend on python2-ipaclient oripa-common instead.Compatiblity package for Python libraries used by IPA",0,0
5560,samba,服务,Samba is the standard Windows interoperability suite of programs for Linux andUnix.Server and Client software to interoperate with Windows machines,2,1
2798,liblangtag-gobject,库,The liblangtag-gobject package contains files for GObject introspection forliblangtag.GObject introspection for liblangtag,0,0
6680,xorg-x11-server-Xspice,服务,XSpice is both an X and a Spice server.XSpice is an X server that can be accessed by a Spice client,2,2
3606,maven-wagon-javadoc,工具,Javadoc for maven-wagon.Javadoc for maven-wagon,1,1
3845,nbdkit-example-plugins,工具,This package contains example plugins for nbdkit.Example plugins for nbdkit,1,0
2305,jsoup-javadoc,库,API documentation for jsoup.Javadoc for jsoup,0,0
2279,jetty-security,库,"Jetty is a 100% Java HTTP Server and Servlet Container. This means that youdo not need to configure and run a separate web server (like Apache) in orderto use Java, servlets and JSPs to generate dynamic content. Jetty is a fullyfeatured web server for static and dynamic content. Unlike separateserver/container solutions, this means that your web server and webapplication run in the same process, without interconnection overheadsand complications. Furthermore, as a pure java component, Jetty can be simplyincluded in your application for demonstration, distribution or deployment.Jetty is available on all Java supported platforms.This package contains security module for Jetty.security module for Jetty",0,0
1573,google-noto-sans-osmanya-fonts,其它,Noto fonts aims to remove tofu from web by providing fonts for allUnicode supported scripts. Its design goal is to achieve visual harmonizationbetween multiple scripts. Noto family supports almost all scripts availablein Unicode.Noto Sans font for Osmanya.Sans Osmanya font,3,3
762,aspnetcore-runtime-3.1,库,"The ASP.NET Core runtime contains everything needed to run .NET Coreweb applications. It includes a high performance Virtual Machine aswell as the framework libraries used by .NET Core applications.ASP.NET Core is a fast, lightweight and modular platform for creatingcross platform web applications that work on Linux, Mac and Windows.It particularly focuses on creating console applications, webapplications and micro-services.ASP.NET Core 3.1 runtime",0,0
1524,google-noto-sans-devanagari-ui-fonts,其它,Noto fonts aims to remove tofu from web by providing fonts for allUnicode supported scripts. Its design goal is to achieve visual harmonizationbetween multiple scripts. Noto family supports almost all scripts availablein Unicode.Noto Sans font for Devanagari UI.Sans Devanagari UI font,3,3
786,dotnet-hostfxr-6.0,库,"The .NET host resolver contains the logic to resolve and selectthe right version of the .NET SDK or runtime to use..NET is a fast, lightweight and modular platform for creatingcross platform applications that work on Linux, Mac and Windows.It particularly focuses on creating console applications, webapplications and micro-services..NET command line host resolver",0,2
1497,google-noto-emoji-color-fonts,其它,This package provides the Google __oto Color Emoji_ colored emoji font.Google __oto Color Emoji_ colored emoji font,3,3
5493,rsyslog-mmsnmptrapd,服务,This message modification module takes messages generated from snmptrapd andmodifies them so that they look like they originated from the read originator.Message modification module for snmptrapd generated messages,2,0
3023,libreoffice-langpack-gu,库,Provides additional Gujarati translations and resources for LibreOffice.Gujarati language pack for LibreOffice,0,0
2895,libpst-libs,库,The libpst-libs package contains the shared library used by the pstutilities.Shared library used by the pst utilities,0,0
5143,python3-netaddr,库,"A network address manipulation library for PythonProvides support for:Layer 3 addresses * IPv4 and IPv6 addresses, subnets, masks, prefixes * iterating, slicing, sorting, summarizing and classifying IP networks * dealing with various ranges formats (CIDR, arbitrary ranges and globs, nmap) * set based operations (unions, intersections etc) over IP addresses and subnets * parsing a large variety of different formats and notations * looking up IANA IP block information * generating DNS reverse lookups * supernetting and subnettingLayer 2 addresses * representation and manipulation MAC addresses and EUI-64 identifiers * looking up IEEE organisational information (OUI, IAB) * generating derived IPv6 addressesA pure Python network address representation and manipulation library",0,0
6008,tesseract-script-greek,工具,This package contains the fast integer version of the Greek scripttrained models for the Tesseract Open Source OCR Engine.Greek script data for tesseract-tessdata,1,1
3659,mingw32-filesystem,工具,"This package contains the base filesystem layout, RPM macros andenvironment for all MinGW packages.MinGW cross compiler base filesystem and environment for the win32 target",1,0
5160,python3-pillow,库,"Python image processing library, fork of the Python Imaging Library (PIL)This library provides extensive file format support, an efficientinternal representation, and powerful image processing capabilities.There are these subpackages: tk (tk interface),devel (development) and doc (documentation).Python 3 image processing library",0,0
3180,libtool-ltdl,库,"Runtime libraries for GNU Libtool Dynamic Module LoaderThe libtool-ltdl package contains the GNU Libtool Dynamic Module Loader, alibrary that provides a consistent, portable interface which simplifies theprocess of using dynamic modules.These runtime libraries are needed by programs that link directly to thesystem-installed ltdl libraries; they are not needed by software built usingthe rest of the GNU Autotools (including GNU Autoconf and GNU Automake).",0,0
2996,libreoffice-help-uk,库,Provides Ukrainian help for LibreOffice.Ukrainian help for LibreOffice,0,0
302,boost-graph,库,"Run-time support for the BGL graph library.  BGL interface and graphcomponents are generic, in the same sense as the Standard TemplateLibrary (STL).Run-time component of boost graph library",0,0
2111,istack-commons,库,"Code shared between JAXP, JAXB, SAAJ, and JAX-WS projects.Common code for some Glassfish projects",0,0
758,dotnet-runtime-3.0,库,"The .NET Core runtime contains everything needed to run .NET Core applications.It includes a high performance Virtual Machine as well as the frameworklibraries used by .NET Core applications..NET Core is a fast, lightweight and modular platform for creatingcross platform applications that work on Linux, Mac and Windows.It particularly focuses on creating console applications, webapplications and micro-services.NET Core 3.0 runtime",0,0
4909,poppler-qt5,库,Qt5 wrapper for poppler.Qt5 wrapper for poppler,0,0
213,avahi-ui-gtk3,工具,This library contains a Gtk 3.x widget for browsing services.Gtk user interface library for Avahi (Gtk+ 3 version),1,0
5205,python39-PyMySQL,库,"This package contains a pure-Python MySQL client library. The goal of PyMySQL isto be a drop-in replacement for MySQLdb and work on CPython, PyPy, IronPythonand Jython.Pure-Python MySQL client library",0,0
4311,perl-B,库,"The ""B"" module supplies classes which allow a Perl program to delve into itsown innards. It is the module used to implement the backends of the Perlcompiler.Perl compiler backend",0,0
3125,libserf,库,"The serf library is a C-based HTTP client library built upon the ApachePortable Runtime (APR) library. It multiplexes connections, running theread/write communication asynchronously. Memory copies and transformations arekept to a minimum to provide high performance operation.High-Performance Asynchronous HTTP Client Library",0,0
4164,pcaudiolib,库,The Portable C Audio Library (pcaudiolib) provides a C API to differentaudio devices.Portable C Audio Library,0,0
4304,perl-SelfLoader,库,"This Perl module tells its users that functions in a package are to beautoloaded from after the ""__DATA__"" token. See also ""Autoloading"" inperlsub.Load functions only on demand",0,0
3363,lohit-gurmukhi-fonts,其它,This package provides a free Gurmukhi script truetype font for Punjabi language.Free Gurmukhi truetype font for Punjabi language,3,3
6582,wget,工具,"GNU Wget is a file retrieval utility which can use either the HTTP orFTP protocols. Wget features include the ability to work in thebackground while you are logged out, recursive retrieval ofdirectories, file name wildcard matching, remote file timestampstorage and comparison, use of Rest with FTP servers and Range withHTTP servers to retrieve files over slow or unstable connections,support for Proxy servers, and configurability.A utility for retrieving files using the HTTP or FTP protocols",1,1
5196,python3-pygments,库,"Pygments is a generic syntax highlighter for general use in all kindsof software such as forum systems, wikis or other applications thatneed to prettify source code. Highlights are:  * a wide range of common languages and markup formats is supported  * special attention is paid to details that increase highlighting    quality  * support for new languages and formats are added easily; most    languages use a simple regex-based lexing mechanism  * a number of output formats is available, among them HTML, RTF,    LaTeX and ANSI sequences  * it is usable as a command-line tool and as a library  * ... and it highlights even Brainf*ck!Syntax highlighting engine written in Python",0,0
3096,libreport-plugin-rhtsupport,库,Plugin to report bugs into RH support system.libreport's RHTSupport plugin,0,0
3829,mythes-sk,库,Slovak thesaurus.Slovak thesaurus,0,0
571,cups-client,工具,CUPS printing system provides a portable printing layer forUNIX庐 operating systems. This package contains command-line clientprograms.CUPS printing system - client programs,1,2
6187,texlive-listings,工具,"Typeset programs (programming code) within LaTeX. The sourcecode is read directly by TeX. Keywords, comments and stringscan be typeset using different styles (default is bold forkeywords, italic for comments and no special style forstrings). Includes support for hyperref. To use, simply\usepackage{listings}, identify the language with\lstset{language=Python}, then employ the \begin{lstlisting}... \end{lstlisting} environment or the\lstinputlisting{filename.py} command. Short (in-line) listingsare also available, using either \lstinline|...| or | ... |(after defining the | token with the \lstMakeShortInlinecommand).Typeset source code listings using LaTeX",1,0
1745,highlight,工具,"A utility that converts sourcecode to HTML, XHTML, RTF, LaTeX, TeX,XSL-FO, XML or ANSI escape sequences with syntax highlighting.It supports several programming and markup languages.Language descriptions are configurable and support regular expressions.The utility offers indentation and reformatting capabilities.It is easily possible to create new language definitions and colour themes.Universal source code to formatted text converter",1,1
422,cglib,库,"cglib is a powerful, high performance and quality code generation libraryfor Java. It is used to extend Java classes and implements interfacesat run-time.Code Generation Library for Java",0,0
3795,munge,工具,"MUNGE (MUNGE Uid 'N' Gid Emporium) is an authentication service for creatingand validating credentials. It is designed to be highly scalable for usein an HPC cluster environment.It allows a process to authenticate the UID and GID of another local orremote process within a group of hosts having common users and groups.These hosts form a security realm that is defined by a shared cryptographickey. Clients within this security realm can create and validate credentialswithout the use of root privileges, reserved ports, or platform-specificmethods.Enables uid & gid authentication across a host cluster",1,2
3714,mingw32-pkg-config,库,"The pkgconfig tool determines compilation options. For each requiredlibrary, it reads the configuration file and outputs the necessarycompiler and linker flags.A tool for determining compilation options for the win32 target",0,0
5444,resource-agents-gcp,服务,The Google Cloud Platform resource agents allows Google CloudPlatform instances to be managed in a cluster environment.Google Cloud Platform resource agents,2,2
196,authselect-libs,库,Common library files for authselect. This package is used by the authselectcommand line tool and any other potential front-ends.Utility library used by the authselect tool,0,0
3175,libtiff,库,The libtiff package contains a library of functions for manipulatingTIFF (Tagged Image File Format) image format files.  TIFF is a widelyused file format for bitmapped images.  TIFF files usually end in the.tif extension and they are often quite large.The libtiff package should be installed if you need to manipulate TIFFformat image files.Library of functions for manipulating TIFF format image files,0,0
1201,gcc-toolset-11-systemtap-runtime,工具,SystemTap runtime contains the components needed to executea systemtap script that was already compiled into a moduleusing a local or remote systemtap-devel installation.Programmable system-wide instrumentation system - runtime,1,0
5592,sassist,工具,Dell SupportAssist log collector for Linux.Dell SupportAssist log collector,1,2
400,cairomm,库,"Cairomm is the C++ API for the cairo graphics library. It offers all the powerof cairo with an interface familiar to C++ developers, including use of theStandard Template Library where it makes sense.C++ API for the cairo graphics library",0,0
6354,texlive-xtab,工具,Xtab is an extended and somewhat improved version ofsupertabular; it provides tables that break across pages.Break tables across pages,1,0
2330,kacst-naskh-fonts,其它,This package contains naskh type fonts for the display of ArabicFonts for arabic from arabeyes project,3,3
